target,test_year,model_name,event_type,horizon,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate,n_train,n_test,roc_auc_raw,pr_auc_raw,brier_raw,cal_method
protest_7d,2020.0,model0_persistence,protest,7,1,0.8637341193555174,0.8328228415177148,0.1517191558076881,0.3532549444694893,0.3758582037270562,42705,14274,,,,
protest_7d,2020.0,model1_markets,protest,7,1,0.8465095926431037,0.8172385372619363,0.1943119212514814,0.1716914477211888,0.3758582037270562,42705,14274,,,,
protest_7d,2020.0,model2_full,protest,7,1,0.8337592580756217,0.7984762558560927,0.210802536816864,0.1013956170939448,0.3758582037270562,42705,14274,,,,
protest_7d,2020.0,model3_structural,protest,7,1,0.8202995557127953,0.7037601755987688,0.2120330989643951,0.0961500040386788,0.3758582037270562,42705,14274,,,,
protest_7d,2020.0,model4_fao,protest,7,1,0.736654076210356,0.6201316378478422,0.3220137198256057,-0.3726729495791483,0.3758582037270562,42705,14274,,,,
protest_7d,2020.0,model5_xgb,protest,7,1,0.8556888292800447,0.8146030500451573,0.1617618518187336,0.3104451624432008,0.3758582037270562,28470,14274,0.8558815723693549,0.824674944636921,0.1643576195515117,isotonic
protest_7d,2020.0,model6_xgb_nolag,protest,7,1,0.8533472073487787,0.784705059287673,0.1540504489251372,0.3433171598260416,0.3758582037270562,28470,14274,0.854601423505786,0.8087300655472185,0.1593754831130591,isotonic
protest_7d,2020.0,model7_xgb_nobaseline,protest,7,1,0.8443293727810354,0.7863733647206851,0.1587351416796799,0.3233473553570493,0.3758582037270562,28470,14274,0.8467622979244315,0.8141551178869294,0.1659394410627597,isotonic
protest_7d,2020.0,model5_income_group,protest,7,1,0.8449155314525862,0.7992522210716418,0.1580252539674381,0.3263734489668516,0.3758582037270562,42705,14274,,,,
protest_7d,2020.0,model6_income_group_nolag,protest,7,1,0.8278974726019752,0.7589667804612209,0.1726316070535517,0.2641098106840839,0.3758582037270562,42705,14274,,,,
protest_7d,2021.0,model0_persistence,protest,7,2,0.8754979457442883,0.8381269658494905,0.1405148682725912,0.3940408164404251,0.3654204268729408,56979,13962,,,,
protest_7d,2021.0,model1_markets,protest,7,2,0.873007752459311,0.8357679407839824,0.1335379434493236,0.4241282493337341,0.3654204268729408,56979,13962,,,,
protest_7d,2021.0,model2_full,protest,7,2,0.8663957523849808,0.8259151177051572,0.1364740661342085,0.4114664539889731,0.3654204268729408,56979,13962,,,,
protest_7d,2021.0,model3_structural,protest,7,2,0.8721922443551107,0.8353074692034047,0.1324890494811995,0.4286515210727224,0.3654204268729408,56979,13962,,,,
protest_7d,2021.0,model4_fao,protest,7,2,0.7756072066635223,0.7162054881952216,0.2623660321525292,-0.1314326276739141,0.3654204268729408,56979,13962,,,,
protest_7d,2021.0,model5_xgb,protest,7,2,0.8678225707972707,0.8071994426838595,0.1377329682095444,0.4060375390055983,0.3654204268729408,42705,13962,0.8671009045273266,0.8206162176141799,0.1765431246625969,isotonic
protest_7d,2021.0,model6_xgb_nolag,protest,7,2,0.8612705657852936,0.7952409198503038,0.1380585204816022,0.4046336207483546,0.3654204268729408,42705,13962,0.8632598268461091,0.8182758430254234,0.1567032012141714,isotonic
protest_7d,2021.0,model7_xgb_nobaseline,protest,7,2,0.858524774067267,0.8063266962677774,0.1398036226693282,0.39710800648488,0.3654204268729408,42705,13962,0.8596201153356405,0.8230384030199571,0.1406018815778585,isotonic
protest_7d,2021.0,model5_income_group,protest,7,2,0.8653818756509422,0.8067816669270729,0.1393037379468285,0.3992637195566966,0.3654204268729408,56979,13962,,,,
protest_7d,2021.0,model6_income_group_nolag,protest,7,2,0.8597460894811312,0.8011459508885842,0.1455496045009473,0.3723289172522622,0.3654204268729408,56979,13962,,,,
strike_7d,2020.0,model0_persistence,strike,7,1,0.9000130817119779,0.8137135781947972,0.1237256541802389,0.2900463305118934,0.2248143477651674,42705,14274,,,,
strike_7d,2020.0,model1_markets,strike,7,1,0.8848796390968297,0.7896741755474219,0.158488356328934,0.0905734878317855,0.2248143477651674,42705,14274,,,,
strike_7d,2020.0,model2_full,strike,7,1,0.8669372473515166,0.7622804785646384,0.1659311454326391,0.0478658095381316,0.2248143477651674,42705,14274,,,,
strike_7d,2020.0,model3_structural,strike,7,1,0.8696700155755452,0.7426901743559078,0.1680225380895204,0.0358651302858695,0.2248143477651674,42705,14274,,,,
strike_7d,2020.0,model4_fao,strike,7,1,0.7834514794515032,0.6232919547189569,0.4244287298353255,-1.4354264778734325,0.2248143477651674,42705,14274,,,,
strike_7d,2020.0,model5_xgb,strike,7,1,0.8955568084959875,0.7712069807123801,0.0916896415493346,0.473873079085355,0.2248143477651674,28470,14274,0.8979067571055592,0.7942629419274443,0.1271361934280006,isotonic
strike_7d,2020.0,model6_xgb_nolag,strike,7,1,0.892768390190434,0.7699758086585071,0.0986120502767339,0.4341514101212592,0.2248143477651674,28470,14274,0.8927109799216139,0.7843316469513015,0.1496246954668848,isotonic
strike_7d,2020.0,model7_xgb_nobaseline,strike,7,1,0.8788122030828062,0.7537228192521894,0.0964301345000208,0.4466715226432334,0.2248143477651674,28470,14274,0.8799929085574252,0.7689022291133886,0.1155093690466786,isotonic
strike_7d,2020.0,model5_income_group,strike,7,1,0.8840622221984402,0.7526015001179142,0.1008171351592518,0.4214983502991164,0.2248143477651674,42705,14274,,,,
strike_7d,2020.0,model6_income_group_nolag,strike,7,1,0.8944670554192857,0.7839331480576035,0.0959916541095156,0.4491875793519275,0.2248143477651674,42705,14274,,,,
strike_7d,2021.0,model0_persistence,strike,7,2,0.9103182108153088,0.8187374497831141,0.1153760002984033,0.310727236998361,0.2125769946998997,56979,13962,,,,
strike_7d,2021.0,model1_markets,strike,7,2,0.9077462063355312,0.814940618399785,0.0998149264745991,0.4036913224413057,0.2125769946998997,56979,13962,,,,
strike_7d,2021.0,model2_full,strike,7,2,0.9083205823612684,0.8185557312215545,0.0963119755219046,0.4246184535221045,0.2125769946998997,56979,13962,,,,
strike_7d,2021.0,model3_structural,strike,7,2,0.9062226480310016,0.8187921515163658,0.0923570711848127,0.4482456189012482,0.2125769946998997,56979,13962,,,,
strike_7d,2021.0,model4_fao,strike,7,2,0.8448851603447506,0.7054154162633258,0.1133512476807338,0.3228233993507248,0.2125769946998997,56979,13962,,,,
strike_7d,2021.0,model5_xgb,strike,7,2,0.9080278320152084,0.7978100683833623,0.0814011464627449,0.513697883539357,0.2125769946998997,42705,13962,0.9080066399854464,0.8160540489321616,0.1215130173542141,isotonic
strike_7d,2021.0,model6_xgb_nolag,strike,7,2,0.901915027039988,0.7795378024284653,0.0821506843290272,0.5092200368924763,0.2125769946998997,42705,13962,0.908105827265742,0.8114297560767917,0.1267094513341956,isotonic
strike_7d,2021.0,model7_xgb_nobaseline,strike,7,2,0.8923262235171647,0.7861220347816281,0.0840123803885495,0.4980979977899124,0.2125769946998997,42705,13962,0.8946968041131969,0.8057350031302793,0.0958402011469931,isotonic
strike_7d,2021.0,model5_income_group,strike,7,2,0.8900293016970294,0.7542997413661751,0.0875097369361635,0.477204288486929,0.2125769946998997,56979,13962,,,,
strike_7d,2021.0,model6_income_group_nolag,strike,7,2,0.8979232944752517,0.763841304944503,0.084053482173948,0.4978524498326887,0.2125769946998997,56979,13962,,,,
strike_30d,2020.0,model0_persistence,strike,30,1,0.8605949160157441,0.8484367873836456,0.1569527777871496,0.3446903303640062,0.3975760123301107,42705,14274,,,,
strike_30d,2020.0,model1_markets,strike,30,1,0.8536999026113579,0.8417252915866961,0.164626828243402,0.3126496137856953,0.3975760123301107,42705,14274,,,,
strike_30d,2020.0,model2_full,strike,30,1,0.8355073149065073,0.8337461852815995,0.175141009616196,0.2687507747906794,0.3975760123301107,42705,14274,,,,
strike_30d,2020.0,model3_structural,strike,30,1,0.8432171346632357,0.8360826780173601,0.1737913629602325,0.2743858232218974,0.3975760123301107,42705,14274,,,,
strike_30d,2020.0,model4_fao,strike,30,1,0.8090160673328987,0.8026985553741568,0.1820874013612185,0.2397481808654794,0.3975760123301107,42705,14274,,,,
strike_30d,2020.0,model5_xgb,strike,30,1,0.8407451127653918,0.8071398434118049,0.1631185065135143,0.3189471628221191,0.3975760123301107,28470,14274,0.8434685623213025,0.8324361904591845,0.1617215076330934,isotonic
strike_30d,2020.0,model6_xgb_nolag,strike,30,1,0.8510988215513227,0.8121476282404372,0.1603949534390144,0.3303185491119944,0.3975760123301107,28470,14274,0.8556604830087301,0.8444628568002281,0.1619202043689645,isotonic
strike_30d,2020.0,model7_xgb_nobaseline,strike,30,1,0.7825710806450704,0.7368162143090918,0.1694765727115604,0.2924009473392955,0.3975760123301107,28470,14274,0.7831788349531474,0.7567683327566753,0.2171497414171068,isotonic
strike_30d,2020.0,model5_income_group,strike,30,1,0.8432346656434284,0.8207972231097842,0.1511357815515638,0.3689774690509374,0.3975760123301107,42705,14274,,,,
