target,model_name,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate,n_train,n_test,naive_brier,test_year
protest_7d,model0_persistence,1,0.8637,0.8328,0.1517,0.3533,0.3759,42705,14274,0.2346,2020
protest_7d,model1_markets,1,0.8465,0.8172,0.1943,0.1717,0.3759,42705,14274,0.2346,2020
protest_7d,model2_full,1,0.8338,0.7985,0.2108,0.1014,0.3759,42705,14274,0.2346,2020
protest_7d,model3_structural,1,0.8203,0.7038,0.212,0.0962,0.3759,42705,14274,0.2346,2020
protest_7d,model4_fao,1,0.7367,0.6201,0.322,-0.3727,0.3759,42705,14274,0.2346,2020
protest_7d,model_lr_nolag,1,0.7309,0.6072,0.3211,-0.3686,0.3759,42705,14274,0.2346,2020
protest_7d,model9_twostage,1,0.8135,0.7876,0.2308,0.016,0.3759,42705,14274,0.2346,2020
protest_7d,model5_xgb,1,0.8557,0.8146,0.1618,0.3104,0.3759,28470,14274,0.2346,2020
protest_7d,model6_xgb_nolag,1,0.8533,0.7847,0.1541,0.3433,0.3759,28470,14274,0.2346,2020
protest_7d,model7_xgb_nobaseline,1,0.8443,0.7864,0.1587,0.3233,0.3759,28470,14274,0.2346,2020
protest_7d,model0_persistence,2,0.8755,0.8381,0.1405,0.394,0.3654,56979,13962,0.2319,2021
protest_7d,model1_markets,2,0.873,0.8358,0.1335,0.4241,0.3654,56979,13962,0.2319,2021
protest_7d,model2_full,2,0.8664,0.8259,0.1365,0.4115,0.3654,56979,13962,0.2319,2021
protest_7d,model3_structural,2,0.8722,0.8353,0.1325,0.4287,0.3654,56979,13962,0.2319,2021
protest_7d,model4_fao,2,0.7756,0.7162,0.2624,-0.1314,0.3654,56979,13962,0.2319,2021
protest_7d,model_lr_nolag,2,0.7477,0.6731,0.2797,-0.2063,0.3654,56979,13962,0.2319,2021
protest_7d,model9_twostage,2,0.8664,0.8257,0.1538,0.337,0.3654,56979,13962,0.2319,2021
protest_7d,model5_xgb,2,0.8678,0.8072,0.1377,0.406,0.3654,42705,13962,0.2319,2021
protest_7d,model6_xgb_nolag,2,0.8613,0.7952,0.1381,0.4046,0.3654,42705,13962,0.2319,2021
protest_7d,model7_xgb_nobaseline,2,0.8585,0.8063,0.1398,0.3971,0.3654,42705,13962,0.2319,2021
strike_7d,model0_persistence,1,0.9,0.8137,0.1237,0.29,0.2248,42705,14274,0.1743,2020
strike_7d,model1_markets,1,0.8849,0.7897,0.1585,0.0906,0.2248,42705,14274,0.1743,2020
strike_7d,model2_full,1,0.8669,0.7623,0.1659,0.0479,0.2248,42705,14274,0.1743,2020
strike_7d,model3_structural,1,0.8697,0.7427,0.168,0.0359,0.2248,42705,14274,0.1743,2020
strike_7d,model4_fao,1,0.7835,0.6233,0.4244,-1.4354,0.2248,42705,14274,0.1743,2020
strike_7d,model_lr_nolag,1,0.7886,0.6297,0.4448,-1.5521,0.2248,42705,14274,0.1743,2020
strike_7d,model9_twostage,1,0.8719,0.778,0.1682,0.035,0.2248,42705,14274,0.1743,2020
strike_7d,model5_xgb,1,0.8956,0.7712,0.0917,0.4739,0.2248,28470,14274,0.1743,2020
strike_7d,model6_xgb_nolag,1,0.8928,0.77,0.0986,0.4342,0.2248,28470,14274,0.1743,2020
strike_7d,model7_xgb_nobaseline,1,0.8788,0.7537,0.0964,0.4467,0.2248,28470,14274,0.1743,2020
strike_7d,model0_persistence,2,0.9103,0.8187,0.1154,0.3107,0.2126,56979,13962,0.1674,2021
strike_7d,model1_markets,2,0.9077,0.8149,0.0998,0.4037,0.2126,56979,13962,0.1674,2021
strike_7d,model2_full,2,0.9083,0.8186,0.0963,0.4246,0.2126,56979,13962,0.1674,2021
strike_7d,model3_structural,2,0.9062,0.8188,0.0924,0.4482,0.2126,56979,13962,0.1674,2021
strike_7d,model4_fao,2,0.8449,0.7054,0.1134,0.3228,0.2126,56979,13962,0.1674,2021
strike_7d,model_lr_nolag,2,0.8435,0.6977,0.1154,0.3108,0.2126,56979,13962,0.1674,2021
strike_7d,model9_twostage,2,0.8926,0.7851,0.0897,0.4644,0.2126,56979,13962,0.1674,2021
strike_7d,model5_xgb,2,0.908,0.7978,0.0814,0.5137,0.2126,42705,13962,0.1674,2021
strike_7d,model6_xgb_nolag,2,0.9019,0.7795,0.0822,0.5092,0.2126,42705,13962,0.1674,2021
strike_7d,model7_xgb_nobaseline,2,0.8923,0.7861,0.084,0.4981,0.2126,42705,13962,0.1674,2021
