target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.8291,0.7959,0.2328,0.0076,0.3758582037270562
protest_7d,static,2,0.8674,0.8269,0.1359,0.4141,0.3654204268729408
strike_7d,static,1,0.8651,0.7798,0.1653,0.0514,0.2248143477651674
strike_7d,static,2,0.9052,0.815,0.0975,0.4178,0.2125769946998997
protest_7d,expanding,2020-01,0.8528,0.8552,0.15,0.3904,
protest_7d,expanding,2020-02,0.8534,0.8697,0.1499,0.3974,
protest_7d,expanding,2020-03,0.8032,0.7267,0.3083,-0.5363,
protest_7d,expanding,2020-04,0.8656,0.8072,0.1538,0.2896,
protest_7d,expanding,2020-05,0.8836,0.8652,0.1386,0.4153,
protest_7d,expanding,2020-06,0.8713,0.8839,0.1481,0.4058,
protest_7d,expanding,2020-07,0.8507,0.8367,0.1474,0.3885,
protest_7d,expanding,2020-08,0.8683,0.8577,0.1455,0.367,
protest_7d,expanding,2020-09,0.8956,0.8733,0.1142,0.5017,
protest_7d,expanding,2020-10,0.8819,0.8435,0.1319,0.4335,
protest_7d,expanding,2020-11,0.8581,0.8332,0.1379,0.411,
protest_7d,expanding,2020-12,0.9014,0.8258,0.1406,0.3274,
protest_7d,expanding,2021-01,0.859,0.8077,0.1364,0.3929,
protest_7d,expanding,2021-02,0.8276,0.8148,0.1584,0.3436,
protest_7d,expanding,2021-03,0.882,0.8681,0.1333,0.4509,
protest_7d,expanding,2021-04,0.9108,0.8797,0.1203,0.4968,
protest_7d,expanding,2021-05,0.8862,0.8433,0.1269,0.4496,
protest_7d,expanding,2021-06,0.864,0.8548,0.1356,0.4321,
protest_7d,expanding,2021-07,0.8799,0.834,0.1358,0.3896,
protest_7d,expanding,2021-08,0.8697,0.8184,0.1365,0.3997,
protest_7d,expanding,2021-09,0.9055,0.8739,0.1182,0.4895,
protest_7d,expanding,2021-10,0.8584,0.8163,0.1475,0.3509,
protest_7d,expanding,2021-11,0.9097,0.8803,0.1174,0.4993,
protest_7d,expanding,2021-12,0.8696,0.7861,0.1477,0.2822,
strike_7d,expanding,2020-01,0.8307,0.7298,0.1436,0.237,
strike_7d,expanding,2020-02,0.8649,0.7806,0.1382,0.2315,
strike_7d,expanding,2020-03,0.8686,0.7722,0.1243,0.287,
strike_7d,expanding,2020-04,0.9062,0.8379,0.2875,-0.8201,
strike_7d,expanding,2020-05,0.9304,0.8691,0.0981,0.4268,
strike_7d,expanding,2020-06,0.9046,0.8427,0.102,0.4698,
strike_7d,expanding,2020-07,0.9089,0.8359,0.1194,0.3187,
strike_7d,expanding,2020-08,0.9309,0.8496,0.1133,0.3694,
strike_7d,expanding,2020-09,0.9028,0.8028,0.1048,0.4049,
strike_7d,expanding,2020-10,0.9186,0.7994,0.1014,0.3211,
strike_7d,expanding,2020-11,0.9133,0.8315,0.0915,0.4473,
strike_7d,expanding,2020-12,0.8688,0.7727,0.1283,0.2735,
strike_7d,expanding,2021-01,0.9328,0.8374,0.086,0.4418,
strike_7d,expanding,2021-02,0.9269,0.8703,0.0797,0.5043,
strike_7d,expanding,2021-03,0.9025,0.8059,0.1036,0.415,
strike_7d,expanding,2021-04,0.8692,0.7774,0.1079,0.3966,
strike_7d,expanding,2021-05,0.8934,0.8207,0.0976,0.4248,
strike_7d,expanding,2021-06,0.8946,0.8052,0.0983,0.433,
strike_7d,expanding,2021-07,0.916,0.8285,0.0874,0.4209,
strike_7d,expanding,2021-08,0.928,0.8098,0.0957,0.4584,
strike_7d,expanding,2021-09,0.9321,0.8381,0.0907,0.4916,
strike_7d,expanding,2021-10,0.9314,0.8493,0.094,0.4608,
strike_7d,expanding,2021-11,0.886,0.8177,0.1047,0.3639,
strike_7d,expanding,2021-12,0.9058,0.7936,0.1235,0.1105,
