url_normalized,top_expert,top_expert_p,actiongeo_lat,actiongeo_lon,sqldate,dateadded
http://www.gazetteseries.co.uk/news/15039588.Women_from_South_Gloucestershire_joined_a_Women___s_March_to_protest_Donald_Trump___s_presidency/,protests,0.9771615303877894,51.45,-2.58333,20170121,20170121233000
http://www.thestar.com.my/news/nation/2017/01/21/kelantan-floods-over-3000-evacuated/,flood,0.9771013410304508,,,20170121,20170121034500
http://www.daytondailynews.com/news/national-govt--politics/hundreds-thousands-women-protest-against-trump/m3DZhHsUB8l8SJh3iYBAcN/,protests,0.977003230398018,-33.8652,151.201,20170121,20170121170000
http://www.mirror.co.uk/news/uk-news/tens-thousands-british-women-march-9667186,protests,0.975811128082001,51.5,-0.116667,20170121,20170121183000
https://sputniknews.com/europe/201701211049859164-koblenz-eurosceptics-protest/,protests,0.9756429691670748,52.5,5.75,20170121,20170121143000
http://awarenessact.com/politicians-around-the-us-move-to-make-protesting-illegal/,protests,0.9729644833449992,39.8647,-86.2604,20170121,20170121211500
http://www.firstpost.com/world/thousands-of-protesters-and-womens-rights-groups-march-in-washington-to-protest-donald-trump-3214554.html,protests,0.9728005942464298,47.3917,-121.571,20170121,20170121151500
http://westchester.news12.com/news/hundreds-of-thousands-of-women-protest-against-trump-1.12993211,protests,0.9726689448956322,47.2157,-122.421,20170121,20170121184500
http://connecticut.news12.com/news/hundreds-of-thousands-of-women-protest-against-trump-1.12993197,protests,0.9726689448956322,41.5834,-72.7622,20170121,20170121184500
http://deadline.com/2017/01/womens-march-los-angeles-750-thousand-people-1201891506/,protests,0.9722531690290356,38.0,-97.0,20170121,20170121231500
http://www.thewrap.com/millions-worldwide-hit-streets-protest-trump-presidency/,protests,0.9716562204592952,34.0983,-118.327,20170121,20170121213000
http://punchng.com/trump-thousands-women-protest-across-world/,protests,0.9716391494458738,-33.8833,151.217,20170121,20170121234500
http://ottawacitizen.com/news/local-news/ottawa-marchers-kick-off-protest-in-support-of-womens-march-in-washington,protests,0.9715803462456416,45.4167,-75.7,20170121,20170121171500
https://in.news.yahoo.com/womens-march-women-protest-across-nation-against-mass-181847615.html,protests,0.9714305271493032,28.6667,77.2167,20170121,20170121193000
http://sacramento.cbslocal.com/2017/01/21/thousands-of-protesters-gather-in-sacramento-for-womens-march/,protests,0.9713660569820852,38.5816,-121.494,20170121,20170121234500
http://www.10news.com/news/multiple-people-rescued-from-rising-waters-in-mission-valley,flood,0.9706595591589334,32.6401,-117.084,20170121,20170121044500
https://contacto-latino.com/en/news/201403/106413528/womens-marches-millions-of-protesters-around-the-country-vow-to-resist-donald-trump-washington-post/,protests,0.9702944645426428,38.8951,-77.0364,20170121,20170121203000
https://thinkprogress.org/what-protesters-at-the-womens-march-plan-to-do-when-they-get-home-9b37ed5a023d?gi=cd751e4deb60,protests,0.9700177808273476,46.7762,-123.51,20170121,20170121214500
