iso3,year_month,protest_this_month,strike_this_month,protest_next_month,strike_next_month,n_protest_events,n_strike_events,n_protest_days,n_strike_days,n_articles,gdelt_n_raw,coverage_flag
AFG,2018-01,1,0,1,0,6,0,4,0,6,7,low
AFG,2018-02,1,0,1,0,14,0,6,0,18,15,low
AFG,2018-03,1,0,1,0,10,0,5,0,14,6,low
AFG,2018-04,1,0,1,1,10,0,4,0,14,9,low
AFG,2018-05,1,1,1,0,5,2,3,1,12,13,low
AFG,2018-06,1,0,1,1,16,0,8,0,130,25,low
AFG,2018-07,1,1,1,0,24,2,11,1,61,28,low
AFG,2018-08,1,0,1,0,14,0,6,0,14,13,low
AFG,2018-09,1,0,1,0,14,0,7,0,22,14,low
AFG,2018-10,1,0,1,0,2,0,1,0,6,5,low
AFG,2018-11,1,0,1,0,15,0,7,0,46,20,low
AFG,2018-12,1,0,1,0,8,0,3,0,8,10,low
AFG,2019-01,1,0,1,0,30,0,12,0,87,27,low
AFG,2019-02,1,0,1,0,14,0,6,0,18,11,low
AFG,2019-03,1,0,1,0,15,0,8,0,37,68,medium
AFG,2019-04,1,0,1,0,15,0,8,0,21,27,low
AFG,2019-05,1,0,1,0,10,0,4,0,18,16,low
AFG,2019-06,1,0,1,0,16,0,8,0,64,16,low
AFG,2019-07,1,0,1,0,3,0,2,0,5,7,low
AFG,2019-09,1,0,1,0,6,0,3,0,24,19,low
AFG,2019-10,1,0,1,0,2,0,1,0,2,2,low
AFG,2019-11,1,0,1,0,6,0,3,0,8,8,low
AFG,2019-12,1,0,1,0,10,0,6,0,24,19,low
AFG,2020-01,1,0,1,0,6,0,3,0,6,4,low
AFG,2020-02,1,0,1,0,10,0,5,0,16,10,low
AFG,2020-03,1,0,1,1,10,0,4,0,58,11,low
AFG,2020-04,1,1,1,0,10,2,5,1,20,11,low
AFG,2020-05,1,0,1,0,8,0,3,0,16,9,low
AFG,2020-06,1,0,1,0,4,0,2,0,4,4,low
AFG,2020-07,1,0,0,0,2,0,1,0,2,6,low
AFG,2020-08,0,0,0,0,0,0,0,0,0,51,medium
AFG,2020-09,0,0,1,0,0,0,0,0,0,9,low
AFG,2020-10,1,0,1,0,2,0,1,0,2,1,low
AFG,2020-11,1,0,0,0,1,0,1,0,1,3,low
AGO,2018-02,0,0,0,0,0,0,0,0,0,1,low
AGO,2018-04,0,0,0,0,0,0,0,0,0,1,low
AGO,2018-07,0,0,1,0,0,0,0,0,0,1,low
AGO,2018-10,1,0,0,0,2,0,1,0,2,3,low
AGO,2019-01,0,0,0,0,0,0,0,0,0,1,low
