feature,importance,model_name
num__country_protest_baseline,0.16777338,
num__country_strike_baseline,0.09800695,
num__gdelt_protest_28d_lag,0.08302382,
num__gdelt_protest_7d_lag,0.05955111,
num__voice_accountability_est,0.039365232,
num__unemployment_youth,0.026190529,
num__rule_of_law_est,0.023300944,
num__gdelt_strike_7d_lag,0.023055214,
num__unemployment_total,0.022203343,
num__political_stability_est,0.021286303,
num__gdelt_strike_28d_lag,0.02065172,
num__inflation_cpi_yoy_z,0.019478645,
num__unemployment_sa,0.018132951,
num__unemployment_rate,0.017482478,
num__government_effectiveness_est,0.015585678,
num__gdelt_strike_7d_lag,0.1584559082984924,model5_xgb
num__gdelt_protest_28d_lag,0.1235735714435577,model5_xgb
num__gdelt_protest_7d_lag,0.0925170332193374,model5_xgb
num__gdelt_strike_28d_lag,0.0282729342579841,model5_xgb
fe__country_iso3_MYS,0.0178627502173185,model5_xgb
num__gini_coef,0.0165586676448583,model5_xgb
fe__country_iso3_DEU,0.015967646613717,model5_xgb
fe__country_iso3_LAO,0.015671569854021,model5_xgb
num__political_stability_est,0.0141858477145433,model5_xgb
num__rule_of_law_est,0.0141437435522675,model5_xgb
num__government_effectiveness_est,0.0135734071955084,model5_xgb
fe__country_iso3_FRA,0.0133387790992856,model5_xgb
fe__country_iso3_PHL,0.0132733108475804,model5_xgb
num__unemployment_total,0.0125935086980462,model5_xgb
num__gold_pct_30d_x_gold_prod,0.0119577860459685,model5_xgb
fe__country_iso3_IRL,0.0113526973873376,model5_xgb
num__fx_vol_30d,0.01035787910223,model5_xgb
num__inflation_cpi_yoy,0.0095941182225942,model5_xgb
num__unemployment_rate,0.0093538416549563,model5_xgb
fe__country_iso3_NAM,0.0091970115900039,model5_xgb
fe__country_iso3_GRC,0.0089888582006096,model5_xgb
fe__country_iso3_PRT,0.0089113414287567,model5_xgb
fe__country_iso3_THA,0.0087126120924949,model5_xgb
num__unemployment_sa,0.0084708929061889,model5_xgb
fe__country_iso3_CHL,0.0081369206309318,model5_xgb
num__food_cpi_inflation,0.0080279065296053,model5_xgb
num__unemployment_youth,0.0075577143579721,model5_xgb
num__month_cos,0.0072551677003502,model5_xgb
num__energy_cpi_inflation,0.0071726096794009,model5_xgb
num__gdp_per_capita_growth,0.0070971306413412,model5_xgb
num__inflation_cpi_yoy_z,0.0069386735558509,model5_xgb
num__gta_90d_count,0.0068501997739076,model5_xgb
num__fao_cereals_yoy_x_instability,0.0068498710170388,model5_xgb
num__voice_accountability_est,0.0068037565797567,model5_xgb
num__dxy_level,0.0067211678251624,model5_xgb
num__gdp_growth,0.0067036338150501,model5_xgb
num__fao_oils_index_yoy_lag1m,0.006436375901103,model5_xgb
num__food_cpi_inflation_z,0.0064332112669944,model5_xgb
fe__country_iso3_HUN,0.006388823967427,model5_xgb
num__fao_oils_index_yoy_lag6m,0.00631835591048,model5_xgb
num__unemployment_rate_z,0.0058285361155867,model5_xgb
fe__country_iso3_KOR,0.0057645491324365,model5_xgb
num__gta_30d_count,0.0054285796359181,model5_xgb
num__gta_90d_count_z,0.0053416555747389,model5_xgb
num__copper_vol_30d,0.0053407615050673,model5_xgb
num__dxy_vol_30d,0.0051608062349259,model5_xgb
num__gta_harmful_events_z,0.0050674136728048,model5_xgb
num__gdelt_protest_region_14d,0.00505599565804,model5_xgb
num__copper_pct_30d_x_copper_prod,0.0049799578264355,model5_xgb
num__gold_vol_30d,0.0049436250701546,model5_xgb
num__fao_oils_index_yoy_lag3m,0.0048947283066809,model5_xgb
fe__country_iso3_VNM,0.0048006069846451,model5_xgb
num__fx_vol_7d,0.0045824414119124,model5_xgb
num__fao_food_yoy_x_youth_unemp,0.0044458424672484,model5_xgb
num__gdelt_strike_region_14d,0.0044156881049275,model5_xgb
num__vix_pct_30d_lag60d,0.0044062370434403,model5_xgb
num__fao_food_index_yoy_lag1m,0.0043209353461861,model5_xgb
num__oil_brent_pct_30d_lag60d,0.0043024709448218,model5_xgb
num__dxy_pct_30d,0.0042392434552311,model5_xgb
num__month_sin,0.0041912533342838,model5_xgb
num__fao_food_index_yoy_lag6m,0.0041134310886263,model5_xgb
