model_name,feature,mean_abs_shap
model7_xgb_nobaseline,num__gdelt_protest_28d_lag,0.65812624
model7_xgb_nobaseline,num__gdelt_strike_28d_lag,0.15661949
model7_xgb_nobaseline,num__gdelt_protest_7d_lag,0.1300616
model7_xgb_nobaseline,num__government_effectiveness_est,0.11400316
model7_xgb_nobaseline,num__political_stability_est,0.09356828
model7_xgb_nobaseline,num__gini_coef,0.08523509
model7_xgb_nobaseline,num__gdp_per_capita_growth,0.07809011
model7_xgb_nobaseline,num__energy_cpi_inflation,0.075373456
model7_xgb_nobaseline,num__rule_of_law_est,0.06872572
model7_xgb_nobaseline,num__gdelt_strike_7d_lag,0.06813492
model7_xgb_nobaseline,num__fao_food_index_yoy,0.052863773
model7_xgb_nobaseline,num__fx_vol_30d,0.030446058
model7_xgb_nobaseline,num__inflation_cpi_yoy,0.0297615
model7_xgb_nobaseline,num__gta_90d_count,0.024986092
model7_xgb_nobaseline,num__voice_accountability_est,0.022948198
model7_xgb_nobaseline,num__unemployment_youth,0.021826873
model7_xgb_nobaseline,num__unemployment_total,0.020943388
model7_xgb_nobaseline,num__unemployment_rate,0.020035543
model7_xgb_nobaseline,num__gold_vol_30d,0.019997215
model7_xgb_nobaseline,num__dxy_level,0.019056983
model7_xgb_nobaseline,fe__country_iso3_MYS,0.017601876
model7_xgb_nobaseline,num__oil_brent_pct_30d_lag60d,0.016664654
model7_xgb_nobaseline,num__gold_pct_30d_x_gold_prod,0.016339041
model7_xgb_nobaseline,num__unemployment_sa,0.015516687
model7_xgb_nobaseline,num__food_cpi_inflation_z,0.014965517
model7_xgb_nobaseline,num__dxy_vol_30d,0.0142247
model7_xgb_nobaseline,num__gdp_growth,0.014159439
model7_xgb_nobaseline,num__fao_cereals_index_yoy,0.013869079
model7_xgb_nobaseline,num__gta_harmful_events_z,0.013472603
model7_xgb_nobaseline,num__vix_pct_30d_lag60d,0.013126391
model7_xgb_nobaseline,num__dxy_pct_30d,0.011780428
model7_xgb_nobaseline,num__energy_cpi_inflation_z,0.011176595
model7_xgb_nobaseline,num__month_cos,0.011029473
model7_xgb_nobaseline,num__gta_30d_count,0.0109492745
model7_xgb_nobaseline,num__unemployment_rate_z,0.0105554145
model7_xgb_nobaseline,num__fao_cereals_yoy_x_instability,0.010383805
model7_xgb_nobaseline,fe__country_iso3_MOZ,0.010251656
model7_xgb_nobaseline,num__gdelt_protest_region_14d,0.008242958
model7_xgb_nobaseline,num__yield_us10y,0.0073360535
model7_xgb_nobaseline,num__silver_pct_30d,0.0068767522
model7_xgb_nobaseline,num__gta_liberalising_events_z,0.006802558
model7_xgb_nobaseline,fe__country_iso3_PHL,0.006663922
model7_xgb_nobaseline,fe__country_iso3_NAM,0.006589412
model7_xgb_nobaseline,num__fao_food_yoy_x_youth_unemp,0.0064639617
model7_xgb_nobaseline,num__copper_pct_90d,0.006292336
model7_xgb_nobaseline,num__fao_food_index_yoy_lag1m,0.006068141
model7_xgb_nobaseline,num__gta_30d_count_z,0.005979585
model7_xgb_nobaseline,fe__country_iso3_PRT,0.005677045
model7_xgb_nobaseline,num__fx_pct_30d_lag60d,0.0052325497
model7_xgb_nobaseline,num__vix_level,0.004321257
model7_xgb_nobaseline,num__fao_oils_index_yoy,0.004241986
model7_xgb_nobaseline,num__gta_90d_count_z,0.0041453782
model7_xgb_nobaseline,num__fx_vol_30d_z,0.0040932517
model7_xgb_nobaseline,num__vix_7d_ma,0.0040886668
model7_xgb_nobaseline,num__fx_vol_7d,0.004039569
model7_xgb_nobaseline,num__fao_cereals_index_yoy_lag1m,0.0039300174
model7_xgb_nobaseline,num__food_cpi_inflation,0.0039070575
model7_xgb_nobaseline,num__natgas_pct_30d,0.0038311468
model7_xgb_nobaseline,num__oil_brent_pct_14d,0.003701244
model7_xgb_nobaseline,num__gdelt_strike_region_14d,0.0036454834
model7_xgb_nobaseline,num__oil_brent_pct_30d_lag30d,0.00301734
model7_xgb_nobaseline,fe__country_iso3_DEU,0.002933125
model7_xgb_nobaseline,num__copper_pct_30d,0.0029261252
model7_xgb_nobaseline,num__oil_brent_pct_30d,0.0027896524
model7_xgb_nobaseline,num__platinum_pct_30d,0.002664867
model7_xgb_nobaseline,fe__country_iso3_FRA,0.0026314966
model7_xgb_nobaseline,num__oil_brent_pct_30d_z,0.0025419528
model7_xgb_nobaseline,num__oil_brent_pct_30d_lag90d,0.0024300385
model7_xgb_nobaseline,num__vix_pct_30d,0.002428088
model7_xgb_nobaseline,num__fao_oils_index_yoy_lag6m,0.002407436
model7_xgb_nobaseline,fe__country_iso3_GRC,0.0023619672
model7_xgb_nobaseline,num__gold_pct_30d,0.002215656
model7_xgb_nobaseline,num__fx_pct_30d_x_instability,0.0022034845
model7_xgb_nobaseline,num__fx_pct_90d,0.0021620065
model7_xgb_nobaseline,num__fx_pct_30d_z,0.0021008705
model7_xgb_nobaseline,num__fao_food_index_yoy_lag3m,0.0019747692
model7_xgb_nobaseline,num__month_sin,0.0019225411
model7_xgb_nobaseline,num__vix_pct_30d_lag30d,0.0018280705
model7_xgb_nobaseline,num__copper_pct_30d_x_copper_prod,0.0017836847
model7_xgb_nobaseline,fe__country_iso3_IRL,0.0017721498
model7_xgb_nobaseline,num__oil_brent_pct_30d_x_inflation,0.0015875304
model7_xgb_nobaseline,num__fx_pct_30d,0.0015868517
model7_xgb_nobaseline,num__fx_pct_30d_lag30d,0.0015285148
model7_xgb_nobaseline,num__fao_cereals_index_yoy_lag6m,0.0014583695
model7_xgb_nobaseline,fe__country_iso3_ZAF,0.0014260751
model7_xgb_nobaseline,num__fao_food_index_yoy_lag6m,0.0014164941
model7_xgb_nobaseline,num__copper_vol_30d,0.0013704976
model7_xgb_nobaseline,fe__country_iso3_KOR,0.0012597261
model7_xgb_nobaseline,num__oil_brent_pct_30d_x_net_importer,0.0011726168
model7_xgb_nobaseline,fe__country_iso3_HUN,0.0011224978
model7_xgb_nobaseline,fe__country_iso3_VNM,0.000986846
model7_xgb_nobaseline,fe__country_iso3_CHL,0.0009389414
model7_xgb_nobaseline,num__fao_oils_index_yoy_lag3m,0.0009293511
model7_xgb_nobaseline,fe__country_iso3_ZWE,0.0008771808
model7_xgb_nobaseline,num__inflation_cpi_yoy_z,0.0008450982
model7_xgb_nobaseline,num__fx_trend_consistent,0.00074216194
model7_xgb_nobaseline,fe__country_iso3_GBR,0.0007293536
model7_xgb_nobaseline,fe__country_iso3_IND,0.0007162499
model7_xgb_nobaseline,num__fao_cereals_index_yoy_lag3m,0.00070522656
model7_xgb_nobaseline,num__fx_pct_7d,0.00055778486
model7_xgb_nobaseline,fe__country_iso3_POL,0.0005348692
model7_xgb_nobaseline,fe__country_iso3_MAR,0.00031685337
model7_xgb_nobaseline,fe__country_iso3_ESP,0.00029387302
model7_xgb_nobaseline,num__fao_oils_index_yoy_lag1m,0.0002893247
model7_xgb_nobaseline,fe__country_iso3_THA,0.0002012612
model7_xgb_nobaseline,num__platinum_pct_30d_x_plat_prod,0.0001900658
model7_xgb_nobaseline,fe__country_iso3_PER,0.00014358561
model7_xgb_nobaseline,fe__country_iso3_NLD,0.0001273274
model7_xgb_nobaseline,fe__country_iso3_BRA,8.924566e-05
model7_xgb_nobaseline,fe__country_iso3_ITA,3.699115e-05
model7_xgb_nobaseline,num__gta_liberalising_events,1.4211618e-05
model7_xgb_nobaseline,fe__country_iso3_AUS,0.0
model7_xgb_nobaseline,fe__country_iso3_BOL,0.0
model7_xgb_nobaseline,fe__country_iso3_CAN,0.0
model7_xgb_nobaseline,fe__country_iso3_CHN,0.0
model7_xgb_nobaseline,fe__country_iso3_IDN,0.0
model7_xgb_nobaseline,fe__country_iso3_JPN,0.0
model7_xgb_nobaseline,fe__country_iso3_KEN,0.0
model7_xgb_nobaseline,fe__country_iso3_LAO,0.0
model7_xgb_nobaseline,fe__country_iso3_MEX,0.0
model7_xgb_nobaseline,fe__country_iso3_NOR,0.0
model7_xgb_nobaseline,fe__country_iso3_SWE,0.0
model7_xgb_nobaseline,fe__country_iso3_TUR,0.0
model7_xgb_nobaseline,fe__country_iso3_USA,0.0
model7_xgb_nobaseline,num__covid_period,0.0
model7_xgb_nobaseline,num__fao_cereals_index_yoy_above90,0.0
model7_xgb_nobaseline,num__fao_food_index_yoy_above90,0.0
model7_xgb_nobaseline,num__gta_harmful_events,0.0
model7_xgb_nobaseline,num__inflation_accel,0.0
model5_xgb,num__gdelt_protest_28d_lag,0.6874765157699585
model5_xgb,num__gdelt_protest_7d_lag,0.1645846664905548
model5_xgb,num__gdelt_strike_28d_lag,0.1488099545240402
model5_xgb,num__government_effectiveness_est,0.1164690554141998
model5_xgb,num__political_stability_est,0.1026879325509071
model5_xgb,num__gini_coef,0.0776984021067619
model5_xgb,num__energy_cpi_inflation,0.0729297250509262
model5_xgb,num__fao_food_index_yoy,0.0626958683133125
model5_xgb,num__rule_of_law_est,0.0610737465322017
model5_xgb,num__gdp_per_capita_growth,0.054490178823471
model5_xgb,num__gdelt_strike_7d_lag,0.0474366545677185
model5_xgb,num__inflation_cpi_yoy,0.0434004887938499
model5_xgb,num__gold_vol_30d,0.0421030148863792
model5_xgb,num__fao_cereals_index_yoy,0.0336969271302223
model5_xgb,num__voice_accountability_est,0.0322097577154636
model5_xgb,num__fx_vol_30d,0.0296394079923629
model5_xgb,num__unemployment_youth,0.0268581062555313
model5_xgb,num__unemployment_rate,0.0265157371759414
model5_xgb,num__dxy_level,0.0261129178106784
model5_xgb,num__gta_90d_count,0.0249793864786624
model5_xgb,num__copper_pct_90d,0.0238337572664022
model5_xgb,num__unemployment_total,0.0213062390685081
model5_xgb,num__oil_brent_pct_30d_lag60d,0.0201117470860481
model5_xgb,fe__country_iso3_MOZ,0.0196367017924785
model5_xgb,num__yield_us10y,0.018403248861432
model5_xgb,fe__country_iso3_MYS,0.0171578228473663
model5_xgb,num__food_cpi_inflation_z,0.0168158523738384
model5_xgb,num__fao_food_yoy_x_youth_unemp,0.0163687989115715
model5_xgb,num__dxy_vol_30d,0.0161227397620677
model5_xgb,num__gta_30d_count,0.015447162091732
model5_xgb,num__gdelt_strike_region_14d,0.0154349943622946
model5_xgb,num__month_cos,0.0150690507143735
model5_xgb,num__gdp_growth,0.0146518042311072
model5_xgb,num__dxy_pct_30d,0.01408252120018
model5_xgb,num__gold_pct_30d_x_gold_prod,0.0138581078499555
model5_xgb,num__gta_harmful_events_z,0.0134655646979808
model5_xgb,num__unemployment_sa,0.0130228418856859
model5_xgb,num__gta_30d_count_z,0.0122478175908327
model5_xgb,num__unemployment_rate_z,0.0114221051335334
model5_xgb,num__fao_cereals_yoy_x_instability,0.0111127570271492
model5_xgb,fe__country_iso3_PHL,0.0105492966249585
model5_xgb,fe__country_iso3_NAM,0.010325220413506
model5_xgb,num__food_cpi_inflation,0.0097685707733035
model5_xgb,num__energy_cpi_inflation_z,0.0096222832798957
model5_xgb,num__fao_cereals_index_yoy_lag1m,0.0093934703618288
model5_xgb,num__silver_pct_30d,0.0093536647036671
model5_xgb,fe__country_iso3_ZAF,0.0077603864483535
