month,model_name,roc_auc,pr_auc,brier,brier_skill_score
2020-01,model0_persistence,0.8514758423569504,0.868416145058342,0.1540588122953429,0.3811223030432883
2020-01,model1_markets,0.8535508162480075,0.8671698456540001,0.1530128770398418,0.3853239841574422
2020-01,model2_full,0.8427829384928268,0.8620846262237792,0.1557822211532601,0.3741991073558005
2020-02,model0_persistence,0.834600790513834,0.8267425905495529,0.1744100501243335,0.294550089716703
2020-02,model1_markets,0.8334260869565218,0.8258534939196164,0.1785709712435821,0.2777200880730064
2020-02,model2_full,0.8059857707509881,0.813852949721726,0.1877639256151779,0.2405366297111884
2020-03,model0_persistence,0.8519477900074915,0.8284020512823791,0.1693707578001171,0.2866766016480349
2020-03,model1_markets,0.8478217022993144,0.8216160139105542,0.1644309221100796,0.3074812578205979
2020-03,model2_full,0.8378897020688065,0.8091428070296198,0.1713291586606372,0.2784285830685217
2020-04,model0_persistence,0.882941168793882,0.8396787447446284,0.157824420374695,0.2951287779248558
2020-04,model1_markets,0.8835088612220394,0.8421855280493828,0.1488677897373054,0.3351306430865588
2020-04,model2_full,0.8801907968574636,0.8357854935975461,0.1477954793812916,0.3399197670338718
2020-05,model0_persistence,0.8855027168240297,0.8455730128995677,0.1482141023091445,0.3539215393228737
2020-05,model1_markets,0.8787598637711069,0.836855046586873,0.1358901130373369,0.407642905198863
2020-05,model2_full,0.8906500694862787,0.8470338211114977,0.1330757604705058,0.4199109184705578
2020-06,model0_persistence,0.9243400367620384,0.9232635832816416,0.1085704217029865,0.5506867176904664
2020-06,model1_markets,0.9204748833047138,0.9100387858215396,0.108426662223632,0.5512816591350946
2020-06,model2_full,0.9163512467651824,0.9010507478059714,0.1149762530451468,0.5241765037563137
2020-07,model0_persistence,0.8627617907696803,0.8610860171629664,0.148571888541753,0.3898393808178431
2020-07,model1_markets,0.8617784071432986,0.8614877736029786,0.1465948136490514,0.3979589063387249
2020-07,model2_full,0.8610928482723355,0.8603708556383167,0.1526104216399416,0.3732537812137437
2020-08,model0_persistence,0.8969480530733195,0.8731159241389765,0.1342551461646814,0.4332274438359228
2020-08,model1_markets,0.8951617095754943,0.8727896142075529,0.1210848340985171,0.4888273344059444
2020-08,model2_full,0.892285075583847,0.8714789483381471,0.1224865480867588,0.4829098478676467
2020-09,model0_persistence,0.8464746829350467,0.8322641775862984,0.1656498159666732,0.3178650365894792
2020-09,model1_markets,0.842523403845691,0.8327088947309779,0.1589991683453449,0.3452519627104459
2020-09,model2_full,0.8460219478737996,0.8343012879429614,0.1586338565865215,0.3467562923215853
2020-10,model0_persistence,0.8877905755162072,0.8688236341505723,0.1463773384522228,0.318864329818146
2020-10,model1_markets,0.8919673498494196,0.8759285367150207,0.0996896104698572,0.5361156968999183
2020-10,model2_full,0.8917763388280837,0.8776843347397552,0.0982366657370524,0.5428766647845695
2020-11,model0_persistence,0.8464415308523295,0.8647005875193686,0.1494571981499403,0.3929760517342007
2020-11,model1_markets,0.8505582406888184,0.8651981373047406,0.1522760602378136,0.3815271766356526
2020-11,model2_full,0.8509795544162283,0.8735318118291369,0.1493112863298554,0.3935686760455283
2020-12,model0_persistence,0.8440000571559214,0.8409496917751877,0.152597273859218,0.362572771342548
2020-12,model1_markets,0.8464277549154092,0.8456064898390034,0.141338671983833,0.4096020478852281
2020-12,model2_full,0.8577760631001372,0.8591918610792671,0.1336400076167875,0.4417608025453999
2021-01,model0_persistence,0.865427591898927,0.8533832843943662,0.1537973521931395,0.2863860467556965
2021-01,model1_markets,0.8695638372166847,0.8544735613546555,0.1106559963845134,0.4865603217214398
2021-01,model2_full,0.87794425750746,0.8614560447198255,0.107055891430833,0.5032646738540048
2021-02,model0_persistence,0.9031827348481966,0.8996552122393178,0.1202907148884775,0.503815936716212
2021-02,model1_markets,0.8955000328616249,0.8882246512496238,0.1243810693966132,0.4869437390407759
2021-02,model2_full,0.8987135538636623,0.8927743332751225,0.121203517728333,0.50005073985562
2021-03,model0_persistence,0.9230465899522872,0.8989683168132344,0.1182218019189766,0.515008246840495
2021-03,model1_markets,0.916424361493124,0.8941483019885242,0.1209535915085068,0.5038013848168797
2021-03,model2_full,0.8818832444569183,0.8797926469638875,0.1314344975557285,0.4608046370425065
2021-04,model0_persistence,0.8054744450725015,0.8179852665018282,0.1798349834049641,0.2790083534693975
2021-04,model1_markets,0.8030084260531102,0.8154169420608081,0.1902747569006887,0.2371533743125378
2021-04,model2_full,0.8138214215633156,0.8300197770714768,0.1769187129921108,0.2907002199065123
2021-05,model0_persistence,0.8662470374156155,0.8661845544024008,0.1402494160356093,0.4243322062959961
2021-05,model1_markets,0.8608062722544846,0.8655096616211315,0.1378503234687891,0.4341795223410225
2021-05,model2_full,0.8552714345086323,0.8630492781266668,0.1406436750305145,0.4227139307112521
2021-06,model0_persistence,0.8960476536507638,0.8531911388786927,0.1382449864391905,0.3833324254789059
2021-06,model1_markets,0.8981689971031115,0.855504768179168,0.1284008436785397,0.4272440623187716
2021-06,model2_full,0.8921243087711523,0.8482005200820955,0.1392677436534908,0.3787702259596924
2021-07,model0_persistence,0.9064267352185088,0.8384539303218207,0.1399935899450906,0.3584990577950652
2021-07,model1_markets,0.9005517587309549,0.8223345600346995,0.1346747680009029,0.3828718115043958
2021-07,model2_full,0.9333249733525611,0.8690306415654493,0.1230413361253956,0.4361803773618895
2021-08,model0_persistence,0.949049464171238,0.93216575911207,0.1044578376766393,0.5669004855277222
2021-08,model1_markets,0.9421821193743654,0.9236604780573172,0.1040538628068587,0.5685754323182405
2021-08,model2_full,0.9464539992851836,0.931947988585307,0.0981183501725797,0.5931850518281532
2021-09,model0_persistence,0.9381167466986796,0.9232156203047804,0.1077704675713014,0.5572419175919732
2021-09,model1_markets,0.938484393757503,0.9230438540335316,0.1079398140001356,0.5565461843193706
2021-09,model2_full,0.9349729891956782,0.9246945270947856,0.1051671665801381,0.5679371718740962
2021-10,model0_persistence,0.892804563334167,0.8866443336362317,0.1289943696177334,0.4641191105897481
2021-10,model1_markets,0.8912712307587368,0.8831474196922195,0.1217865502055605,0.4940625312890397
2021-10,model2_full,0.8987858393397148,0.8902932191189151,0.1204275533993425,0.4997082072931936
2021-11,model0_persistence,0.8622650312288358,0.8512376387934104,0.1446171693798799,0.404119367404266
2021-11,model1_markets,0.8599292648054782,0.8504409810102049,0.1415489771601767,0.4167615476422123
2021-11,model2_full,0.8525547445255475,0.8419917290177904,0.1488841098798595,0.3865378643553624
2021-12,model0_persistence,0.888888888888889,0.8318175513570252,0.1542259452592232,0.2759948680886462
2021-12,model1_markets,0.8888888888888888,0.8293633389028127,0.1397692193550234,0.3438611646944733
2021-12,model2_full,0.8765432098765433,0.8191287348272643,0.1474471671288336,0.3078174654229756
2020-01,model9_twostage,0.854476996647062,0.8700773616834326,0.1473137673108149,0.4082181753514009
2020-02,model9_twostage,0.8117090909090909,0.8115402411538308,0.1890084654274436,0.2355027426256626
2020-03,model9_twostage,0.819676712960295,0.7987453937622251,0.1788358440845865,0.2468133595994854
2020-04,model9_twostage,0.8702170281627646,0.8330831166615037,0.1312915536575227,0.4136291604619094
2020-05,model9_twostage,0.8866807030937798,0.8494887464665384,0.1277938481131116,0.4429352444431225
2020-06,model9_twostage,0.9318632548915278,0.9238354970283538,0.1027411886469625,0.5748107083378873
