feature,label,block,shap_protest,shap_strike
num__gta_30d_count_z,GTA Interventions 30d (z),FAO / GTA (M4),0.009031,0.03921
num__gta_liberalising_events_z,GTA Liberalising Events (z),FAO / GTA (M4),0.017031,0.038439
num__fx_pct_30d_lag60d,FX Change 30d Lag60,Markets (M1),0.004429,0.038009
num__energy_cpi_inflation_z,Energy CPI Inflation (z),Macro/Governance (M2),0.008798,0.036404
num__fx_pct_30d,FX Change 30d,Markets (M1),0.003214,0.034031
num__oil_brent_pct_30d_x_net_importer,Oil×Net Importer,Structural (M3),0.004345,0.033619
num__copper_pct_90d,Copper Change 90d,Markets (M1),0.00771,0.032975
num__fx_pct_90d,FX Change 90d,Markets (M1),0.001579,0.03272
num__gta_30d_count,GTA Interventions 30d,FAO / GTA (M4),0.019823,0.03092
num__natgas_pct_30d,Nat. Gas Change 30d,Markets (M1),0.00278,0.03083
num__gta_90d_count_z,GTA Interventions 90d (z),FAO / GTA (M4),0.004561,0.030626
num__fao_cereals_yoy_x_instability,FAO Cereals×Instability,FAO / GTA (M4),0.010385,0.0302
num__dxy_level,DXY Level,Markets (M1),0.017972,0.028301
num__fx_pct_7d,FX Change 7d,Markets (M1),0.002793,0.028086
num__platinum_pct_30d,Platinum Change 30d,Markets (M1),0.001584,0.028059
num__inflation_cpi_yoy_z,CPI Inflation YoY (z),Macro/Governance (M2),0.00689,0.028033
num__fao_cereals_index_yoy_lag6m,FAO Cereals Lag 6m,FAO / GTA (M4),0.003856,0.027528
fe__country_iso3_MOZ,Country Iso3 Moz,Country FE,0.017308,0.027517
num__dxy_pct_30d,DXY Change 30d,Markets (M1),0.006318,0.02635
num__fx_vol_30d_z,FX Volatility 30d (z),Markets (M1),0.003717,0.026122
fe__country_iso3_USA,Country Iso3 Usa,Country FE,0.0,0.025423
num__fx_vol_7d,FX Volatility 7d,Markets (M1),0.006755,0.024345
num__dxy_vol_30d,DXY Volatility 30d,Markets (M1),0.003721,0.024101
fe__country_iso3_PHL,Country Iso3 Phl,Country FE,0.023776,0.017548
num__copper_pct_30d,Copper Change 30d,Markets (M1),0.001256,0.023574
num__vix_pct_30d_lag30d,VIX Change Lag30,Markets (M1),0.002471,0.023322
num__oil_brent_pct_30d_lag60d,Oil Change Lag60,Markets (M1),0.004547,0.022968
num__oil_brent_pct_30d_x_inflation,Oil×Inflation,Structural (M3),0.001765,0.022329
num__oil_brent_pct_30d_lag30d,Oil Change Lag30,Markets (M1),0.005805,0.020223
num__fx_pct_30d_z,FX Change 30d (z),Markets (M1),0.001839,0.019885
num__vix_7d_ma,VIX 7d MA,Markets (M1),0.004587,0.018713
num__fx_pct_30d_lag30d,FX Change 30d Lag30,Markets (M1),0.003103,0.01805
fe__country_iso3_BOL,Country Iso3 Bol,Country FE,0.003696,0.017946
fe__country_iso3_FRA,Country Iso3 Fra,Country FE,0.001752,0.017577
num__vix_pct_30d,VIX Change 30d,Markets (M1),0.003349,0.017562
fe__country_iso3_POL,Country Iso3 Pol,Country FE,0.0,0.016411
num__oil_brent_pct_30d_lag90d,Oil Change Lag90,Markets (M1),0.002472,0.014146
fe__country_iso3_JPN,Country Iso3 Jpn,Country FE,0.0,0.013973
num__gold_pct_30d,Gold Change 30d,Markets (M1),0.000341,0.01351
fe__country_iso3_KOR,Country Iso3 Kor,Country FE,0.000922,0.013193
num__silver_pct_30d,Silver Change 30d,Markets (M1),0.005021,0.012837
fe__country_iso3_ZWE,Country Iso3 Zwe,Country FE,0.005732,0.012616
num__fao_food_index_yoy_lag3m,FAO Food Lag 3m,FAO / GTA (M4),0.003625,0.012448
num__oil_brent_pct_14d,Oil Change 14d,Markets (M1),0.003616,0.012443
num__vix_pct_30d_lag60d,VIX Change Lag60,Markets (M1),0.003779,0.012315
fe__country_iso3_PRT,Country Iso3 Prt,Country FE,0.011683,0.002207
num__fao_food_index_yoy_lag1m,FAO Food Lag 1m,FAO / GTA (M4),0.002363,0.011187
fe__country_iso3_SWE,Country Iso3 Swe,Country FE,0.001697,0.010451
fe__country_iso3_MAR,Country Iso3 Mar,Country FE,0.0,0.010236
fe__country_iso3_IRL,Country Iso3 Irl,Country FE,0.008985,0.010031
num__fao_food_index_yoy_lag6m,FAO Food Lag 6m,FAO / GTA (M4),0.0,0.009795
fe__country_iso3_NAM,Country Iso3 Nam,Country FE,0.009761,0.005684
num__month_sin,Month (sin),FAO / GTA (M4),0.005216,0.009655
fe__country_iso3_HUN,Country Iso3 Hun,Country FE,0.0,0.00932
num__month_cos,Month (cos),FAO / GTA (M4),0.002655,0.008837
num__fx_pct_30d_x_instability,FX×Instability,Structural (M3),0.008385,0.00217
fe__country_iso3_MYS,Country Iso3 Mys,Country FE,0.008152,0.003195
fe__country_iso3_GRC,Country Iso3 Grc,Country FE,0.00667,0.00653
num__fao_oils_index_yoy_lag3m,FAO Oils Lag 3m,FAO / GTA (M4),0.002008,0.006196
num__inflation_accel,Inflation Acceleration,Structural (M3),0.0,0.006184
fe__country_iso3_LAO,Country Iso3 Lao,Country FE,0.0,0.006008
fe__country_iso3_CAN,Country Iso3 Can,Country FE,0.005956,0.003279
fe__country_iso3_AUS,Country Iso3 Aus,Country FE,0.005763,0.002243
fe__country_iso3_CHL,Country Iso3 Chl,Country FE,0.004136,0.005525
fe__country_iso3_KEN,Country Iso3 Ken,Country FE,0.0,0.004419
fe__country_iso3_CHN,Country Iso3 Chn,Country FE,0.004324,0.002942
fe__country_iso3_DEU,Country Iso3 Deu,Country FE,0.0042,0.0
num__fx_trend_consistent,FX Trend (Consistent),Structural (M3),0.002436,0.004169
