feature,label,block,shap_protest,shap_strike
num__gdelt_strike_28d_lag,GDELT Strike 28d Lag,GDELT Lags (M0),0.288011,0.620168
num__gdelt_protest_7d_lag,GDELT Protest 7d Lag,GDELT Lags (M0),0.441689,0.257907
num__government_effectiveness_est,Gov. Effectiveness,Macro/Governance (M2),0.209302,0.237628
num__gdelt_strike_7d_lag,GDELT Strike 7d Lag,GDELT Lags (M0),0.067418,0.150233
num__voice_accountability_est,Voice & Accountability,Macro/Governance (M2),0.03999,0.14376
num__unemployment_youth,Youth Unemployment,Macro/Governance (M2),0.038441,0.127137
num__political_stability_est,Political Stability,Macro/Governance (M2),0.119018,0.051457
num__gini_coef,Gini Coefficient,Structural (M3),0.109592,0.118544
num__fao_cereals_index_yoy,FAO Cereals YoY,FAO / GTA (M4),0.0297,0.088046
num__fao_cereals_index_yoy_lag1m,FAO Cereals Lag 1m,FAO / GTA (M4),0.002162,0.078235
num__energy_cpi_inflation,Energy CPI Inflation,Macro/Governance (M2),0.070783,0.009098
num__unemployment_rate_z,Unemployment Rate (z),Macro/Governance (M2),0.014823,0.05509
num__inflation_cpi_yoy,CPI Inflation YoY,Macro/Governance (M2),0.044951,0.052183
num__fx_vol_30d,FX Volatility 30d,Markets (M1),0.03316,0.051513
num__gdelt_strike_region_14d,GDELT Strike Region 14d,GDELT Lags (M0),0.006436,0.048527
num__gold_pct_30d_x_gold_prod,Gold×Production,Structural (M3),0.034978,0.044762
num__fao_food_yoy_x_youth_unemp,FAO Food×Youth Unemp.,FAO / GTA (M4),0.009209,0.036558
num__gdelt_protest_region_14d,GDELT Protest Region 14d,GDELT Lags (M0),0.010593,0.035589
num__fao_cereals_index_yoy_lag3m,FAO Cereals Lag 3m,FAO / GTA (M4),0.004981,0.034285
num__gold_vol_30d,Gold Volatility 30d,Markets (M1),0.006865,0.032764
num__gdp_growth,GDP Growth,Macro/Governance (M2),0.026785,0.032753
num__energy_cpi_inflation_z,Energy CPI Inflation (z),Macro/Governance (M2),0.004762,0.027849
fe__country_iso3_MYS,Country Iso3 Mys,Country FE,0.026597,0.0
num__platinum_pct_30d,Platinum Change 30d,Markets (M1),0.002691,0.026552
num__gta_30d_count,GTA Interventions 30d,FAO / GTA (M4),0.008493,0.023635
fe__country_iso3_IND,Country Iso3 Ind,Country FE,0.000365,0.023423
fe__country_iso3_ZAF,Country Iso3 Zaf,Country FE,0.001332,0.023132
num__gta_90d_count,GTA Interventions 90d,FAO / GTA (M4),0.022161,0.020088
num__dxy_pct_30d,DXY Change 30d,Markets (M1),0.010924,0.020524
num__fao_cereals_yoy_x_instability,FAO Cereals×Instability,FAO / GTA (M4),0.019906,0.016703
num__copper_pct_30d_x_copper_prod,Copper×Production,Structural (M3),0.006395,0.018804
fe__country_iso3_MOZ,Country Iso3 Moz,Country FE,0.011282,0.018142
num__fx_pct_30d_lag60d,FX Change 30d Lag60,Markets (M1),0.002147,0.015842
num__fao_cereals_index_yoy_lag6m,FAO Cereals Lag 6m,FAO / GTA (M4),0.002369,0.014871
num__vix_pct_30d_lag30d,VIX Change Lag30,Markets (M1),0.003039,0.014586
num__dxy_level,DXY Level,Markets (M1),0.009906,0.014386
fe__country_iso3_PRT,Country Iso3 Prt,Country FE,0.013595,0.0
num__fao_food_index_yoy_lag1m,FAO Food Lag 1m,FAO / GTA (M4),0.001986,0.012923
num__dxy_vol_30d,DXY Volatility 30d,Markets (M1),0.002373,0.012914
fe__country_iso3_BOL,Country Iso3 Bol,Country FE,0.000359,0.012281
fe__country_iso3_PHL,Country Iso3 Phl,Country FE,0.012189,0.008111
num__gta_harmful_events_z,GTA Harmful Events (z),FAO / GTA (M4),0.009529,0.012033
num__oil_brent_pct_30d_x_net_importer,Oil×Net Importer,Structural (M3),0.001462,0.011338
num__fx_vol_7d,FX Volatility 7d,Markets (M1),0.002532,0.010968
num__gta_30d_count_z,GTA Interventions 30d (z),FAO / GTA (M4),0.001674,0.010393
num__vix_7d_ma,VIX 7d MA,Markets (M1),0.003279,0.010292
fe__country_iso3_POL,Country Iso3 Pol,Country FE,0.0,0.01025
num__copper_vol_30d,Copper Volatility 30d,Markets (M1),0.000792,0.010159
num__food_cpi_inflation,Food CPI Inflation,Macro/Governance (M2),0.009907,0.009532
num__natgas_pct_30d,Nat. Gas Change 30d,Markets (M1),0.001533,0.00987
fe__country_iso3_GBR,Country Iso3 Gbr,Country FE,0.00046,0.00983
num__fx_pct_7d,FX Change 7d,Markets (M1),0.00066,0.009708
num__food_cpi_inflation_z,Food CPI Inflation (z),Macro/Governance (M2),0.004043,0.009401
num__gta_90d_count_z,GTA Interventions 90d (z),FAO / GTA (M4),0.003096,0.009208
fe__country_iso3_MAR,Country Iso3 Mar,Country FE,0.000289,0.009145
num__oil_brent_pct_30d_lag60d,Oil Change Lag60,Markets (M1),0.003497,0.008718
num__vix_pct_30d,VIX Change 30d,Markets (M1),0.003522,0.008713
num__fx_pct_90d,FX Change 90d,Markets (M1),0.001222,0.008315
num__gta_liberalising_events_z,GTA Liberalising Events (z),FAO / GTA (M4),0.002389,0.008066
num__fx_pct_30d,FX Change 30d,Markets (M1),0.001479,0.007393
fe__country_iso3_KOR,Country Iso3 Kor,Country FE,0.002308,0.006995
num__month_sin,Month (sin),FAO / GTA (M4),0.002424,0.006418
num__fx_pct_30d_x_instability,FX×Instability,Structural (M3),0.00158,0.006339
num__fx_pct_30d_lag30d,FX Change 30d Lag30,Markets (M1),0.001132,0.006259
num__fao_oils_index_yoy_lag3m,FAO Oils Lag 3m,FAO / GTA (M4),0.002372,0.005979
num__oil_brent_pct_30d_x_inflation,Oil×Inflation,Structural (M3),0.001719,0.005795
fe__country_iso3_FRA,Country Iso3 Fra,Country FE,0.005738,0.003918
num__vix_pct_30d_lag60d,VIX Change Lag60,Markets (M1),0.005534,0.003664
num__fao_food_index_yoy_lag6m,FAO Food Lag 6m,FAO / GTA (M4),0.001892,0.005265
num__copper_pct_90d,Copper Change 90d,Markets (M1),0.00507,0.00526
num__inflation_cpi_yoy_z,CPI Inflation YoY (z),Macro/Governance (M2),0.004953,0.00522
fe__country_iso3_DEU,Country Iso3 Deu,Country FE,0.004752,0.000997
fe__country_iso3_JPN,Country Iso3 Jpn,Country FE,0.00014,0.004747
num__copper_pct_30d,Copper Change 30d,Markets (M1),0.002294,0.004688
num__month_cos,Month (cos),FAO / GTA (M4),0.003071,0.004518
fe__country_iso3_NAM,Country Iso3 Nam,Country FE,0.004396,0.003272
num__silver_pct_30d,Silver Change 30d,Markets (M1),0.003406,0.004003
fe__country_iso3_CHL,Country Iso3 Chl,Country FE,0.00395,0.001059
fe__country_iso3_ZWE,Country Iso3 Zwe,Country FE,0.003889,0.003526
fe__country_iso3_IRL,Country Iso3 Irl,Country FE,0.003573,0.001223
num__fx_vol_30d_z,FX Volatility 30d (z),Markets (M1),0.002468,0.003324
fe__country_iso3_AUS,Country Iso3 Aus,Country FE,0.000755,0.00299
num__oil_brent_pct_14d,Oil Change 14d,Markets (M1),0.001577,0.002933
fe__country_iso3_HUN,Country Iso3 Hun,Country FE,0.000983,0.002628
num__oil_brent_pct_30d_lag30d,Oil Change Lag30,Markets (M1),0.00096,0.002534
num__fx_pct_30d_z,FX Change 30d (z),Markets (M1),0.00247,0.001683
num__fx_trend_consistent,FX Trend (Consistent),Structural (M3),0.0,0.002056
num__oil_brent_pct_30d_lag90d,Oil Change Lag90,Markets (M1),0.000819,0.001957
fe__country_iso3_CHN,Country Iso3 Chn,Country FE,0.0,0.001871
num__platinum_pct_30d_x_plat_prod,Platinum×Production,Structural (M3),0.001801,0.000208
fe__country_iso3_USA,Country Iso3 Usa,Country FE,0.0,0.001729
fe__country_iso3_GRC,Country Iso3 Grc,Country FE,0.0014,0.001203
fe__country_iso3_CAN,Country Iso3 Can,Country FE,0.001169,0.000282
