model_name,fold_id,event_type,horizon,roc_auc_raw,pr_auc_raw,brier_raw,roc_auc,pr_auc,brier,brier_val_isotonic,brier_val_sigmoid,cal_method
model5_xgb,1,protest,7,0.8459544088582527,0.8150091666737329,0.16120651244067036,0.8444846761136758,0.7997263237928021,0.15514836410749203,0.1481385869898077,0.15003996536811484,isotonic
model6_xgb_nolag,1,protest,7,0.8209118772319101,0.7736164853859439,0.1872076112627014,0.8191818131700698,0.751662094071643,0.1627098687372842,0.1573164423895697,0.16264985256757206,isotonic
model7_xgb_nobaseline,1,protest,7,0.8459544088582527,0.8150091666737329,0.16120651244067036,0.8444846761136758,0.7997263237928021,0.15514836410749203,0.1481385869898077,0.15003996536811484,isotonic
model5_xgb,2,protest,7,0.8604310884148472,0.8247644122789232,0.13962065500721885,0.8593099306871204,0.8123926163166377,0.1398231474898931,0.138525274304217,0.14142660388228787,isotonic
model6_xgb_nolag,2,protest,7,0.8431830831621823,0.7957687529292085,0.16803886359689243,0.8413289658461737,0.7754055989651605,0.14922659693380527,0.147065692688403,0.15097537256848617,isotonic
model7_xgb_nobaseline,2,protest,7,0.8604310884148472,0.8247644122789232,0.13962065500721885,0.8593099306871204,0.8123926163166377,0.1398231474898931,0.138525274304217,0.14142660388228787,isotonic
