feature,importance
num__gdelt_protest_28d_lag,0.12980416
num__gdelt_protest_7d_lag,0.091945805
num__gdelt_strike_7d_lag,0.048428133
fe__country_iso3_ZAF,0.04526745
num__voice_accountability_est,0.041813865
num__unemployment_youth,0.03967619
num__gini_coef,0.03850861
num__gdelt_strike_28d_lag,0.037253488
num__unemployment_total,0.032273896
num__rule_of_law_est,0.032141004
fe__country_iso3_MYS,0.03212226
num__government_effectiveness_est,0.03160103
fe__country_iso3_ZWE,0.028810108
num__political_stability_est,0.028424475
fe__country_iso3_FRA,0.023820288
