target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.7334,0.6454,0.3148,-0.3419,0.3758582037270562
protest_7d,static,2,0.7457,0.6657,0.2859,-0.233,0.3654204268729408
strike_7d,static,1,0.7763,0.6254,0.4303,-1.4693,0.2248143477651674
strike_7d,static,2,0.8432,0.6894,0.1201,0.2825,0.2125769946998997
protest_7d,expanding,2020-01,0.804,0.705,0.2122,0.1374,
protest_7d,expanding,2020-02,0.8408,0.8609,0.1544,0.3792,
protest_7d,expanding,2020-03,0.752,0.6692,0.4245,-1.1154,
protest_7d,expanding,2020-04,0.8597,0.8029,0.1383,0.3612,
protest_7d,expanding,2020-05,0.8863,0.8588,0.1333,0.4375,
protest_7d,expanding,2020-06,0.8454,0.8616,0.1815,0.2721,
protest_7d,expanding,2020-07,0.8497,0.8351,0.1544,0.3594,
protest_7d,expanding,2020-08,0.8496,0.8251,0.1815,0.2106,
protest_7d,expanding,2020-09,0.8916,0.8625,0.1179,0.4855,
protest_7d,expanding,2020-10,0.8688,0.8124,0.1417,0.3912,
protest_7d,expanding,2020-11,0.8548,0.8185,0.1421,0.3932,
protest_7d,expanding,2020-12,0.8899,0.8028,0.146,0.3019,
protest_7d,expanding,2021-01,0.8456,0.7916,0.1507,0.3291,
protest_7d,expanding,2021-02,0.814,0.7963,0.1814,0.2483,
protest_7d,expanding,2021-03,0.8822,0.8646,0.1504,0.3801,
protest_7d,expanding,2021-04,0.9142,0.8843,0.1179,0.5069,
protest_7d,expanding,2021-05,0.8865,0.8508,0.1307,0.4333,
protest_7d,expanding,2021-06,0.8613,0.8571,0.1352,0.4339,
protest_7d,expanding,2021-07,0.8733,0.8206,0.1293,0.4188,
protest_7d,expanding,2021-08,0.8736,0.8159,0.1394,0.3873,
protest_7d,expanding,2021-09,0.8829,0.8512,0.1418,0.3875,
protest_7d,expanding,2021-10,0.8449,0.7957,0.2,0.1199,
protest_7d,expanding,2021-11,0.9023,0.872,0.1242,0.4703,
protest_7d,expanding,2021-12,0.8805,0.7863,0.1604,0.22,
strike_7d,expanding,2020-01,0.8533,0.6587,0.1274,0.3232,
strike_7d,expanding,2020-02,0.8399,0.7715,0.1112,0.3816,
strike_7d,expanding,2020-03,0.8619,0.6778,0.2035,-0.167,
strike_7d,expanding,2020-04,0.8801,0.7561,0.4152,-1.6289,
strike_7d,expanding,2020-05,0.9389,0.8729,0.1118,0.347,
strike_7d,expanding,2020-06,0.8837,0.8257,0.1507,0.2161,
strike_7d,expanding,2020-07,0.9103,0.8302,0.1995,-0.138,
strike_7d,expanding,2020-08,0.9248,0.8454,0.105,0.4159,
strike_7d,expanding,2020-09,0.9062,0.8045,0.1149,0.3476,
strike_7d,expanding,2020-10,0.913,0.8148,0.143,0.0426,
strike_7d,expanding,2020-11,0.8795,0.7574,0.0927,0.4399,
strike_7d,expanding,2020-12,0.8642,0.7702,0.1258,0.2876,
strike_7d,expanding,2021-01,0.9288,0.8301,0.0782,0.4925,
strike_7d,expanding,2021-02,0.9237,0.8646,0.0705,0.5619,
strike_7d,expanding,2021-03,0.8971,0.8053,0.0956,0.4603,
strike_7d,expanding,2021-04,0.8637,0.7771,0.1013,0.4335,
strike_7d,expanding,2021-05,0.8884,0.8215,0.0866,0.4895,
strike_7d,expanding,2021-06,0.8885,0.7971,0.0989,0.4295,
strike_7d,expanding,2021-07,0.9174,0.8224,0.073,0.5166,
strike_7d,expanding,2021-08,0.9355,0.8232,0.0928,0.4744,
strike_7d,expanding,2021-09,0.9385,0.8509,0.0991,0.4449,
strike_7d,expanding,2021-10,0.9259,0.8413,0.1101,0.3686,
strike_7d,expanding,2021-11,0.8968,0.837,0.151,0.0822,
strike_7d,expanding,2021-12,0.9002,0.797,0.1186,0.1459,
