target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.8159,0.7593,0.1656,0.2939,0.3758582037270562
protest_7d,static,2,0.8356,0.7718,0.1505,0.3511,0.3654204268729408
strike_7d,static,1,0.8623,0.7449,0.1071,0.3855,0.2248143477651674
strike_7d,static,2,0.8699,0.7211,0.0976,0.4171,0.2125769946998997
protest_7d,expanding,2020-01,0.8606,0.8417,0.1498,0.3911,
protest_7d,expanding,2020-02,0.856,0.866,0.1503,0.396,
protest_7d,expanding,2020-03,0.8242,0.7119,0.1949,0.0286,
protest_7d,expanding,2020-04,0.8517,0.7485,0.1471,0.3208,
protest_7d,expanding,2020-05,0.8813,0.8514,0.1293,0.4545,
protest_7d,expanding,2020-06,0.8964,0.8948,0.1346,0.4599,
protest_7d,expanding,2020-07,0.8538,0.8449,0.1531,0.3648,
protest_7d,expanding,2020-08,0.8567,0.8362,0.1461,0.3644,
protest_7d,expanding,2020-09,0.9062,0.8849,0.1099,0.5204,
protest_7d,expanding,2020-10,0.8843,0.843,0.1278,0.4512,
protest_7d,expanding,2020-11,0.8779,0.8488,0.1274,0.456,
protest_7d,expanding,2020-12,0.897,0.8072,0.1318,0.3699,
protest_7d,expanding,2021-01,0.8295,0.783,0.1454,0.3529,
protest_7d,expanding,2021-02,0.8332,0.8083,0.1601,0.3363,
protest_7d,expanding,2021-03,0.8615,0.8557,0.1424,0.4133,
protest_7d,expanding,2021-04,0.9079,0.8822,0.1224,0.4881,
protest_7d,expanding,2021-05,0.875,0.8413,0.1343,0.4177,
protest_7d,expanding,2021-06,0.8514,0.8454,0.143,0.401,
protest_7d,expanding,2021-07,0.8703,0.8274,0.1362,0.3877,
protest_7d,expanding,2021-08,0.8779,0.8196,0.1338,0.4118,
protest_7d,expanding,2021-09,0.9004,0.8644,0.1203,0.4805,
protest_7d,expanding,2021-10,0.8426,0.7929,0.1505,0.3378,
protest_7d,expanding,2021-11,0.9158,0.8866,0.1138,0.5146,
protest_7d,expanding,2021-12,0.8667,0.7924,0.1327,0.3551,
strike_7d,expanding,2020-01,0.8572,0.7384,0.1214,0.3552,
strike_7d,expanding,2020-02,0.8549,0.7769,0.1329,0.261,
strike_7d,expanding,2020-03,0.8611,0.7752,0.1214,0.3039,
strike_7d,expanding,2020-04,0.9194,0.8081,0.0846,0.4645,
strike_7d,expanding,2020-05,0.926,0.8649,0.0824,0.5186,
strike_7d,expanding,2020-06,0.9089,0.8592,0.0879,0.5429,
strike_7d,expanding,2020-07,0.8846,0.8201,0.1199,0.3158,
strike_7d,expanding,2020-08,0.9372,0.8559,0.0877,0.5122,
strike_7d,expanding,2020-09,0.8953,0.7793,0.1086,0.3835,
strike_7d,expanding,2020-10,0.9236,0.8132,0.1056,0.2932,
strike_7d,expanding,2020-11,0.915,0.808,0.0915,0.4471,
strike_7d,expanding,2020-12,0.8567,0.7626,0.1174,0.3352,
strike_7d,expanding,2021-01,0.9322,0.8427,0.0819,0.4682,
strike_7d,expanding,2021-02,0.9093,0.8313,0.0745,0.5372,
strike_7d,expanding,2021-03,0.8511,0.7479,0.1054,0.4048,
strike_7d,expanding,2021-04,0.8747,0.7699,0.1084,0.3941,
strike_7d,expanding,2021-05,0.8841,0.8132,0.1029,0.3939,
strike_7d,expanding,2021-06,0.9293,0.8254,0.0988,0.4299,
strike_7d,expanding,2021-07,0.9313,0.8452,0.0812,0.4622,
strike_7d,expanding,2021-08,0.9064,0.7806,0.1014,0.4261,
strike_7d,expanding,2021-09,0.9258,0.8285,0.0986,0.4473,
strike_7d,expanding,2021-10,0.9224,0.8427,0.088,0.4956,
strike_7d,expanding,2021-11,0.8923,0.8262,0.0995,0.3952,
strike_7d,expanding,2021-12,0.9082,0.7939,0.1103,0.2061,
