feature,coefficient,fold_id,event_type,horizon,model_name,target
num__gdelt_protest_7d_lag,0.4527549391762502,1,protest,7,model4_fao,protest_7d
num__gdelt_strike_7d_lag,-0.1817534690991587,1,protest,7,model4_fao,protest_7d
num__gdelt_strike_28d_lag,0.3902339951774926,1,protest,7,model4_fao,protest_7d
num__gdelt_protest_region_14d,0.1105996422863902,1,protest,7,model4_fao,protest_7d
num__gdelt_strike_region_14d,-0.1526558893144124,1,protest,7,model4_fao,protest_7d
num__fx_pct_7d,0.0277027782531591,1,protest,7,model4_fao,protest_7d
num__fx_pct_30d,-0.4699508514980414,1,protest,7,model4_fao,protest_7d
num__fx_pct_90d,-0.1357752866033449,1,protest,7,model4_fao,protest_7d
num__fx_vol_7d,-0.0062909183421295,1,protest,7,model4_fao,protest_7d
num__fx_vol_30d,-0.2201896718215665,1,protest,7,model4_fao,protest_7d
num__oil_brent_pct_14d,0.0436604361034119,1,protest,7,model4_fao,protest_7d
num__fx_pct_30d_z,0.071522504611483,1,protest,7,model4_fao,protest_7d
num__fx_vol_30d_z,0.0264766203404747,1,protest,7,model4_fao,protest_7d
num__copper_pct_30d,0.0233474514322291,1,protest,7,model4_fao,protest_7d
num__copper_pct_90d,0.1075671794031407,1,protest,7,model4_fao,protest_7d
num__copper_vol_30d,0.0145420689160937,1,protest,7,model4_fao,protest_7d
num__gold_pct_30d,-0.0328090704528178,1,protest,7,model4_fao,protest_7d
num__gold_vol_30d,0.0495539797403505,1,protest,7,model4_fao,protest_7d
num__platinum_pct_30d,0.0393405040702476,1,protest,7,model4_fao,protest_7d
num__silver_pct_30d,-0.04545193641198,1,protest,7,model4_fao,protest_7d
num__natgas_pct_30d,0.0909400986600308,1,protest,7,model4_fao,protest_7d
num__vix_pct_30d,-0.0604986007457259,1,protest,7,model4_fao,protest_7d
num__vix_7d_ma,0.1794321925686509,1,protest,7,model4_fao,protest_7d
num__dxy_level,0.1690357769403227,1,protest,7,model4_fao,protest_7d
num__dxy_pct_30d,-0.096038044548351,1,protest,7,model4_fao,protest_7d
num__dxy_vol_30d,0.0130533207588334,1,protest,7,model4_fao,protest_7d
num__oil_brent_pct_30d_lag30d,-0.0898942157525435,1,protest,7,model4_fao,protest_7d
num__oil_brent_pct_30d_lag60d,0.0404304600544269,1,protest,7,model4_fao,protest_7d
num__oil_brent_pct_30d_lag90d,-0.0224500400851301,1,protest,7,model4_fao,protest_7d
num__vix_pct_30d_lag30d,-0.0279958756709386,1,protest,7,model4_fao,protest_7d
num__vix_pct_30d_lag60d,-0.0466272248903973,1,protest,7,model4_fao,protest_7d
num__fx_pct_30d_lag30d,0.0255685788303558,1,protest,7,model4_fao,protest_7d
num__fx_pct_30d_lag60d,0.1260377382775975,1,protest,7,model4_fao,protest_7d
num__gdp_growth,0.2351263024718065,1,protest,7,model4_fao,protest_7d
num__inflation_cpi_yoy,0.0780296875331787,1,protest,7,model4_fao,protest_7d
num__inflation_cpi_yoy_z,-0.0594002117867508,1,protest,7,model4_fao,protest_7d
num__unemployment_youth,0.4030985629879885,1,protest,7,model4_fao,protest_7d
num__unemployment_rate_z,-0.0285723707730399,1,protest,7,model4_fao,protest_7d
num__political_stability_est,-0.2783325248023544,1,protest,7,model4_fao,protest_7d
num__voice_accountability_est,0.2084367418892616,1,protest,7,model4_fao,protest_7d
num__government_effectiveness_est,0.4439676681714526,1,protest,7,model4_fao,protest_7d
num__oil_brent_pct_30d_x_inflation,0.0243878930705233,1,protest,7,model4_fao,protest_7d
num__food_cpi_inflation,-0.0950063304286609,1,protest,7,model4_fao,protest_7d
num__food_cpi_inflation_z,0.0294983508882434,1,protest,7,model4_fao,protest_7d
num__energy_cpi_inflation,-0.089026373233007,1,protest,7,model4_fao,protest_7d
num__energy_cpi_inflation_z,0.0402709034358594,1,protest,7,model4_fao,protest_7d
num__gini_coef,-0.2108500035967854,1,protest,7,model4_fao,protest_7d
num__covid_period,0.0,1,protest,7,model4_fao,protest_7d
num__fx_trend_consistent,-0.0101029454250415,1,protest,7,model4_fao,protest_7d
num__inflation_accel,0.1551477167500068,1,protest,7,model4_fao,protest_7d
num__copper_pct_30d_x_copper_prod,-0.0587468364090134,1,protest,7,model4_fao,protest_7d
num__gold_pct_30d_x_gold_prod,-0.0472605667506473,1,protest,7,model4_fao,protest_7d
num__platinum_pct_30d_x_plat_prod,0.0002035934018257,1,protest,7,model4_fao,protest_7d
num__oil_brent_pct_30d_x_net_importer,0.0334099486453569,1,protest,7,model4_fao,protest_7d
num__month_sin,-0.0190124596569575,1,protest,7,model4_fao,protest_7d
num__month_cos,0.0186014399776546,1,protest,7,model4_fao,protest_7d
num__fao_cereals_index_yoy,-0.0308027727495687,1,protest,7,model4_fao,protest_7d
num__fao_food_index_yoy_above90,-0.0959538208930406,1,protest,7,model4_fao,protest_7d
num__fao_cereals_index_yoy_above90,0.0,1,protest,7,model4_fao,protest_7d
num__fao_cereals_index_yoy_lag1m,-0.0149294807915335,1,protest,7,model4_fao,protest_7d
num__fao_cereals_index_yoy_lag3m,0.0697335011812881,1,protest,7,model4_fao,protest_7d
num__fao_cereals_index_yoy_lag6m,-0.1702952143021395,1,protest,7,model4_fao,protest_7d
num__fao_oils_index_yoy_lag3m,0.0378750667885429,1,protest,7,model4_fao,protest_7d
num__fao_cereals_yoy_x_instability,-0.067794936720772,1,protest,7,model4_fao,protest_7d
num__fao_food_yoy_x_youth_unemp,-0.0208939677711423,1,protest,7,model4_fao,protest_7d
num__gta_harmful_events,-0.1029903968298221,1,protest,7,model4_fao,protest_7d
num__gta_harmful_events_z,0.0073777483845021,1,protest,7,model4_fao,protest_7d
num__gta_liberalising_events,-0.0382489437804996,1,protest,7,model4_fao,protest_7d
num__gta_liberalising_events_z,0.0226511670422792,1,protest,7,model4_fao,protest_7d
num__gta_30d_count,-0.0225053986726038,1,protest,7,model4_fao,protest_7d
num__gta_30d_count_z,-0.086625117115821,1,protest,7,model4_fao,protest_7d
num__gta_90d_count,-0.0748572191743772,1,protest,7,model4_fao,protest_7d
num__gta_90d_count_z,0.0550650707774347,1,protest,7,model4_fao,protest_7d
fe__country_iso3_AUS,2.060812806374716,1,protest,7,model4_fao,protest_7d
fe__country_iso3_BOL,-1.0093963252945437,1,protest,7,model4_fao,protest_7d
fe__country_iso3_BRA,0.1450823235912695,1,protest,7,model4_fao,protest_7d
fe__country_iso3_CAN,3.1237648171062737,1,protest,7,model4_fao,protest_7d
fe__country_iso3_CHL,-1.2229291152191148,1,protest,7,model4_fao,protest_7d
fe__country_iso3_CHN,0.1608215487917546,1,protest,7,model4_fao,protest_7d
fe__country_iso3_DEU,0.9373372960590732,1,protest,7,model4_fao,protest_7d
fe__country_iso3_ESP,-0.6497878404051495,1,protest,7,model4_fao,protest_7d
fe__country_iso3_FRA,0.8759282278155114,1,protest,7,model4_fao,protest_7d
fe__country_iso3_GBR,2.4702521244573337,1,protest,7,model4_fao,protest_7d
fe__country_iso3_GRC,-0.9775492392675634,1,protest,7,model4_fao,protest_7d
fe__country_iso3_HUN,-1.0428369839043488,1,protest,7,model4_fao,protest_7d
fe__country_iso3_IDN,-0.010960239605819,1,protest,7,model4_fao,protest_7d
fe__country_iso3_IND,2.094657936512101,1,protest,7,model4_fao,protest_7d
fe__country_iso3_IRL,1.096928867549717,1,protest,7,model4_fao,protest_7d
fe__country_iso3_ITA,-0.6194421823393469,1,protest,7,model4_fao,protest_7d
fe__country_iso3_JPN,-0.4679449308034228,1,protest,7,model4_fao,protest_7d
fe__country_iso3_KEN,-0.3954491463537052,1,protest,7,model4_fao,protest_7d
fe__country_iso3_KOR,0.6584792961227542,1,protest,7,model4_fao,protest_7d
fe__country_iso3_LAO,-1.4671557808909998,1,protest,7,model4_fao,protest_7d
fe__country_iso3_MAR,0.0077996068385052,1,protest,7,model4_fao,protest_7d
fe__country_iso3_MEX,-0.1118514280173899,1,protest,7,model4_fao,protest_7d
fe__country_iso3_MOZ,-4.264624545100367,1,protest,7,model4_fao,protest_7d
fe__country_iso3_MYS,1.3998153687956838,1,protest,7,model4_fao,protest_7d
fe__country_iso3_NAM,-2.728929356389351,1,protest,7,model4_fao,protest_7d
fe__country_iso3_NLD,-1.049541535029496,1,protest,7,model4_fao,protest_7d
fe__country_iso3_NOR,-1.9932928589173744,1,protest,7,model4_fao,protest_7d
fe__country_iso3_PER,-1.1804548225102274,1,protest,7,model4_fao,protest_7d
fe__country_iso3_PHL,1.1863144744895098,1,protest,7,model4_fao,protest_7d
fe__country_iso3_POL,-0.7634508006790548,1,protest,7,model4_fao,protest_7d
fe__country_iso3_PRT,-1.7754551144307504,1,protest,7,model4_fao,protest_7d
fe__country_iso3_SWE,-1.7025579537840467,1,protest,7,model4_fao,protest_7d
fe__country_iso3_THA,0.6649805667014757,1,protest,7,model4_fao,protest_7d
fe__country_iso3_TUR,0.2782480552724604,1,protest,7,model4_fao,protest_7d
fe__country_iso3_USA,2.865890656950469,1,protest,7,model4_fao,protest_7d
fe__country_iso3_VNM,-1.0315939381613717,1,protest,7,model4_fao,protest_7d
fe__country_iso3_ZAF,2.273006038447078,1,protest,7,model4_fao,protest_7d
fe__country_iso3_ZWE,2.5742040889852977,1,protest,7,model4_fao,protest_7d
num__gdelt_protest_7d_lag,0.5501833414760606,2,protest,7,model4_fao,protest_7d
num__gdelt_strike_7d_lag,-0.188973396959239,2,protest,7,model4_fao,protest_7d
num__gdelt_strike_28d_lag,0.3508285397709176,2,protest,7,model4_fao,protest_7d
num__gdelt_protest_region_14d,0.0351128600190196,2,protest,7,model4_fao,protest_7d
num__gdelt_strike_region_14d,-0.0901468172171289,2,protest,7,model4_fao,protest_7d
num__fx_pct_7d,0.0163871783161819,2,protest,7,model4_fao,protest_7d
num__fx_pct_30d,-0.4393340239531332,2,protest,7,model4_fao,protest_7d
num__fx_pct_90d,-0.0780354500729959,2,protest,7,model4_fao,protest_7d
num__fx_vol_7d,-0.0188682719529024,2,protest,7,model4_fao,protest_7d
num__fx_vol_30d,-0.1606532166518707,2,protest,7,model4_fao,protest_7d
num__oil_brent_pct_14d,0.0194562388340327,2,protest,7,model4_fao,protest_7d
num__fx_pct_30d_z,0.0844473222860686,2,protest,7,model4_fao,protest_7d
num__fx_vol_30d_z,0.0465620302600434,2,protest,7,model4_fao,protest_7d
num__copper_pct_30d,-0.0777624027870874,2,protest,7,model4_fao,protest_7d
num__copper_pct_90d,0.0610080583812471,2,protest,7,model4_fao,protest_7d
num__copper_vol_30d,-0.0361286254632171,2,protest,7,model4_fao,protest_7d
num__gold_pct_30d,-0.088355301181339,2,protest,7,model4_fao,protest_7d
num__gold_vol_30d,-0.1798889367487505,2,protest,7,model4_fao,protest_7d
num__platinum_pct_30d,0.0607922532112286,2,protest,7,model4_fao,protest_7d
num__silver_pct_30d,-0.0683538096973495,2,protest,7,model4_fao,protest_7d
num__natgas_pct_30d,0.0145100752942376,2,protest,7,model4_fao,protest_7d
num__vix_pct_30d,-0.028035839956569,2,protest,7,model4_fao,protest_7d
num__vix_7d_ma,-0.0797699486548412,2,protest,7,model4_fao,protest_7d
num__dxy_level,0.1453481088319221,2,protest,7,model4_fao,protest_7d
num__dxy_pct_30d,-0.0716677944423163,2,protest,7,model4_fao,protest_7d
num__dxy_vol_30d,0.1441940460075322,2,protest,7,model4_fao,protest_7d
num__oil_brent_pct_30d_lag30d,-0.0659763765976431,2,protest,7,model4_fao,protest_7d
num__oil_brent_pct_30d_lag60d,-0.0288739977865457,2,protest,7,model4_fao,protest_7d
num__oil_brent_pct_30d_lag90d,-0.0222442733697866,2,protest,7,model4_fao,protest_7d
num__vix_pct_30d_lag30d,0.0594707182765036,2,protest,7,model4_fao,protest_7d
num__vix_pct_30d_lag60d,0.0287210201438052,2,protest,7,model4_fao,protest_7d
num__fx_pct_30d_lag30d,0.0344507656334224,2,protest,7,model4_fao,protest_7d
num__fx_pct_30d_lag60d,0.0703897650381397,2,protest,7,model4_fao,protest_7d
num__gdp_growth,0.103495258770396,2,protest,7,model4_fao,protest_7d
num__inflation_cpi_yoy,0.0210655332568469,2,protest,7,model4_fao,protest_7d
num__inflation_cpi_yoy_z,-0.0296217819388305,2,protest,7,model4_fao,protest_7d
num__unemployment_youth,0.4937338460610167,2,protest,7,model4_fao,protest_7d
num__unemployment_rate_z,-0.1382146149061782,2,protest,7,model4_fao,protest_7d
num__political_stability_est,0.0860039424600099,2,protest,7,model4_fao,protest_7d
num__voice_accountability_est,-0.1573429339308673,2,protest,7,model4_fao,protest_7d
num__government_effectiveness_est,0.084897413910022,2,protest,7,model4_fao,protest_7d
num__oil_brent_pct_30d_x_inflation,0.0237310810817145,2,protest,7,model4_fao,protest_7d
num__food_cpi_inflation,-0.1418462667844743,2,protest,7,model4_fao,protest_7d
num__food_cpi_inflation_z,0.0363865324497939,2,protest,7,model4_fao,protest_7d
num__energy_cpi_inflation,-0.0983749032059298,2,protest,7,model4_fao,protest_7d
num__energy_cpi_inflation_z,0.0841270841309721,2,protest,7,model4_fao,protest_7d
