target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.8275,0.7716,0.2131,0.0916,0.3758582037270562
protest_7d,static,2,0.8702,0.8318,0.1341,0.4218,0.3654204268729408
strike_7d,static,1,0.8629,0.7489,0.1689,0.0308,0.2248143477651674
strike_7d,static,2,0.9063,0.8184,0.0897,0.4642,0.2125769946998997
protest_7d,expanding,2020-01,0.8198,0.7193,0.1697,0.31,
protest_7d,expanding,2020-02,0.8551,0.8712,0.149,0.4011,
protest_7d,expanding,2020-03,0.7881,0.7183,0.2828,-0.4091,
protest_7d,expanding,2020-04,0.858,0.8008,0.1411,0.3485,
protest_7d,expanding,2020-05,0.8736,0.8587,0.1317,0.4443,
protest_7d,expanding,2020-06,0.878,0.8835,0.1412,0.4336,
protest_7d,expanding,2020-07,0.8524,0.8395,0.1458,0.3951,
protest_7d,expanding,2020-08,0.868,0.8576,0.1411,0.3863,
protest_7d,expanding,2020-09,0.9015,0.8839,0.106,0.5372,
protest_7d,expanding,2020-10,0.8764,0.8395,0.1319,0.4335,
protest_7d,expanding,2020-11,0.8703,0.8443,0.132,0.4364,
protest_7d,expanding,2020-12,0.9039,0.8293,0.1387,0.3368,
protest_7d,expanding,2021-01,0.8566,0.8046,0.1369,0.3907,
protest_7d,expanding,2021-02,0.8199,0.8174,0.1567,0.3505,
protest_7d,expanding,2021-03,0.8919,0.8763,0.1293,0.4671,
protest_7d,expanding,2021-04,0.9091,0.879,0.1215,0.492,
protest_7d,expanding,2021-05,0.8861,0.8441,0.1292,0.4399,
protest_7d,expanding,2021-06,0.8654,0.8536,0.1357,0.4317,
protest_7d,expanding,2021-07,0.8722,0.8257,0.1412,0.3652,
protest_7d,expanding,2021-08,0.8684,0.8131,0.1374,0.3959,
protest_7d,expanding,2021-09,0.9102,0.8831,0.1139,0.5079,
protest_7d,expanding,2021-10,0.8557,0.817,0.1474,0.3512,
protest_7d,expanding,2021-11,0.9044,0.8753,0.1188,0.4931,
protest_7d,expanding,2021-12,0.876,0.7887,0.1436,0.3021,
strike_7d,expanding,2020-01,0.8595,0.683,0.1419,0.2463,
strike_7d,expanding,2020-02,0.857,0.7884,0.1269,0.2942,
strike_7d,expanding,2020-03,0.8754,0.6808,0.1145,0.3434,
strike_7d,expanding,2020-04,0.8898,0.7936,0.3322,-1.1033,
strike_7d,expanding,2020-05,0.9355,0.8678,0.0914,0.4662,
strike_7d,expanding,2020-06,0.8719,0.8156,0.1213,0.3691,
strike_7d,expanding,2020-07,0.9063,0.8295,0.1032,0.411,
strike_7d,expanding,2020-08,0.9262,0.847,0.0923,0.4866,
strike_7d,expanding,2020-09,0.9058,0.8029,0.0968,0.4502,
strike_7d,expanding,2020-10,0.9163,0.8034,0.0943,0.369,
strike_7d,expanding,2020-11,0.8995,0.8121,0.0901,0.4558,
strike_7d,expanding,2020-12,0.8658,0.7724,0.1308,0.2596,
strike_7d,expanding,2021-01,0.9373,0.8349,0.0811,0.4735,
strike_7d,expanding,2021-02,0.9271,0.8654,0.0808,0.4979,
strike_7d,expanding,2021-03,0.905,0.804,0.1015,0.4268,
strike_7d,expanding,2021-04,0.8725,0.7813,0.0992,0.4454,
strike_7d,expanding,2021-05,0.8863,0.8145,0.1001,0.4104,
strike_7d,expanding,2021-06,0.8939,0.8136,0.0939,0.4579,
strike_7d,expanding,2021-07,0.9268,0.8377,0.0817,0.4589,
strike_7d,expanding,2021-08,0.9363,0.827,0.0885,0.4992,
strike_7d,expanding,2021-09,0.9366,0.8453,0.0887,0.503,
strike_7d,expanding,2021-10,0.9251,0.8439,0.0947,0.457,
strike_7d,expanding,2021-11,0.8825,0.8202,0.0984,0.4018,
strike_7d,expanding,2021-12,0.9071,0.7959,0.1124,0.191,
