target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.8081,0.7526,0.2374,-0.0119,0.3758582037270562
protest_7d,static,2,0.8582,0.8183,0.1653,0.287,0.3654204268729408
strike_7d,static,1,0.8609,0.7562,0.1626,0.067,0.2248143477651674
strike_7d,static,2,0.8921,0.7996,0.0848,0.4932,0.2125769946998997
protest_7d,expanding,2020-01,0.8156,0.7091,0.1758,0.2854,
protest_7d,expanding,2020-02,0.8421,0.8639,0.1545,0.379,
protest_7d,expanding,2020-03,0.7787,0.7073,0.3359,-0.6738,
protest_7d,expanding,2020-04,0.8604,0.8098,0.1392,0.357,
protest_7d,expanding,2020-05,0.8891,0.8657,0.1256,0.4704,
protest_7d,expanding,2020-06,0.8811,0.888,0.1392,0.4417,
protest_7d,expanding,2020-07,0.8604,0.843,0.1433,0.4055,
protest_7d,expanding,2020-08,0.8683,0.8538,0.1404,0.3893,
protest_7d,expanding,2020-09,0.8945,0.8729,0.1135,0.5048,
protest_7d,expanding,2020-10,0.8738,0.8358,0.1355,0.4181,
protest_7d,expanding,2020-11,0.8595,0.8296,0.1375,0.4129,
protest_7d,expanding,2020-12,0.9003,0.8244,0.1303,0.3768,
protest_7d,expanding,2021-01,0.8524,0.7987,0.1457,0.3516,
protest_7d,expanding,2021-02,0.8212,0.8122,0.1612,0.3317,
protest_7d,expanding,2021-03,0.8892,0.8701,0.1332,0.4513,
protest_7d,expanding,2021-04,0.9071,0.8754,0.1221,0.4894,
protest_7d,expanding,2021-05,0.8832,0.8401,0.1307,0.4333,
protest_7d,expanding,2021-06,0.8643,0.8552,0.136,0.4303,
protest_7d,expanding,2021-07,0.8757,0.8314,0.1362,0.3878,
protest_7d,expanding,2021-08,0.8648,0.8102,0.1368,0.3985,
protest_7d,expanding,2021-09,0.9055,0.8745,0.1164,0.4972,
protest_7d,expanding,2021-10,0.8567,0.812,0.1439,0.3666,
protest_7d,expanding,2021-11,0.9056,0.8761,0.118,0.4967,
protest_7d,expanding,2021-12,0.8726,0.7865,0.1455,0.2925,
strike_7d,expanding,2020-01,0.8558,0.6818,0.1301,0.3087,
strike_7d,expanding,2020-02,0.8295,0.7726,0.1285,0.2854,
strike_7d,expanding,2020-03,0.8674,0.7014,0.132,0.2429,
strike_7d,expanding,2020-04,0.8996,0.8224,0.2852,-0.8056,
strike_7d,expanding,2020-05,0.9373,0.8737,0.0688,0.5982,
strike_7d,expanding,2020-06,0.876,0.8293,0.0953,0.5043,
strike_7d,expanding,2020-07,0.9093,0.8319,0.1231,0.2977,
strike_7d,expanding,2020-08,0.9259,0.8471,0.0917,0.4896,
strike_7d,expanding,2020-09,0.9048,0.8055,0.107,0.3927,
strike_7d,expanding,2020-10,0.9124,0.8049,0.1274,0.1471,
strike_7d,expanding,2020-11,0.8989,0.7932,0.0822,0.5036,
strike_7d,expanding,2020-12,0.8635,0.77,0.1196,0.3228,
strike_7d,expanding,2021-01,0.9305,0.8288,0.0723,0.5309,
strike_7d,expanding,2021-02,0.9303,0.8678,0.0692,0.5701,
strike_7d,expanding,2021-03,0.8907,0.7938,0.0962,0.457,
strike_7d,expanding,2021-04,0.8686,0.7748,0.1008,0.4368,
strike_7d,expanding,2021-05,0.8882,0.8144,0.099,0.4165,
strike_7d,expanding,2021-06,0.8938,0.8055,0.0972,0.4394,
strike_7d,expanding,2021-07,0.9178,0.832,0.0929,0.3847,
strike_7d,expanding,2021-08,0.9289,0.813,0.0996,0.436,
strike_7d,expanding,2021-09,0.9304,0.8356,0.0891,0.5008,
strike_7d,expanding,2021-10,0.9266,0.8464,0.097,0.4435,
strike_7d,expanding,2021-11,0.8967,0.8319,0.1379,0.162,
strike_7d,expanding,2021-12,0.8948,0.7929,0.1498,-0.0782,
