feature,importance,fold_id,event_type,horizon,model_name,target
fe__country_iso3_HUN,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_IDN,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_IND,0.060914565,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_IRL,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_ITA,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_JPN,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_KEN,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_KOR,0.019896856,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_LAO,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_MAR,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_MEX,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_MOZ,0.021528786,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_MYS,0.034854814,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_NAM,0.016303971,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_NLD,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_NOR,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_PER,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_PHL,0.05353861,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_POL,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_PRT,0.014896362,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_SWE,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_THA,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_TUR,0.010425968,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_USA,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_VNM,0.0,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_ZAF,0.015140849,1,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_ZWE,0.0152624985,1,protest,7,model6_xgb_nolag,protest_7d
num__fx_pct_7d,0.0010207554,2,protest,7,model6_xgb_nolag,protest_7d
num__fx_pct_30d,0.001591074,2,protest,7,model6_xgb_nolag,protest_7d
num__fx_pct_90d,0.0020872932,2,protest,7,model6_xgb_nolag,protest_7d
num__fx_vol_7d,0.0018042286,2,protest,7,model6_xgb_nolag,protest_7d
num__fx_vol_30d,0.0059204414,2,protest,7,model6_xgb_nolag,protest_7d
num__oil_brent_pct_14d,0.0014066149,2,protest,7,model6_xgb_nolag,protest_7d
num__oil_brent_pct_30d,0.001186389,2,protest,7,model6_xgb_nolag,protest_7d
num__yield_us10y,0.0018152859,2,protest,7,model6_xgb_nolag,protest_7d
num__fx_pct_30d_z,0.0015306413,2,protest,7,model6_xgb_nolag,protest_7d
num__fx_vol_30d_z,0.0020319973,2,protest,7,model6_xgb_nolag,protest_7d
num__oil_brent_pct_30d_z,0.0015942693,2,protest,7,model6_xgb_nolag,protest_7d
num__copper_pct_30d,0.0015774791,2,protest,7,model6_xgb_nolag,protest_7d
num__copper_pct_90d,0.0019313196,2,protest,7,model6_xgb_nolag,protest_7d
num__copper_vol_30d,0.0013566277,2,protest,7,model6_xgb_nolag,protest_7d
num__gold_pct_30d,0.0014386035,2,protest,7,model6_xgb_nolag,protest_7d
num__gold_vol_30d,0.0011581342,2,protest,7,model6_xgb_nolag,protest_7d
num__platinum_pct_30d,0.0011155368,2,protest,7,model6_xgb_nolag,protest_7d
num__silver_pct_30d,0.0011587585,2,protest,7,model6_xgb_nolag,protest_7d
num__natgas_pct_30d,0.0014204026,2,protest,7,model6_xgb_nolag,protest_7d
num__vix_level,0.0012286247,2,protest,7,model6_xgb_nolag,protest_7d
num__vix_pct_30d,0.0012235824,2,protest,7,model6_xgb_nolag,protest_7d
num__vix_7d_ma,0.0016511363,2,protest,7,model6_xgb_nolag,protest_7d
num__dxy_level,0.0024160715,2,protest,7,model6_xgb_nolag,protest_7d
num__dxy_pct_30d,0.0017217624,2,protest,7,model6_xgb_nolag,protest_7d
num__dxy_vol_30d,0.0012754585,2,protest,7,model6_xgb_nolag,protest_7d
num__oil_brent_pct_30d_lag30d,0.0013336798,2,protest,7,model6_xgb_nolag,protest_7d
num__oil_brent_pct_30d_lag60d,0.001387779,2,protest,7,model6_xgb_nolag,protest_7d
num__oil_brent_pct_30d_lag90d,0.0013469496,2,protest,7,model6_xgb_nolag,protest_7d
num__vix_pct_30d_lag30d,0.0011550551,2,protest,7,model6_xgb_nolag,protest_7d
num__vix_pct_30d_lag60d,0.0015282007,2,protest,7,model6_xgb_nolag,protest_7d
num__fx_pct_30d_lag30d,0.0017098344,2,protest,7,model6_xgb_nolag,protest_7d
num__fx_pct_30d_lag60d,0.0018381403,2,protest,7,model6_xgb_nolag,protest_7d
num__gdp_growth,0.011361595,2,protest,7,model6_xgb_nolag,protest_7d
num__gdp_per_capita_growth,0.015778491,2,protest,7,model6_xgb_nolag,protest_7d
num__inflation_cpi_yoy,0.012235886,2,protest,7,model6_xgb_nolag,protest_7d
num__inflation_cpi_yoy_z,0.004513695,2,protest,7,model6_xgb_nolag,protest_7d
num__unemployment_total,0.02068464,2,protest,7,model6_xgb_nolag,protest_7d
num__unemployment_youth,0.018792398,2,protest,7,model6_xgb_nolag,protest_7d
num__unemployment_sa,0.011546189,2,protest,7,model6_xgb_nolag,protest_7d
num__unemployment_rate,0.007173021,2,protest,7,model6_xgb_nolag,protest_7d
num__unemployment_rate_z,0.005367902,2,protest,7,model6_xgb_nolag,protest_7d
num__political_stability_est,0.017784549,2,protest,7,model6_xgb_nolag,protest_7d
num__voice_accountability_est,0.016365293,2,protest,7,model6_xgb_nolag,protest_7d
num__government_effectiveness_est,0.027572865,2,protest,7,model6_xgb_nolag,protest_7d
num__rule_of_law_est,0.040653463,2,protest,7,model6_xgb_nolag,protest_7d
num__fx_pct_30d_x_instability,0.0015086605,2,protest,7,model6_xgb_nolag,protest_7d
num__oil_brent_pct_30d_x_inflation,0.0016685175,2,protest,7,model6_xgb_nolag,protest_7d
num__food_cpi_inflation,0.0055417377,2,protest,7,model6_xgb_nolag,protest_7d
num__food_cpi_inflation_z,0.0034122334,2,protest,7,model6_xgb_nolag,protest_7d
num__energy_cpi_inflation,0.002492537,2,protest,7,model6_xgb_nolag,protest_7d
num__energy_cpi_inflation_z,0.002244046,2,protest,7,model6_xgb_nolag,protest_7d
num__gini_coef,0.029759277,2,protest,7,model6_xgb_nolag,protest_7d
num__covid_period,0.0,2,protest,7,model6_xgb_nolag,protest_7d
num__fx_trend_consistent,0.0018601245,2,protest,7,model6_xgb_nolag,protest_7d
num__inflation_accel,0.0,2,protest,7,model6_xgb_nolag,protest_7d
num__copper_pct_30d_x_copper_prod,0.0012228688,2,protest,7,model6_xgb_nolag,protest_7d
num__gold_pct_30d_x_gold_prod,0.025889212,2,protest,7,model6_xgb_nolag,protest_7d
num__platinum_pct_30d_x_plat_prod,0.06907881,2,protest,7,model6_xgb_nolag,protest_7d
num__oil_brent_pct_30d_x_net_importer,0.0006989749,2,protest,7,model6_xgb_nolag,protest_7d
num__month_sin,0.0023769017,2,protest,7,model6_xgb_nolag,protest_7d
num__month_cos,0.002009486,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_food_index_yoy,0.0011681981,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_cereals_index_yoy,0.0015346262,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_oils_index_yoy,0.0031779374,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_food_index_yoy_above90,0.0,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_cereals_index_yoy_above90,0.0,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_cereals_index_yoy_lag1m,0.0017549517,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_cereals_index_yoy_lag3m,0.0018105002,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_cereals_index_yoy_lag6m,0.0033363434,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_food_index_yoy_lag1m,0.0016652105,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_food_index_yoy_lag3m,0.0019126647,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_food_index_yoy_lag6m,0.0016323722,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_oils_index_yoy_lag1m,0.004814852,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_oils_index_yoy_lag3m,0.0023962026,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_oils_index_yoy_lag6m,0.002469839,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_cereals_yoy_x_instability,0.0025973818,2,protest,7,model6_xgb_nolag,protest_7d
num__fao_food_yoy_x_youth_unemp,0.0014877715,2,protest,7,model6_xgb_nolag,protest_7d
num__gta_harmful_events,0.0,2,protest,7,model6_xgb_nolag,protest_7d
num__gta_harmful_events_z,0.008222525,2,protest,7,model6_xgb_nolag,protest_7d
num__gta_liberalising_events,0.0,2,protest,7,model6_xgb_nolag,protest_7d
num__gta_liberalising_events_z,0.0034601653,2,protest,7,model6_xgb_nolag,protest_7d
num__gta_30d_count,0.0020387345,2,protest,7,model6_xgb_nolag,protest_7d
num__gta_30d_count_z,0.0018445264,2,protest,7,model6_xgb_nolag,protest_7d
num__gta_90d_count,0.010676475,2,protest,7,model6_xgb_nolag,protest_7d
num__gta_90d_count_z,0.0026975924,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_AUS,0.014838482,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_BOL,0.0,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_BRA,0.00536789,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_CAN,0.012155882,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_CHL,0.023176342,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_CHN,0.0070028724,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_DEU,0.007309503,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_ESP,0.004501708,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_FRA,0.030487109,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_GBR,0.01611327,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_GRC,0.008101034,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_HUN,0.0,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_IDN,0.0,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_IND,0.057568125,2,protest,7,model6_xgb_nolag,protest_7d
fe__country_iso3_IRL,0.03162463,2,protest,7,model6_xgb_nolag,protest_7d
