target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.8351,0.8057,0.2302,0.0189,0.3758582037270562
protest_7d,static,2,0.8737,0.8365,0.1329,0.4269,0.3654204268729408
strike_7d,static,1,0.8871,0.7919,0.1577,0.0952,0.2248143477651674
strike_7d,static,2,0.9074,0.8147,0.0992,0.4076,0.2125769946998997
protest_7d,expanding,2020-01,0.8649,0.8605,0.1468,0.4032,
protest_7d,expanding,2020-02,0.8717,0.879,0.1437,0.4226,
protest_7d,expanding,2020-03,0.8087,0.7344,0.3172,-0.5808,
protest_7d,expanding,2020-04,0.8555,0.7989,0.1655,0.2356,
protest_7d,expanding,2020-05,0.8881,0.866,0.1328,0.4398,
protest_7d,expanding,2020-06,0.8838,0.8885,0.1446,0.4201,
protest_7d,expanding,2020-07,0.8629,0.8478,0.1408,0.416,
protest_7d,expanding,2020-08,0.8643,0.8547,0.1586,0.3101,
protest_7d,expanding,2020-09,0.9015,0.8837,0.1077,0.5301,
protest_7d,expanding,2020-10,0.8772,0.8429,0.1312,0.4366,
protest_7d,expanding,2020-11,0.8628,0.8374,0.1353,0.4223,
protest_7d,expanding,2020-12,0.9028,0.8299,0.1376,0.342,
protest_7d,expanding,2021-01,0.8633,0.815,0.1334,0.4061,
protest_7d,expanding,2021-02,0.833,0.8226,0.1551,0.357,
protest_7d,expanding,2021-03,0.8871,0.8745,0.1302,0.4637,
protest_7d,expanding,2021-04,0.9127,0.881,0.1207,0.4951,
protest_7d,expanding,2021-05,0.8859,0.843,0.1279,0.4455,
protest_7d,expanding,2021-06,0.862,0.8472,0.1389,0.4184,
protest_7d,expanding,2021-07,0.8733,0.8247,0.1388,0.376,
protest_7d,expanding,2021-08,0.8732,0.8166,0.134,0.4109,
protest_7d,expanding,2021-09,0.9032,0.8775,0.1167,0.4961,
protest_7d,expanding,2021-10,0.8481,0.8122,0.1473,0.3519,
protest_7d,expanding,2021-11,0.9062,0.8749,0.1202,0.4873,
protest_7d,expanding,2021-12,0.8701,0.7856,0.144,0.2997,
strike_7d,expanding,2020-01,0.868,0.7519,0.1335,0.2905,
strike_7d,expanding,2020-02,0.8622,0.7862,0.132,0.2663,
strike_7d,expanding,2020-03,0.8734,0.7735,0.1179,0.3236,
strike_7d,expanding,2020-04,0.9022,0.8321,0.2891,-0.8303,
strike_7d,expanding,2020-05,0.9276,0.8699,0.0966,0.4359,
strike_7d,expanding,2020-06,0.9185,0.8681,0.0962,0.4996,
strike_7d,expanding,2020-07,0.9093,0.8339,0.1184,0.3244,
strike_7d,expanding,2020-08,0.933,0.8509,0.1144,0.3635,
strike_7d,expanding,2020-09,0.9035,0.8073,0.1022,0.4198,
strike_7d,expanding,2020-10,0.9195,0.8019,0.1013,0.3218,
strike_7d,expanding,2020-11,0.9141,0.833,0.0925,0.4412,
strike_7d,expanding,2020-12,0.8641,0.7649,0.1334,0.2446,
strike_7d,expanding,2021-01,0.9302,0.8351,0.0909,0.4102,
strike_7d,expanding,2021-02,0.9208,0.8644,0.0929,0.4226,
strike_7d,expanding,2021-03,0.9115,0.8079,0.1052,0.4058,
strike_7d,expanding,2021-04,0.8794,0.7887,0.1115,0.3769,
strike_7d,expanding,2021-05,0.8954,0.8183,0.1036,0.3898,
strike_7d,expanding,2021-06,0.9001,0.8117,0.096,0.4461,
strike_7d,expanding,2021-07,0.9144,0.8311,0.0864,0.4277,
strike_7d,expanding,2021-08,0.9229,0.8025,0.0971,0.4503,
strike_7d,expanding,2021-09,0.9245,0.829,0.0925,0.4818,
strike_7d,expanding,2021-10,0.9274,0.8421,0.0942,0.4598,
strike_7d,expanding,2021-11,0.8939,0.8264,0.1015,0.3832,
strike_7d,expanding,2021-12,0.8981,0.7898,0.1209,0.1292,
