date,gdelt_clusters,geo_match,country_match,no_match,acled_only,acled_total_day,pct_gdelt_matched,pct_acled_matched
20180101,32,19,5,8,142,149,75.0,13.4
20180102,39,16,9,14,169,176,64.1,13.1
