feature,coefficient,fold_id,event_type,horizon,model_name,target
fe__country_iso3_LAO,-1.5046211117652797,1,protest,7,model2_full,protest_7d
fe__country_iso3_MAR,0.1195790195497048,1,protest,7,model2_full,protest_7d
fe__country_iso3_MEX,-0.2012745602718413,1,protest,7,model2_full,protest_7d
fe__country_iso3_MOZ,-4.346822889916193,1,protest,7,model2_full,protest_7d
fe__country_iso3_MYS,1.270817736125035,1,protest,7,model2_full,protest_7d
fe__country_iso3_NAM,-3.170783936154322,1,protest,7,model2_full,protest_7d
fe__country_iso3_NLD,-0.941053400705784,1,protest,7,model2_full,protest_7d
fe__country_iso3_NOR,-1.822599935008676,1,protest,7,model2_full,protest_7d
fe__country_iso3_PER,-1.19946680795165,1,protest,7,model2_full,protest_7d
fe__country_iso3_PHL,1.2462454059106445,1,protest,7,model2_full,protest_7d
fe__country_iso3_POL,-0.5854897546290233,1,protest,7,model2_full,protest_7d
fe__country_iso3_PRT,-1.7023027750901605,1,protest,7,model2_full,protest_7d
fe__country_iso3_SWE,-1.5583581792138832,1,protest,7,model2_full,protest_7d
fe__country_iso3_THA,0.792783163712079,1,protest,7,model2_full,protest_7d
fe__country_iso3_TUR,0.3846601640505132,1,protest,7,model2_full,protest_7d
fe__country_iso3_USA,2.436485477307144,1,protest,7,model2_full,protest_7d
fe__country_iso3_VNM,-0.9612433796916048,1,protest,7,model2_full,protest_7d
fe__country_iso3_ZAF,1.9732403651258652,1,protest,7,model2_full,protest_7d
fe__country_iso3_ZWE,2.576166895607581,1,protest,7,model2_full,protest_7d
num__gdelt_protest_7d_lag,0.2741443741431743,2,protest,7,model2_full,protest_7d
num__gdelt_protest_28d_lag,0.6169193854374629,2,protest,7,model2_full,protest_7d
num__gdelt_strike_7d_lag,-0.1396202840305163,2,protest,7,model2_full,protest_7d
num__gdelt_strike_28d_lag,0.2075208184126567,2,protest,7,model2_full,protest_7d
num__gdelt_protest_region_14d,0.1085211608711415,2,protest,7,model2_full,protest_7d
num__gdelt_strike_region_14d,-0.0947761582758299,2,protest,7,model2_full,protest_7d
num__fx_pct_7d,0.0210946750260625,2,protest,7,model2_full,protest_7d
num__fx_pct_30d,-0.5620276505157697,2,protest,7,model2_full,protest_7d
num__fx_pct_90d,-0.1168171157251952,2,protest,7,model2_full,protest_7d
num__fx_vol_7d,-0.0058026675071526,2,protest,7,model2_full,protest_7d
num__fx_vol_30d,-0.1829629317395184,2,protest,7,model2_full,protest_7d
num__oil_brent_pct_14d,0.020769158519818,2,protest,7,model2_full,protest_7d
num__yield_us10y,0.0036352012774362,2,protest,7,model2_full,protest_7d
num__fx_pct_30d_z,0.0794005976232114,2,protest,7,model2_full,protest_7d
num__fx_vol_30d_z,0.0384630111324589,2,protest,7,model2_full,protest_7d
num__oil_brent_pct_30d_z,0.1192277023586743,2,protest,7,model2_full,protest_7d
num__copper_pct_30d,-0.1186260842911115,2,protest,7,model2_full,protest_7d
num__copper_pct_90d,0.1101610992802698,2,protest,7,model2_full,protest_7d
num__copper_vol_30d,-0.0439952100298302,2,protest,7,model2_full,protest_7d
num__gold_pct_30d,-0.087137563546466,2,protest,7,model2_full,protest_7d
num__gold_vol_30d,-0.1227568290627996,2,protest,7,model2_full,protest_7d
num__platinum_pct_30d,0.0266838424041997,2,protest,7,model2_full,protest_7d
num__silver_pct_30d,0.0120533699884089,2,protest,7,model2_full,protest_7d
num__natgas_pct_30d,0.0222386434140026,2,protest,7,model2_full,protest_7d
num__vix_pct_30d,0.005044210516393,2,protest,7,model2_full,protest_7d
num__vix_7d_ma,-0.1522389682836191,2,protest,7,model2_full,protest_7d
num__dxy_level,0.2218690928336003,2,protest,7,model2_full,protest_7d
num__dxy_pct_30d,-0.0726890689131655,2,protest,7,model2_full,protest_7d
num__dxy_vol_30d,0.0943647440697076,2,protest,7,model2_full,protest_7d
num__oil_brent_pct_30d_lag30d,-0.0276535544183304,2,protest,7,model2_full,protest_7d
num__oil_brent_pct_30d_lag60d,-0.0233578593478424,2,protest,7,model2_full,protest_7d
num__oil_brent_pct_30d_lag90d,-0.0114569150435528,2,protest,7,model2_full,protest_7d
num__vix_pct_30d_lag30d,0.0874806947773519,2,protest,7,model2_full,protest_7d
num__vix_pct_30d_lag60d,0.0246712395923591,2,protest,7,model2_full,protest_7d
num__fx_pct_30d_lag30d,0.020663240445739,2,protest,7,model2_full,protest_7d
num__fx_pct_30d_lag60d,0.1064625137464195,2,protest,7,model2_full,protest_7d
num__gdp_growth,0.1140744179962333,2,protest,7,model2_full,protest_7d
num__inflation_cpi_yoy,0.0265896252459476,2,protest,7,model2_full,protest_7d
num__inflation_cpi_yoy_z,-0.0054106736489777,2,protest,7,model2_full,protest_7d
num__unemployment_youth,0.4671187604964263,2,protest,7,model2_full,protest_7d
num__unemployment_rate,-0.0845627639527791,2,protest,7,model2_full,protest_7d
num__unemployment_rate_z,-0.1540941774438017,2,protest,7,model2_full,protest_7d
num__political_stability_est,0.0965771339989116,2,protest,7,model2_full,protest_7d
num__voice_accountability_est,-0.1898965433439358,2,protest,7,model2_full,protest_7d
num__government_effectiveness_est,0.0888019438202039,2,protest,7,model2_full,protest_7d
num__oil_brent_pct_30d_x_inflation,0.0146259607363939,2,protest,7,model2_full,protest_7d
num__food_cpi_inflation,-0.1179503657381106,2,protest,7,model2_full,protest_7d
num__food_cpi_inflation_z,0.0327977910001948,2,protest,7,model2_full,protest_7d
num__energy_cpi_inflation,-0.1039880201101667,2,protest,7,model2_full,protest_7d
num__energy_cpi_inflation_z,0.0564077711826293,2,protest,7,model2_full,protest_7d
fe__country_iso3_AUS,2.250256044991924,2,protest,7,model2_full,protest_7d
fe__country_iso3_BOL,-1.242487984816827,2,protest,7,model2_full,protest_7d
fe__country_iso3_BRA,-0.5504085489235836,2,protest,7,model2_full,protest_7d
fe__country_iso3_CAN,3.0796264853606377,2,protest,7,model2_full,protest_7d
fe__country_iso3_CHL,-0.5817069320213976,2,protest,7,model2_full,protest_7d
fe__country_iso3_CHN,0.0381177910420791,2,protest,7,model2_full,protest_7d
fe__country_iso3_DEU,1.647706712017683,2,protest,7,model2_full,protest_7d
fe__country_iso3_ESP,-0.2712778233433985,2,protest,7,model2_full,protest_7d
fe__country_iso3_FRA,1.2062017116824657,2,protest,7,model2_full,protest_7d
fe__country_iso3_GBR,2.9131272372599715,2,protest,7,model2_full,protest_7d
fe__country_iso3_GRC,-0.7472556929441201,2,protest,7,model2_full,protest_7d
fe__country_iso3_HUN,-1.1177147086096633,2,protest,7,model2_full,protest_7d
fe__country_iso3_IDN,0.3397096032942223,2,protest,7,model2_full,protest_7d
fe__country_iso3_IND,2.392252893619987,2,protest,7,model2_full,protest_7d
fe__country_iso3_IRL,1.430957784659565,2,protest,7,model2_full,protest_7d
fe__country_iso3_ITA,-0.5792412428589218,2,protest,7,model2_full,protest_7d
fe__country_iso3_JPN,-0.0452470693444141,2,protest,7,model2_full,protest_7d
fe__country_iso3_KEN,-0.2695357908745724,2,protest,7,model2_full,protest_7d
fe__country_iso3_KOR,1.0217066143426965,2,protest,7,model2_full,protest_7d
fe__country_iso3_LAO,-2.6865874787565347,2,protest,7,model2_full,protest_7d
fe__country_iso3_MAR,-0.6700777647637218,2,protest,7,model2_full,protest_7d
fe__country_iso3_MEX,0.2335126763820727,2,protest,7,model2_full,protest_7d
fe__country_iso3_MOZ,-4.451434242966273,2,protest,7,model2_full,protest_7d
fe__country_iso3_MYS,0.7392743159015439,2,protest,7,model2_full,protest_7d
fe__country_iso3_NAM,-3.5460409609660477,2,protest,7,model2_full,protest_7d
fe__country_iso3_NLD,-0.0801902036550606,2,protest,7,model2_full,protest_7d
fe__country_iso3_NOR,-1.18880528097356,2,protest,7,model2_full,protest_7d
fe__country_iso3_PER,-0.9704002186834468,2,protest,7,model2_full,protest_7d
fe__country_iso3_PHL,1.6387492861211792,2,protest,7,model2_full,protest_7d
fe__country_iso3_POL,-0.1578871246785807,2,protest,7,model2_full,protest_7d
