feature,importance
num__country_strike_baseline,0.1555024
num__country_protest_baseline,0.14051446
num__gdelt_strike_28d_lag,0.109065294
num__gdelt_strike_7d_lag,0.06279909
num__gdelt_protest_28d_lag,0.04103932
num__unemployment_rate,0.0392583
fe__country_iso3_ZAF,0.028966319
num__gdelt_protest_7d_lag,0.027429407
num__gold_pct_30d_x_gold_prod,0.022722062
num__unemployment_total,0.02087838
fe__country_iso3_IND,0.018678498
num__gta_harmful_events_z,0.015739527
num__government_effectiveness_est,0.015714262
num__gini_coef,0.0148783885
num__unemployment_rate_z,0.014451315
