roc_auc,pr_auc,brier,fold_id,event_type,horizon,model_name,n_train,n_test,pos_rate
0.9000130817119779,0.8137135781947972,0.1237256541802389,1,strike,7,model0_persistence,42705,14274,0.22481434776516743
0.887763276494304,0.7940524832713615,0.14293686333318686,1,strike,7,model1_markets,42705,14274,0.22481434776516743
0.8688496838069951,0.7845671251471359,0.15359724385241047,1,strike,7,model2_full,42705,14274,0.22481434776516743
0.8853585508561058,0.769458561540599,0.1458870584400905,1,strike,7,model3_structural,42705,14274,0.22481434776516743
0.807419569649696,0.6542442019060942,0.376487956818349,1,strike,7,model4_fao,42705,14274,0.22481434776516743
0.8993547012560837,0.794241545788049,0.13463571930409102,1,strike,7,model5_xgb,42705,14274,0.22481434776516743
0.8950825999571642,0.7803967992102202,0.14503650985827307,1,strike,7,model6_xgb_nolag,42705,14274,0.22481434776516743
0.8824238961900677,0.7719581778082933,0.11896426253539216,1,strike,7,model7_xgb_nobaseline,42705,14274,0.22481434776516743
0.8863802058067312,0.7821388954842338,0.14529238429557662,1,strike,7,model5_income_group,42705,14274,0.22481434776516743
0.8855639295097089,0.7784983354302332,0.14847133676123997,1,strike,7,model6_income_group_nolag,42705,14274,0.22481434776516743
0.9103182108153087,0.8187374497831141,0.11537600029840331,2,strike,7,model0_persistence,56979,13962,0.21257699469989974
0.907495824725763,0.8152883603668344,0.09968639689767515,2,strike,7,model1_markets,56979,13962,0.21257699469989974
0.9070739761506768,0.8186515970059053,0.11285712689006172,2,strike,7,model2_full,56979,13962,0.21257699469989974
0.9063916019862832,0.8145739754368213,0.09573083247514616,2,strike,7,model3_structural,56979,13962,0.21257699469989974
0.8479253814994409,0.7156916624492768,0.10759998840993013,2,strike,7,model4_fao,56979,13962,0.21257699469989974
0.9104815411444713,0.814769779401245,0.10332570052694134,2,strike,7,model5_xgb,56979,13962,0.21257699469989974
0.9056492373688759,0.8110593078517525,0.10569115841246689,2,strike,7,model6_xgb_nolag,56979,13962,0.21257699469989974
0.906171223264638,0.8068449392681357,0.10063433747410057,2,strike,7,model7_xgb_nobaseline,56979,13962,0.21257699469989974
0.8842672455007313,0.784174431864253,0.12931527699771475,2,strike,7,model5_income_group,56979,13962,0.21257699469989974
0.8949929408935136,0.790872015841506,0.10154577428727113,2,strike,7,model6_income_group_nolag,56979,13962,0.21257699469989974
