iso3,cowcode,year,month,protest_count,participant_sum
ARM,371,2017,10,2,0.0
ARM,371,2017,11,5,200.0
ARM,371,2018,1,3,0.0
ARM,371,2018,3,2,0.0
ARM,371,2018,4,60,206000.0
ARM,371,2018,5,12,40000.0
ARM,371,2018,6,3,0.0
ARM,371,2018,8,1,0.0
ARM,371,2018,10,1,0.0
ARM,371,2018,11,1,0.0
ARM,371,2019,1,1,0.0
ARM,371,2019,2,2,0.0
ARM,371,2019,3,5,0.0
ARM,371,2019,4,3,0.0
ARM,371,2019,5,10,2400.0
ARM,371,2019,6,1,90.0
ARM,371,2019,7,2,0.0
ARM,371,2019,8,2,0.0
ARM,371,2019,9,5,0.0
ARM,371,2019,10,1,0.0
ARM,371,2019,11,3,0.0
ARM,371,2019,12,3,0.0
ARM,371,2020,1,4,0.0
ARM,371,2020,2,1,0.0
ARM,371,2020,5,2,0.0
ARM,371,2020,6,5,0.0
ARM,371,2020,8,1,0.0
ARM,371,2020,9,3,0.0
ARM,371,2020,10,1,0.0
ARM,371,2020,11,31,10000.0
ARM,371,2020,12,34,45000.0
ARM,371,2021,1,2,0.0
ARM,371,2021,2,12,60000.0
ARM,371,2021,3,11,20000.0
ARM,371,2021,4,8,0.0
ARM,371,2021,6,3,40000.0
ARM,371,2021,7,1,0.0
ARM,371,2021,9,2,3000.0
ARM,371,2021,11,3,10000.0
ARM,371,2021,12,1,0.0
ARM,371,2022,4,2,0.0
ARM,371,2022,5,34,5180.0
ARM,371,2022,6,4,0.0
ARM,371,2022,9,3,0.0
ARM,371,2022,11,1,0.0
ARM,371,2022,12,1,0.0
AZE,373,2017,1,2,0.0
AZE,373,2017,2,2,0.0
AZE,373,2017,4,2,0.0
AZE,373,2017,5,2,0.0
AZE,373,2017,6,1,0.0
AZE,373,2017,7,1,0.0
AZE,373,2017,8,2,0.0
AZE,373,2017,9,6,0.0
AZE,373,2017,10,4,0.0
AZE,373,2017,11,2,25.0
AZE,373,2017,12,2,0.0
AZE,373,2018,3,1,0.0
AZE,373,2018,4,1,0.0
AZE,373,2018,6,5,0.0
AZE,373,2018,7,2,400.0
AZE,373,2019,1,5,0.0
AZE,373,2019,3,1,0.0
AZE,373,2019,4,6,0.0
AZE,373,2019,5,2,0.0
AZE,373,2019,7,1,0.0
AZE,373,2019,8,2,0.0
AZE,373,2019,10,11,0.0
AZE,373,2019,11,2,0.0
AZE,373,2020,1,4,0.0
AZE,373,2020,2,12,0.0
AZE,373,2020,3,7,0.0
AZE,373,2020,4,1,0.0
AZE,373,2020,5,1,0.0
AZE,373,2020,6,5,0.0
AZE,373,2020,7,12,0.0
AZE,373,2020,9,2,0.0
AZE,373,2021,2,2,0.0
AZE,373,2021,6,1,0.0
AZE,373,2021,7,1,0.0
AZE,373,2021,8,2,0.0
AZE,373,2021,10,1,0.0
AZE,373,2021,12,11,30.0
BDI,516,2017,4,1,0.0
BDI,516,2020,4,1,0.0
BDI,516,2022,2,1,0.0
BEN,434,2019,3,1,20000.0
BEN,434,2019,4,4,0.0
BEN,434,2019,5,9,0.0
BEN,434,2019,6,3,0.0
BEN,434,2021,4,23,0.0
BFA,439,2019,6,1,0.0
BFA,439,2020,3,1,0.0
BFA,439,2020,4,1,0.0
BFA,439,2021,6,2,0.0
BFA,439,2021,7,9,0.0
BFA,439,2021,11,9,0.0
BFA,439,2021,12,1,0.0
BFA,439,2022,1,21,300.0
BFA,439,2022,2,1,0.0
BFA,439,2022,5,3,0.0
BFA,439,2022,6,2,0.0
BFA,439,2022,7,1,0.0
BFA,439,2022,8,1,0.0
BFA,439,2022,9,4,0.0
BFA,439,2022,10,7,0.0
BGD,771,2017,1,2,200.0
BGD,771,2017,2,1,0.0
BGD,771,2017,3,1,0.0
BGD,771,2017,4,1,10000.0
BGD,771,2017,5,3,0.0
BGD,771,2017,9,2,15000.0
BGD,771,2017,12,3,0.0
BGD,771,2018,1,4,300.0
BGD,771,2018,2,33,5200.0
BGD,771,2018,3,9,400.0
BGD,771,2018,4,25,12500.0
BGD,771,2018,5,6,2400.0
BGD,771,2018,7,3,200.0
BGD,771,2018,8,37,4560.0
BGD,771,2018,9,5,0.0
BGD,771,2018,10,11,0.0
BGD,771,2018,11,1,1000.0
