feature,importance,fold_id,horizon,model_name
num__acled_7d_lag,0.42556784,1,30,model5_xgboost_tuned
num__acled_28d_lag,0.33915374,1,30,model5_xgboost_tuned
num__riot_7d_lag,0.0,1,30,model5_xgboost_tuned
num__riot_28d_lag,0.021579301,1,30,model5_xgboost_tuned
num__violence_7d_lag,0.0,1,30,model5_xgboost_tuned
num__violence_28d_lag,0.012285143,1,30,model5_xgboost_tuned
num__protest_fat_7d_lag,0.0,1,30,model5_xgboost_tuned
num__protest_fat_28d_lag,0.0,1,30,model5_xgboost_tuned
num__fx_pct_7d,0.0012005415,1,30,model5_xgboost_tuned
num__fx_pct_30d,0.007274538,1,30,model5_xgboost_tuned
num__fx_pct_90d,0.0005140887,1,30,model5_xgboost_tuned
num__fx_vol_7d,0.0010704513,1,30,model5_xgboost_tuned
num__fx_vol_30d,0.0017796707,1,30,model5_xgboost_tuned
num__oil_brent_pct_14d,0.0,1,30,model5_xgboost_tuned
num__oil_brent_pct_30d,0.00044702334,1,30,model5_xgboost_tuned
num__yield_us10y,0.00037073524,1,30,model5_xgboost_tuned
num__fx_pct_30d_z,0.0040523745,1,30,model5_xgboost_tuned
num__fx_vol_30d_z,0.0012690182,1,30,model5_xgboost_tuned
num__oil_brent_pct_30d_z,0.0,1,30,model5_xgboost_tuned
num__gdp_growth,0.0,1,30,model5_xgboost_tuned
num__gdp_per_capita_growth,0.0053975303,1,30,model5_xgboost_tuned
num__inflation_cpi_yoy,0.049610842,1,30,model5_xgboost_tuned
num__unemployment_total,0.029584391,1,30,model5_xgboost_tuned
num__unemployment_youth,0.0,1,30,model5_xgboost_tuned
num__unemployment_sa,0.0,1,30,model5_xgboost_tuned
num__unemployment_sa_z,0.0,1,30,model5_xgboost_tuned
num__unemployment_rate,0.019041453,1,30,model5_xgboost_tuned
num__unemployment_rate_z,0.0,1,30,model5_xgboost_tuned
num__earnings_monthly,0.0014018368,1,30,model5_xgboost_tuned
num__earnings_monthly_z,0.0,1,30,model5_xgboost_tuned
num__political_stability_est,0.0054940786,1,30,model5_xgboost_tuned
num__voice_accountability_est,0.0009030684,1,30,model5_xgboost_tuned
num__government_effectiveness_est,0.0011658738,1,30,model5_xgboost_tuned
num__rule_of_law_est,0.0,1,30,model5_xgboost_tuned
num__fx_pct_30d_x_instability,0.00029816283,1,30,model5_xgboost_tuned
num__oil_brent_pct_30d_x_inflation,0.0,1,30,model5_xgboost_tuned
num__economic_stress_index,0.009012009,1,30,model5_xgboost_tuned
num__economic_stress_index_z,0.0,1,30,model5_xgboost_tuned
num__labour_conflict_index,0.0,1,30,model5_xgboost_tuned
num__labour_conflict_index_z,0.0,1,30,model5_xgboost_tuned
num__protest_mobilisation_index,6.828831e-05,1,30,model5_xgboost_tuned
num__protest_mobilisation_index_z,0.000987589,1,30,model5_xgboost_tuned
num__food_cpi_inflation,0.0016352369,1,30,model5_xgboost_tuned
num__food_cpi_inflation_z,0.00036032507,1,30,model5_xgboost_tuned
num__energy_cpi_inflation,0.0014744919,1,30,model5_xgboost_tuned
num__energy_cpi_inflation_z,0.00263655,1,30,model5_xgboost_tuned
num__month_sin,0.00040777185,1,30,model5_xgboost_tuned
num__month_cos,0.0061345645,1,30,model5_xgboost_tuned
num__fao_food_index_yoy,0.01497047,1,30,model5_xgboost_tuned
num__fao_cereals_index_yoy,0.0,1,30,model5_xgboost_tuned
num__fao_oils_index_yoy,0.016203588,1,30,model5_xgboost_tuned
num__fao_food_index_yoy_above90,0.0,1,30,model5_xgboost_tuned
num__fao_cereals_index_yoy_above90,0.0,1,30,model5_xgboost_tuned
num__fao_cereals_index_yoy_lag1m,0.0006119148,1,30,model5_xgboost_tuned
num__fao_cereals_index_yoy_lag3m,0.0019207009,1,30,model5_xgboost_tuned
num__fao_cereals_index_yoy_lag6m,0.0,1,30,model5_xgboost_tuned
num__fao_food_index_yoy_lag1m,0.00084345054,1,30,model5_xgboost_tuned
num__fao_food_index_yoy_lag3m,0.0010011714,1,30,model5_xgboost_tuned
num__fao_cereals_yoy_x_instability,0.0,1,30,model5_xgboost_tuned
num__fao_food_yoy_x_youth_unemp,0.0013553031,1,30,model5_xgboost_tuned
num__gta_harmful_events,0.0,1,30,model5_xgboost_tuned
num__gta_harmful_events_z,0.002545467,1,30,model5_xgboost_tuned
num__gta_liberalising_events,0.0,1,30,model5_xgboost_tuned
num__gta_liberalising_events_z,0.0024377087,1,30,model5_xgboost_tuned
num__gta_30d_count,0.0012834296,1,30,model5_xgboost_tuned
num__gta_30d_count_z,0.0012160137,1,30,model5_xgboost_tuned
num__gta_90d_count,0.0028354255,1,30,model5_xgboost_tuned
num__gta_90d_count_z,0.00059671677,1,30,model5_xgboost_tuned
num__fx_pct_7d,0.004357083,1,30,model6_xgb_nolag
num__fx_pct_30d,0.004011999,1,30,model6_xgb_nolag
num__fx_pct_90d,0.003655589,1,30,model6_xgb_nolag
num__fx_vol_7d,0.013634551,1,30,model6_xgb_nolag
num__fx_vol_30d,0.045916293,1,30,model6_xgb_nolag
num__oil_brent_pct_14d,0.0027362467,1,30,model6_xgb_nolag
num__oil_brent_pct_30d,0.0060998234,1,30,model6_xgb_nolag
num__yield_us10y,0.037199754,1,30,model6_xgb_nolag
num__fx_pct_30d_z,0.00586092,1,30,model6_xgb_nolag
num__fx_vol_30d_z,0.0040486935,1,30,model6_xgb_nolag
num__oil_brent_pct_30d_z,0.0021124252,1,30,model6_xgb_nolag
num__gdp_growth,0.004161272,1,30,model6_xgb_nolag
num__gdp_per_capita_growth,0.026801623,1,30,model6_xgb_nolag
num__inflation_cpi_yoy,0.0049740956,1,30,model6_xgb_nolag
num__unemployment_total,0.048365116,1,30,model6_xgb_nolag
num__unemployment_youth,0.017780904,1,30,model6_xgb_nolag
num__unemployment_sa,0.014768047,1,30,model6_xgb_nolag
num__unemployment_sa_z,0.01168537,1,30,model6_xgb_nolag
num__unemployment_rate,0.024392223,1,30,model6_xgb_nolag
num__unemployment_rate_z,0.009193798,1,30,model6_xgb_nolag
num__earnings_monthly,0.0063292747,1,30,model6_xgb_nolag
num__earnings_monthly_z,0.008453077,1,30,model6_xgb_nolag
num__political_stability_est,0.26443025,1,30,model6_xgb_nolag
num__voice_accountability_est,0.055427227,1,30,model6_xgb_nolag
num__government_effectiveness_est,0.039187636,1,30,model6_xgb_nolag
