roc_auc,pr_auc,brier,fold_id,horizon,model_name,n_train,n_test,pos_rate
0.9690054684819797,0.9959167199515884,0.05914755723432666,1,30,model0_persistence,42705,14274,0.9027602634160011
0.9552159292237268,0.9947164548487493,0.07254807389180089,1,30,model1_markets,42705,14274,0.9027602634160011
0.8987439622385799,0.988806409139461,0.10615916692866072,1,30,model2_full,42705,14274,0.9027602634160011
0.877656581478637,0.9864361414141767,0.12363073260878339,1,30,model4_fao,42705,14274,0.9027602634160011
0.97221190054573,0.996152588513131,0.22662611254317067,1,30,model5_xgboost_tuned,42705,14274,0.9027602634160011
0.7584701143389537,0.9683984768531702,0.3051979522942118,1,30,model6_xgb_nolag,42705,14274,0.9027602634160011
0.8662781491966126,0.9805432818382391,0.15990374753376693,1,30,model5_income_group,42705,14274,0.9027602634160011
0.7681509119429483,0.9677554425510875,0.27156607472525907,1,30,model6_income_group_nolag,42705,14274,0.9027602634160011
0.9747565668193912,0.998213453848107,0.04683372431385708,2,30,model0_persistence,56979,14235,0.939866526167896
0.9689692330636729,0.997884213310158,0.048054102521437235,2,30,model1_markets,56979,14235,0.939866526167896
0.9520901426632474,0.997012353968866,0.07917692850590677,2,30,model2_full,56979,14235,0.939866526167896
0.9429352248921277,0.9963599028682352,0.06536484516306378,2,30,model4_fao,56979,14235,0.939866526167896
0.9589968464318122,0.9973272714560866,0.03467618634838284,2,30,model5_xgboost_tuned,56979,14235,0.939866526167896
0.7142382258987267,0.9711249535644715,0.10835895130099008,2,30,model6_xgb_nolag,56979,14235,0.939866526167896
0.9129441068545838,0.9938121039505396,0.07239353421970109,2,30,model5_income_group,56979,14235,0.939866526167896
0.9482665853097998,0.9965663929622206,0.05509358364043825,2,30,model6_income_group_nolag,56979,14235,0.939866526167896
0.9769057504349438,0.9989615668156709,0.04217269291336139,3,30,model0_persistence,71214,14235,0.9643133122585177
0.9763316333291079,0.9990487984639017,0.04170675347790235,3,30,model1_markets,71214,14235,0.9643133122585177
0.9763237461202103,0.9990663061986148,0.02345061715151873,3,30,model2_full,71214,14235,0.9643133122585177
0.9800344628007678,0.9992131115258981,0.016113693618664323,3,30,model4_fao,71214,14235,0.9643133122585177
0.9828561476347838,0.9993382097238273,0.019762446484180726,3,30,model5_xgboost_tuned,71214,14235,0.9643133122585177
0.9302337653994168,0.997068050314726,0.05674947142534577,3,30,model6_xgb_nolag,71214,14235,0.9643133122585177
0.9656719988022914,0.9985716887198512,0.07928326609155856,3,30,model5_income_group,71214,14235,0.9643133122585177
0.8578200815795528,0.9933144282109165,0.1564601795520104,3,30,model6_income_group_nolag,71214,14235,0.9643133122585177
0.983412483476016,0.9990711497635754,0.040447556106733194,4,30,model0_persistence,85449,14235,0.9533544081489287
0.9826865490108694,0.9990850074970644,0.03882043587029929,4,30,model1_markets,85449,14235,0.9533544081489287
0.9463752881987014,0.9972353589757833,0.02658796023636983,4,30,model2_full,85449,14235,0.9533544081489287
0.8860883812310623,0.9938262391457747,0.04206854916286859,4,30,model4_fao,85449,14235,0.9533544081489287
0.9882479405500567,0.9994103124060398,0.015808414294541002,4,30,model5_xgboost_tuned,85449,14235,0.9533544081489287
0.8838460466284858,0.9924172466781902,0.1757390651312387,4,30,model6_xgb_nolag,85449,14235,0.9533544081489287
0.8254537936581637,0.9885107383528128,0.09671206050519429,4,30,model5_income_group,85449,14235,0.9533544081489287
0.8541188000102983,0.9909712823518639,0.1696753429263865,4,30,model6_income_group_nolag,85449,14235,0.9533544081489287
0.988810989215135,0.9992658898197377,0.04798648183012002,5,30,model0_persistence,99684,14274,0.9511699593666807
0.9887894319545598,0.9993923001998182,0.045912878570800335,5,30,model1_markets,99684,14274,0.9511699593666807
0.9819431524471348,0.9990789127419785,0.02651824512600281,5,30,model2_full,99684,14274,0.9511699593666807
0.9792585337956027,0.9989110199809551,0.02817609068883824,5,30,model4_fao,99684,14274,0.9511699593666807
0.9904884399718529,0.9994811581270052,0.04464199148713237,5,30,model5_xgboost_tuned,99684,14274,0.9511699593666807
0.9617069609556799,0.9968259429954897,0.14243799161826834,5,30,model6_xgb_nolag,99684,14274,0.9511699593666807
0.9855061237942596,0.9991789641723766,0.056906463757073235,5,30,model5_income_group,99684,14274,0.9511699593666807
0.9617964658562055,0.9978485969260331,0.03345150213984152,5,30,model6_income_group_nolag,99684,14274,0.9511699593666807
