feature,coefficient,fold_id,horizon,model_name
num__rule_of_law_est,-1.5626367245253978,2,7,model4_fao
num__rule_of_law_est_z,-0.2784643847665763,2,7,model4_fao
num__fx_pct_30d_x_instability,0.08340760990238599,2,7,model4_fao
num__oil_brent_pct_30d_x_inflation,0.049589009954171454,2,7,model4_fao
num__economic_stress_index,-0.08419251640910926,2,7,model4_fao
num__economic_stress_index_z,0.03315703150622765,2,7,model4_fao
num__labour_conflict_index,0.05532822802088464,2,7,model4_fao
num__labour_conflict_index_z,-0.01601668509336933,2,7,model4_fao
num__protest_mobilisation_index,0.012394633732652519,2,7,model4_fao
num__protest_mobilisation_index_z,-0.03220483111048857,2,7,model4_fao
num__food_cpi_inflation,-0.07194344152485674,2,7,model4_fao
num__food_cpi_inflation_z,-0.22160242406418362,2,7,model4_fao
num__energy_cpi_inflation,-0.0046847370986123045,2,7,model4_fao
num__energy_cpi_inflation_z,0.00959510713610384,2,7,model4_fao
num__month_sin,0.09767061222080656,2,7,model4_fao
num__month_cos,0.002170041107163307,2,7,model4_fao
num__fao_food_index_yoy,-0.20807384779388663,2,7,model4_fao
num__fao_cereals_index_yoy,0.0801120739712636,2,7,model4_fao
num__fao_oils_index_yoy,0.6437056768491426,2,7,model4_fao
num__fao_food_index_yoy_above90,0.11412097119246836,2,7,model4_fao
num__fao_cereals_index_yoy_above90,-0.17208776255008254,2,7,model4_fao
num__fao_cereals_index_yoy_lag1m,-0.0015666272545065423,2,7,model4_fao
num__fao_cereals_index_yoy_lag3m,-0.20549831891445092,2,7,model4_fao
num__fao_cereals_index_yoy_lag6m,0.12600473178558969,2,7,model4_fao
num__fao_food_index_yoy_lag1m,-0.3082061061996641,2,7,model4_fao
num__fao_food_index_yoy_lag3m,0.16820652792290652,2,7,model4_fao
num__fao_cereals_yoy_x_instability,0.008182225656893576,2,7,model4_fao
num__fao_food_yoy_x_youth_unemp,0.05200967135000418,2,7,model4_fao
num__gta_harmful_events,0.04734477090531661,2,7,model4_fao
num__gta_harmful_events_z,-0.04799166626573334,2,7,model4_fao
num__gta_liberalising_events,0.022746283720382805,2,7,model4_fao
num__gta_liberalising_events_z,0.034299100060081265,2,7,model4_fao
num__gta_30d_count,0.14611029154176147,2,7,model4_fao
num__gta_30d_count_z,0.02770807589224539,2,7,model4_fao
num__gta_90d_count,-1.0997637021446334,2,7,model4_fao
num__gta_90d_count_z,-0.09105794248548545,2,7,model4_fao
num__acled_7d_lag,26.219177568665355,3,7,model0_persistence
num__acled_28d_lag,32.47308091669596,3,7,model0_persistence
num__riot_7d_lag,2.0125560230436257,3,7,model0_persistence
num__riot_28d_lag,5.797518186093068,3,7,model0_persistence
num__violence_7d_lag,0.7806251557633253,3,7,model0_persistence
num__violence_28d_lag,0.9967440509501092,3,7,model0_persistence
num__protest_fat_7d_lag,-0.046965082333481366,3,7,model0_persistence
num__protest_fat_28d_lag,-0.09341717473032157,3,7,model0_persistence
num__acled_7d_lag,26.144780008157245,3,7,model1_markets
num__acled_28d_lag,32.01077029858545,3,7,model1_markets
num__riot_7d_lag,2.2616822837220223,3,7,model1_markets
num__riot_28d_lag,5.776306276515812,3,7,model1_markets
num__violence_7d_lag,0.6253661748953425,3,7,model1_markets
num__violence_28d_lag,1.0932519025909813,3,7,model1_markets
num__protest_fat_7d_lag,-0.04709643856584856,3,7,model1_markets
num__protest_fat_28d_lag,-0.10856275775749955,3,7,model1_markets
num__fx_pct_7d,0.07029832438315017,3,7,model1_markets
num__fx_pct_30d,-0.20237759621219756,3,7,model1_markets
num__fx_pct_90d,0.0202646915917417,3,7,model1_markets
num__fx_vol_7d,0.03436562923051391,3,7,model1_markets
num__fx_vol_30d,-0.033073125709468694,3,7,model1_markets
num__oil_brent_pct_14d,0.020119815672048427,3,7,model1_markets
num__oil_brent_pct_30d,0.2724595048624318,3,7,model1_markets
num__yield_us10y,0.14420183837767675,3,7,model1_markets
num__fx_pct_30d_z,0.025919089883836243,3,7,model1_markets
num__fx_vol_30d_z,0.07747952233646677,3,7,model1_markets
num__oil_brent_pct_30d_z,-0.27440720249706385,3,7,model1_markets
num__acled_7d_lag,20.50543435535569,3,7,model2_full
num__acled_28d_lag,24.397900884043878,3,7,model2_full
num__riot_7d_lag,1.7655574746193885,3,7,model2_full
num__riot_28d_lag,5.959960958462158,3,7,model2_full
num__violence_7d_lag,0.6047240571998079,3,7,model2_full
num__violence_28d_lag,1.265739962947989,3,7,model2_full
num__protest_fat_7d_lag,-0.042380554702584255,3,7,model2_full
num__protest_fat_28d_lag,-0.12214629207076447,3,7,model2_full
num__fx_pct_7d,0.07019571225667655,3,7,model2_full
num__fx_pct_30d,-0.13658987038476667,3,7,model2_full
num__fx_pct_90d,0.054552496382050196,3,7,model2_full
num__fx_vol_7d,0.06626447119041497,3,7,model2_full
num__fx_vol_30d,0.13024548461324426,3,7,model2_full
num__oil_brent_pct_14d,4.1849591161141366e-05,3,7,model2_full
num__oil_brent_pct_30d,0.050469036867732575,3,7,model2_full
num__yield_us10y,0.41686780169331744,3,7,model2_full
num__fx_pct_30d_z,0.000574938550305288,3,7,model2_full
num__fx_vol_30d_z,-0.020648311847500204,3,7,model2_full
num__oil_brent_pct_30d_z,-0.03052645103791022,3,7,model2_full
num__gdp_growth,-0.6134952024485943,3,7,model2_full
num__gdp_growth_z,1.7371387952619788,3,7,model2_full
num__gdp_per_capita_growth,-0.07399586904246955,3,7,model2_full
num__gdp_per_capita_growth_z,-1.1504744641738602,3,7,model2_full
num__inflation_cpi_yoy,-0.2207673159461204,3,7,model2_full
num__inflation_cpi_yoy_z,0.18659706224538072,3,7,model2_full
num__unemployment_total,0.4261231697731061,3,7,model2_full
num__unemployment_total_z,-0.5596185265872546,3,7,model2_full
num__unemployment_youth,0.15440382904989558,3,7,model2_full
num__unemployment_youth_z,0.4997057783709529,3,7,model2_full
num__unemployment_sa,0.24144681316096925,3,7,model2_full
num__unemployment_sa_z,0.3876844026957577,3,7,model2_full
num__unemployment_rate,-0.821734541631656,3,7,model2_full
num__unemployment_rate_z,0.05545566233316114,3,7,model2_full
num__earnings_monthly,-0.11693352242623942,3,7,model2_full
num__earnings_monthly_z,-0.008792863273431265,3,7,model2_full
num__political_stability_est,-0.6550098559623257,3,7,model2_full
num__political_stability_est_z,0.11250840318687168,3,7,model2_full
num__voice_accountability_est,-0.6517964294076395,3,7,model2_full
num__voice_accountability_est_z,0.43960334049798583,3,7,model2_full
num__government_effectiveness_est,1.07272615825401,3,7,model2_full
num__government_effectiveness_est_z,-0.03708993550938935,3,7,model2_full
num__rule_of_law_est,-0.543474152803571,3,7,model2_full
num__rule_of_law_est_z,-0.12038489041403337,3,7,model2_full
num__fx_pct_30d_x_instability,-0.13693811062549138,3,7,model2_full
num__oil_brent_pct_30d_x_inflation,0.01927622369205738,3,7,model2_full
num__economic_stress_index,-0.0665712520996951,3,7,model2_full
num__economic_stress_index_z,0.04792407750312437,3,7,model2_full
num__labour_conflict_index,0.039593577539591314,3,7,model2_full
num__labour_conflict_index_z,-0.003978427840697189,3,7,model2_full
num__protest_mobilisation_index,-0.013302064221292615,3,7,model2_full
num__protest_mobilisation_index_z,0.014574648408628264,3,7,model2_full
num__food_cpi_inflation,-0.11385144296989753,3,7,model2_full
num__food_cpi_inflation_z,-0.16596301175640218,3,7,model2_full
num__energy_cpi_inflation,0.04262000613584966,3,7,model2_full
num__energy_cpi_inflation_z,0.00042236767692910033,3,7,model2_full
num__acled_7d_lag,19.723711194993374,3,7,model4_fao
num__acled_28d_lag,23.280073787275395,3,7,model4_fao
num__riot_7d_lag,1.5053389763433356,3,7,model4_fao
num__riot_28d_lag,5.7500301355947165,3,7,model4_fao
num__violence_7d_lag,0.47749355474956223,3,7,model4_fao
num__violence_28d_lag,1.0688876126613105,3,7,model4_fao
num__protest_fat_7d_lag,-0.03797188901346168,3,7,model4_fao
num__protest_fat_28d_lag,-0.1201240543525749,3,7,model4_fao
