feature,coefficient,fold_id,event_type,horizon,model_name,target
num__gdelt_protest_7d_lag,0.2864289472074284,1,protest,7,model0_persistence,protest_7d
num__gdelt_protest_28d_lag,0.5015195716073134,1,protest,7,model0_persistence,protest_7d
num__gdelt_strike_7d_lag,-0.1273969629766397,1,protest,7,model0_persistence,protest_7d
num__gdelt_strike_28d_lag,0.2731028470036057,1,protest,7,model0_persistence,protest_7d
num__gdelt_protest_region_14d,0.1759229889047012,1,protest,7,model0_persistence,protest_7d
num__gdelt_strike_region_14d,-0.1451763832427599,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_AUS,2.7736720594176245,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_BOL,-1.0174619088776222,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_BRA,0.1175759228557125,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_CAN,3.271719308542932,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_CHL,-0.5713440736346862,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_CHN,0.3891545061614747,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_DEU,1.600778028366681,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_ESP,0.9311901477858772,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_FRA,1.9592648736031344,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_GBR,2.884444810957085,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_GRC,0.3566576442171853,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_HUN,-0.6185408486562175,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_IDN,0.7850828846496378,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_IND,2.948242640968907,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_IRL,2.071768196327315,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_ITA,0.4598918648228988,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_JPN,0.0752660156386095,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_KEN,0.1823985067250972,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_KOR,1.4200106056657182,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_LAO,-2.1229195389332816,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_MAR,0.2979458054248136,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_MEX,-0.1461550866106959,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_MOZ,-4.695198986912455,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_MYS,1.930374416149664,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_NAM,-2.308330772871745,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_NLD,0.0760842390306252,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_NOR,-0.8453017128904151,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_PER,-1.0228159005586368,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_PHL,1.7243015342525507,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_POL,0.1157643988012864,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_PRT,-0.6068163098981485,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_SWE,-0.3711741812958758,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_THA,0.8919919201051703,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_TUR,1.071621273338679,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_USA,2.7512968909228825,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_VNM,-0.8433138775087266,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_ZAF,3.0133184131887907,1,protest,7,model0_persistence,protest_7d
fe__country_iso3_ZWE,1.6132727311791972,1,protest,7,model0_persistence,protest_7d
num__gdelt_protest_7d_lag,0.3195636759159377,2,protest,7,model0_persistence,protest_7d
num__gdelt_protest_28d_lag,0.6302570731403958,2,protest,7,model0_persistence,protest_7d
num__gdelt_strike_7d_lag,-0.1171181671113048,2,protest,7,model0_persistence,protest_7d
num__gdelt_strike_28d_lag,0.2471880052721402,2,protest,7,model0_persistence,protest_7d
num__gdelt_protest_region_14d,0.1280181921627959,2,protest,7,model0_persistence,protest_7d
num__gdelt_strike_region_14d,0.0107496213398055,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_AUS,2.5762508154677617,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_BOL,-1.0237884267121995,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_BRA,0.185843679444928,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_CAN,3.07630880114814,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_CHL,-0.1206158468863159,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_CHN,0.6250566112488779,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_DEU,1.5230002023192213,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_ESP,0.6773075674549857,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_FRA,1.587074515189475,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_GBR,2.9875981939519614,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_GRC,0.2745496628947366,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_HUN,-0.8004038408493972,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_IDN,0.8944477902338714,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_IND,2.9523033825999643,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_IRL,1.850412528369116,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_ITA,0.2477670019760918,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_JPN,0.148756699352542,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_KEN,0.2806913575832432,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_KOR,1.3680097085039389,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_LAO,-1.9356884325697332,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_MAR,0.1352337369042086,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_MEX,0.2489283458665361,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_MOZ,-4.756007269109725,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_MYS,1.474681987987411,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_NAM,-2.259139469446007,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_NLD,-0.0174352836818823,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_NOR,-1.0990096065995962,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_PER,-0.7222701881177723,2,protest,7,model0_persistence,protest_7d
fe__country_iso3_PHL,1.857009329977986,2,protest,7,model0_persistence,protest_7d
