iso3,admin1,month,event_count,fatalities
ARG,Buenos Aires,2023-09-01,32,0
ARG,Buenos Aires,2023-10-01,21,0
ARG,Buenos Aires,2023-11-01,19,0
ARG,Buenos Aires,2023-12-01,37,0
ARG,Buenos Aires,2024-01-01,25,0
ARG,Buenos Aires,2024-02-01,30,0
ARG,Buenos Aires,2024-03-01,25,0
ARG,Buenos Aires,2024-04-01,20,0
ARG,Buenos Aires,2024-05-01,34,0
ARG,Buenos Aires,2024-06-01,23,0
ARG,Buenos Aires,2024-07-01,22,0
ARG,Buenos Aires,2024-08-01,12,0
ARG,Buenos Aires,2024-09-01,15,0
ARG,Buenos Aires,2024-10-01,76,0
ARG,Buenos Aires,2024-11-01,20,0
ARG,Buenos Aires,2024-12-01,19,0
ARG,Buenos Aires,2025-01-01,19,0
ARG,Buenos Aires,2025-02-01,32,1
ARG,Catamarca,2018-02-01,4,0
ARG,Catamarca,2018-03-01,7,0
ARG,Catamarca,2018-04-01,3,0
ARG,Catamarca,2018-05-01,3,0
ARG,Catamarca,2018-06-01,13,0
ARG,Catamarca,2018-07-01,2,0
ARG,Catamarca,2018-08-01,9,0
ARG,Catamarca,2018-09-01,3,0
ARG,Catamarca,2018-10-01,2,0
ARG,Catamarca,2018-11-01,6,0
ARG,Catamarca,2018-12-01,1,0
ARG,Catamarca,2019-01-01,1,0
ARG,Catamarca,2019-02-01,2,0
ARG,Catamarca,2019-03-01,5,0
ARG,Catamarca,2019-04-01,4,0
ARG,Catamarca,2019-05-01,5,0
ARG,Catamarca,2019-06-01,3,0
ARG,Catamarca,2019-07-01,4,0
ARG,Catamarca,2019-08-01,6,0
ARG,Catamarca,2019-09-01,5,0
ARG,Catamarca,2019-10-01,3,0
ARG,Catamarca,2019-11-01,5,0
ARG,Catamarca,2019-12-01,13,0
ARG,Catamarca,2020-01-01,8,0
ARG,Catamarca,2020-02-01,18,0
ARG,Catamarca,2020-03-01,7,0
ARG,Catamarca,2020-04-01,1,0
ARG,Catamarca,2020-05-01,6,0
ARG,Catamarca,2020-06-01,8,0
ARG,Catamarca,2020-07-01,4,0
ARG,Catamarca,2020-08-01,8,0
ARG,Catamarca,2020-09-01,6,0
ARG,Catamarca,2020-10-01,25,0
ARG,Catamarca,2020-11-01,17,0
ARG,Catamarca,2020-12-01,16,0
ARG,Catamarca,2021-01-01,4,0
ARG,Catamarca,2021-02-01,15,0
ARG,Catamarca,2021-03-01,62,0
ARG,Catamarca,2021-04-01,21,0
ARG,Catamarca,2021-05-01,14,0
ARG,Catamarca,2021-06-01,14,0
ARG,Catamarca,2021-07-01,11,0
ARG,Catamarca,2021-08-01,25,0
ARG,Catamarca,2021-09-01,17,0
ARG,Catamarca,2021-10-01,23,0
ARG,Catamarca,2021-11-01,14,0
ARG,Catamarca,2021-12-01,17,0
ARG,Catamarca,2022-01-01,7,0
ARG,Catamarca,2022-02-01,14,0
ARG,Catamarca,2022-03-01,9,0
ARG,Catamarca,2022-04-01,21,0
ARG,Catamarca,2022-05-01,16,0
ARG,Catamarca,2022-06-01,12,0
ARG,Catamarca,2022-07-01,12,0
ARG,Catamarca,2022-08-01,21,0
ARG,Catamarca,2022-09-01,17,0
ARG,Catamarca,2022-10-01,11,0
ARG,Catamarca,2022-11-01,1,0
ARG,Catamarca,2022-12-01,7,1
ARG,Catamarca,2023-01-01,3,0
ARG,Catamarca,2023-02-01,1,0
ARG,Catamarca,2023-03-01,13,0
ARG,Catamarca,2023-04-01,13,0
ARG,Catamarca,2023-05-01,11,0
ARG,Catamarca,2023-06-01,6,0
ARG,Catamarca,2023-07-01,6,0
ARG,Catamarca,2023-08-01,3,0
ARG,Catamarca,2023-09-01,4,0
ARG,Catamarca,2023-10-01,2,0
ARG,Catamarca,2023-11-01,3,0
ARG,Catamarca,2024-01-01,1,0
ARG,Catamarca,2024-02-01,4,0
ARG,Catamarca,2024-03-01,1,0
ARG,Catamarca,2024-04-01,4,0
ARG,Catamarca,2024-05-01,7,0
ARG,Catamarca,2024-06-01,1,0
ARG,Catamarca,2024-07-01,1,0
ARG,Catamarca,2024-08-01,1,0
ARG,Catamarca,2024-10-01,3,0
ARG,Catamarca,2024-11-01,2,0
ARG,Catamarca,2024-12-01,2,0
ARG,Catamarca,2025-02-01,3,0
ARG,Chaco,2018-02-01,1,0
ARG,Chaco,2018-03-01,3,0
ARG,Chaco,2018-04-01,1,0
ARG,Chaco,2018-05-01,1,0
ARG,Chaco,2018-06-01,1,0
ARG,Chaco,2018-07-01,1,0
ARG,Chaco,2018-08-01,2,0
ARG,Chaco,2018-09-01,6,2
ARG,Chaco,2018-12-01,2,0
ARG,Chaco,2019-02-01,1,0
ARG,Chaco,2019-03-01,1,0
ARG,Chaco,2019-08-01,4,0
ARG,Chaco,2020-02-01,2,0
ARG,Chaco,2020-03-01,1,0
ARG,Chaco,2020-05-01,3,0
ARG,Chaco,2020-06-01,5,0
ARG,Chaco,2020-07-01,3,0
ARG,Chaco,2020-08-01,2,0
ARG,Chaco,2020-09-01,4,0
ARG,Chaco,2020-10-01,1,0
ARG,Chaco,2020-11-01,6,0
ARG,Chaco,2020-12-01,1,0
ARG,Chaco,2021-01-01,3,0
ARG,Chaco,2021-02-01,2,0
ARG,Chaco,2021-03-01,3,0
ARG,Chaco,2021-06-01,1,1
ARG,Chaco,2021-07-01,3,0
ARG,Chaco,2021-08-01,1,0
ARG,Chaco,2021-09-01,2,0
ARG,Chaco,2021-10-01,2,0
ARG,Chaco,2021-11-01,1,0
ARG,Chaco,2022-02-01,4,0
ARG,Chaco,2022-04-01,2,0
ARG,Chaco,2022-05-01,2,0
ARG,Chaco,2022-06-01,3,1
ARG,Chaco,2022-07-01,2,0
ARG,Chaco,2022-09-01,3,0
ARG,Chaco,2022-10-01,2,0
ARG,Chaco,2022-11-01,1,0
ARG,Chaco,2023-02-01,1,0
ARG,Chaco,2023-03-01,3,0
ARG,Chaco,2023-04-01,1,0
ARG,Chaco,2023-05-01,1,0
ARG,Chaco,2023-06-01,8,0
ARG,Chaco,2023-07-01,18,0
ARG,Chaco,2023-08-01,4,0
ARG,Chaco,2023-12-01,1,0
ARG,Chaco,2024-02-01,1,0
ARG,Chaco,2024-04-01,4,0
ARG,Chaco,2024-10-01,2,0
ARG,Chubut,2018-01-01,7,0
ARG,Chubut,2018-02-01,13,0
ARG,Chubut,2018-03-01,53,0
ARG,Chubut,2018-04-01,39,0
ARG,Chubut,2018-05-01,43,0
ARG,Chubut,2018-06-01,63,0
ARG,Chubut,2018-07-01,28,0
ARG,Chubut,2018-08-01,21,0
ARG,Chubut,2018-09-01,14,0
ARG,Chubut,2018-10-01,13,0
ARG,Chubut,2018-11-01,20,0
ARG,Chubut,2018-12-01,16,0
ARG,Chubut,2019-01-01,10,1
ARG,Chubut,2019-02-01,3,0
ARG,Chubut,2019-03-01,1,0
ARG,Chubut,2019-04-01,6,1
ARG,Chubut,2019-05-01,11,0
ARG,Chubut,2019-06-01,9,0
ARG,Chubut,2019-07-01,18,0
ARG,Chubut,2019-08-01,40,0
ARG,Chubut,2019-09-01,29,0
ARG,Chubut,2019-10-01,12,0
ARG,Chubut,2019-11-01,30,0
ARG,Chubut,2019-12-01,13,0
ARG,Chubut,2020-01-01,43,0
ARG,Chubut,2020-02-01,32,0
ARG,Chubut,2020-03-01,30,0
ARG,Chubut,2020-04-01,9,0
ARG,Chubut,2020-05-01,53,0
ARG,Chubut,2020-06-01,52,0
ARG,Chubut,2020-07-01,38,0
ARG,Chubut,2020-08-01,51,0
ARG,Chubut,2020-09-01,85,0
ARG,Chubut,2020-10-01,60,0
ARG,Chubut,2020-11-01,79,0
ARG,Chubut,2020-12-01,48,0
ARG,Chubut,2021-01-01,26,0
ARG,Chubut,2021-02-01,38,0
ARG,Chubut,2021-03-01,43,0
ARG,Chubut,2021-04-01,25,0
ARG,Chubut,2021-05-01,49,0
ARG,Chubut,2021-06-01,29,0
ARG,Chubut,2021-07-01,37,0
ARG,Chubut,2021-08-01,36,0
ARG,Chubut,2021-09-01,39,0
ARG,Chubut,2021-10-01,29,0
ARG,Chubut,2021-11-01,41,0
ARG,Chubut,2021-12-01,47,0
ARG,Chubut,2022-01-01,7,0
ARG,Chubut,2022-02-01,13,0
ARG,Chubut,2022-03-01,29,0
ARG,Chubut,2022-04-01,18,0
ARG,Chubut,2022-05-01,22,0
ARG,Chubut,2022-06-01,31,0
ARG,Chubut,2022-07-01,12,0
ARG,Chubut,2022-08-01,34,0
ARG,Chubut,2022-09-01,27,0
ARG,Chubut,2022-10-01,21,0
ARG,Chubut,2022-11-01,42,0
ARG,Chubut,2022-12-01,25,0
ARG,Chubut,2023-01-01,10,0
ARG,Chubut,2023-02-01,9,0
ARG,Chubut,2023-03-01,33,0
ARG,Chubut,2023-04-01,17,0
ARG,Chubut,2023-05-01,25,0
ARG,Chubut,2023-06-01,35,0
ARG,Chubut,2023-07-01,23,0
ARG,Chubut,2023-08-01,23,0
ARG,Chubut,2023-09-01,17,0
ARG,Chubut,2023-10-01,9,0
ARG,Chubut,2023-11-01,25,0
ARG,Chubut,2023-12-01,12,0
ARG,Chubut,2024-01-01,19,0
ARG,Chubut,2024-02-01,11,0
ARG,Chubut,2024-03-01,20,0
ARG,Chubut,2024-04-01,12,0
ARG,Chubut,2024-05-01,22,0
