feature,importance,fold_id,event_type,horizon,model_name,target
num__gdelt_protest_7d_lag,0.09028098,1,protest,7,model5_xgb,protest_7d
num__gdelt_protest_28d_lag,0.12071305,1,protest,7,model5_xgb,protest_7d
num__gdelt_strike_7d_lag,0.10018002,1,protest,7,model5_xgb,protest_7d
num__gdelt_strike_28d_lag,0.025341073,1,protest,7,model5_xgb,protest_7d
num__gdelt_protest_region_14d,0.004475456,1,protest,7,model5_xgb,protest_7d
num__gdelt_strike_region_14d,0.004397806,1,protest,7,model5_xgb,protest_7d
num__fx_pct_7d,0.0025976792,1,protest,7,model5_xgb,protest_7d
num__fx_pct_30d,0.002857262,1,protest,7,model5_xgb,protest_7d
num__fx_pct_90d,0.0023848328,1,protest,7,model5_xgb,protest_7d
num__fx_vol_7d,0.0032251878,1,protest,7,model5_xgb,protest_7d
num__fx_vol_30d,0.008785398,1,protest,7,model5_xgb,protest_7d
num__oil_brent_pct_14d,0.0027824296,1,protest,7,model5_xgb,protest_7d
num__oil_brent_pct_30d,0.0031775278,1,protest,7,model5_xgb,protest_7d
num__yield_us10y,0.003959894,1,protest,7,model5_xgb,protest_7d
num__fx_pct_30d_z,0.002976783,1,protest,7,model5_xgb,protest_7d
num__fx_vol_30d_z,0.0054098554,1,protest,7,model5_xgb,protest_7d
num__oil_brent_pct_30d_z,0.002236239,1,protest,7,model5_xgb,protest_7d
num__copper_pct_30d,0.0025866572,1,protest,7,model5_xgb,protest_7d
num__copper_pct_90d,0.003699196,1,protest,7,model5_xgb,protest_7d
num__copper_vol_30d,0.0038556117,1,protest,7,model5_xgb,protest_7d
num__gold_pct_30d,0.0032963841,1,protest,7,model5_xgb,protest_7d
num__gold_vol_30d,0.0037436292,1,protest,7,model5_xgb,protest_7d
num__platinum_pct_30d,0.0029902183,1,protest,7,model5_xgb,protest_7d
num__silver_pct_30d,0.003200939,1,protest,7,model5_xgb,protest_7d
num__natgas_pct_30d,0.0031276136,1,protest,7,model5_xgb,protest_7d
num__vix_level,0.0030692357,1,protest,7,model5_xgb,protest_7d
