"id","indicator","indicator.label","freq","freq.label","rep_var","rep_var.label","classification","data.start","data.end","last.update","n.records","n.ref_area","with.region","collection","collection.label","subject","subject.label","database","database.label"
"POP_XWAP_SEX_AGE_GEO_NB_A","POP_XWAP_SEX_AGE_GEO_NB","Working-age population by sex, age and rural / urban areas (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,AGE,GEO",1970,2025,"20/02/2026 02:02:03",291110,165,,"YI","Annual indicators","POP","Population","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"POP_XWAP_SEX_AGE_GEO_NB_Q","POP_XWAP_SEX_AGE_GEO_NB","Working-age population by sex, age and rural / urban areas (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,AGE,GEO",1987,2025,"21/02/2026 01:19:48",747993,87,,"STI","Short-term labour force indicators (STLFS)","POP","Population","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"POP_XWAP_SEX_AGE_GEO_NB_M","POP_XWAP_SEX_AGE_GEO_NB","Working-age population by sex, age and rural / urban areas (thousands)","M","Monthly","POP_XWAP_NB","Working-age population","SEX,AGE,GEO",2000,2026,"14/02/2026 08:03:12",151911,14,,"STI","Short-term labour force indicators (STLFS)","POP","Population","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"POP_XWAP_SEX_AGE_MTS_NB_A","POP_XWAP_SEX_AGE_MTS_NB","Working-age population by sex, age and marital status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,AGE,MTS",1970,2025,"25/02/2026 07:05:32",773698,173,,"YI","Annual indicators","POP","Population","GEND","Gender Equality and Non-Discrimination Indicators (GEND)"
"POP_XWAP_SEX_AGE_MTS_NB_Q","POP_XWAP_SEX_AGE_MTS_NB","Working-age population by sex, age and marital status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,AGE,MTS",1987,2025,"24/02/2026 07:05:22",872558,78,,"STI","Short-term labour force indicators (STLFS)","POP","Population","GEND","Gender Equality and Non-Discrimination Indicators (GEND)"
"POP_XWAP_SEX_AGE_DSB_NB_A","POP_XWAP_SEX_AGE_DSB_NB","Working-age population by sex, age and disability status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,AGE,DSB",1996,2025,"14/02/2026 08:09:21",79129,124,,"YI","Annual indicators","POP","Population","DLMI","Disability Labour Market Indicators (DLMI)"
"MST_XWAP_SEX_AGE_CBR_NB_A","MST_XWAP_SEX_AGE_CBR_NB","Working-age population by sex, age and place of birth (thousands)","A","Annual","MST_XWAP_NB","Working-age population","SEX,AGE,CBR",1990,2024,"19/02/2026 12:00:58",135355,152,,"ILMS","International labour migration statistics (ILMS)","MST","International migrant stock","ILMS","International Labour Migration Statistics (ILMS)"
"MST_XWAP_SEX_AGE_CCT_NB_A","MST_XWAP_SEX_AGE_CCT_NB","Working-age population by sex, age and citizenship (thousands)","A","Annual","MST_XWAP_NB","Working-age population","SEX,AGE,CCT",1991,2024,"05/02/2026 17:00:13",120642,144,,"ILMS","International labour migration statistics (ILMS)","MST","International migrant stock","ILMS","International Labour Migration Statistics (ILMS)"
"POP_XWAP_SEX_AGE_LMS_NB_A","POP_XWAP_SEX_AGE_LMS_NB","Working-age population by sex, age and labour market status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,AGE,LMS",1970,2025,"25/02/2026 07:05:32",492174,179,,"YI","Annual indicators","POP","Population","LFS","Labour Force Statistics (LFS)"
"POP_XWAP_SEX_AGE_LMS_NB_Q","POP_XWAP_SEX_AGE_LMS_NB","Working-age population by sex, age and labour market status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,AGE,LMS",1976,2025,"24/02/2026 07:05:22",1274619,101,,"STI","Short-term labour force indicators (STLFS)","POP","Population","LFS","Labour Force Statistics (LFS)"
