url,location_name,gdelt_lat,gdelt_lon,geocoded_lat,geocoded_lon,distance_km,is_outlier
http://www.newstalkzb.co.nz/news/national/high-tides-expected-to-batter-the-country/,New Zealand,-38.3333,176.75,-41.5000831,172.8344077,485.2,False
http://www.guardian.co.tt/news/2017-12-31/met-office-more-floods-likely,Trinidad and Tobago,11.182,-60.7345,10.7466905,-61.0840075,61.6,False
http://www.herald.co.zw/dont-cross-flooded-rivers-villagers-told/,"Zimbabwe, Chiredzi",-21.2,31.2333,-21.4164577,31.8233421,65.7,False
http://newsday.co.tt/2017/12/31/the-flood-tide/,"Trinidad and Tobago, Barrackpore",51.5,-0.116667,10.1969916,-61.3720856,7153.2,True
https://www.iol.co.za/news/south-africa/kwazulu-natal/5-drown-in-kzn-on-new-years-weekend-12581645,"South Africa, KwaZulu-Natal",-29.7091,31.0956,-28.503833,30.8875009,135.5,False
http://newsday.co.tt/2017/12/31/alls-well-on-flooded-surgical-ward/,"Trinidad and Tobago, Scarborough, Scarborough General Hospital",10.1667,-61.0833,11.1801763,-60.7533677,118.3,False
http://www.kbzk.com/story/37176325/flood-warning-for-gallatin-river,"United States, Montana",38.4623,-92.302,47.3752671,-109.638757,1718.6,True
http://xlcountry.com/flood-warning-issued-for-gallatin-river/,"USA, Montana, Gallatin River",45.9386,-111.493,45.4417945,-111.2289687,58.9,False
https://www.96fm.ie/news/flooding-in-cork-as-storm-eleanor-continues/,"Ireland, Munster, Cork",51.9094,-8.17361,51.8985136,-8.4726423,20.6,False
https://www.today.ng/news/world/6397/700-killed-south-asia-floods,South Asia,30.25,79.25,11.0046133,124.6069737,5138.4,True
http://www.fox5dc.com/news/frigid-temps-may-be-responsible-for-flooded-dc-middle-school,"United States, Washington D.C., Washington, Kramer Middle School",38.8951,-77.0364,38.8717398,-76.9798897,5.5,False
https://www.ecowatch.com/coastal-flooding-climate-change-2521800813.html,"United States, Texas",32.7766,-79.9309,31.2638905,-98.5456116,1760.7,True
