target,model_name,year,roc_auc,pr_auc,brier,brier_skill_score,model_label
protest_7d,model0_persistence,2020,0.8703,0.8411,0.147,0.3584,M0 Persistence
protest_7d,model1_markets,2020,0.8704,0.8436,0.1551,0.3165,M1 Markets
protest_7d,model2_full,2020,0.8655,0.8398,0.1555,0.3159,M2 Full Macro
protest_7d,model3_structural,2020,0.861,0.8265,0.1565,0.3117,M3 Structural
protest_7d,model4_fao,2020,0.8603,0.8253,0.1559,0.3139,M4 FAO+GTA
protest_7d,model_lr_nolag,2020,0.8559,0.8148,0.1596,0.297,M5 No Lags
protest_7d,model0_persistence,2021,0.8761,0.8391,0.14,0.3908,M0 Persistence
protest_7d,model1_markets,2021,0.8765,0.8396,0.1339,0.4173,M1 Markets
protest_7d,model2_full,2021,0.8769,0.8398,0.1345,0.4147,M2 Full Macro
protest_7d,model3_structural,2021,0.8769,0.8396,0.134,0.4172,M3 Structural
protest_7d,model4_fao,2021,0.8748,0.8369,0.1355,0.4106,M4 FAO+GTA
protest_7d,model_lr_nolag,2021,0.8733,0.8339,0.1383,0.3987,M5 No Lags
strike_7d,model0_persistence,2020,0.9006,0.8148,0.1205,0.3038,M0 Persistence
strike_7d,model1_markets,2020,0.8996,0.8145,0.1273,0.2584,M1 Markets
strike_7d,model2_full,2020,0.8957,0.8103,0.1294,0.2472,M2 Full Macro
strike_7d,model3_structural,2020,0.8936,0.7984,0.1237,0.2794,M3 Structural
strike_7d,model4_fao,2020,0.89,0.7945,0.1242,0.274,M4 FAO+GTA
strike_7d,model_lr_nolag,2020,0.8895,0.7937,0.1259,0.2641,M5 No Lags
strike_7d,model0_persistence,2021,0.9114,0.8226,0.1133,0.3151,M0 Persistence
strike_7d,model1_markets,2021,0.9099,0.8206,0.0994,0.3986,M1 Markets
strike_7d,model2_full,2021,0.9099,0.8212,0.0974,0.4101,M2 Full Macro
strike_7d,model3_structural,2021,0.909,0.8211,0.095,0.4253,M3 Structural
strike_7d,model4_fao,2021,0.9081,0.8197,0.1001,0.3916,M4 FAO+GTA
strike_7d,model_lr_nolag,2021,0.9078,0.8185,0.1015,0.3819,M5 No Lags
