model_name,feature,mean_abs_shap,mean_shap
model5_xgb,num__gdelt_strike_28d_lag,0.5707574,-0.21407765
model5_xgb,num__gdelt_protest_28d_lag,0.3685661,-0.12629786
model5_xgb,num__rule_of_law_est,0.16212834,-0.0061484585
model5_xgb,num__gdelt_strike_7d_lag,0.12701078,-0.05802902
model5_xgb,num__government_effectiveness_est,0.12171808,-0.007200947
model5_xgb,num__unemployment_youth,0.106345385,-0.049161788
model5_xgb,num__voice_accountability_est,0.10473396,-0.011490126
model5_xgb,num__gdelt_protest_7d_lag,0.08429041,-0.009461448
model5_xgb,num__unemployment_total,0.08177836,-0.048297666
model5_xgb,num__gini_coef,0.06512586,-0.02519914
model5_xgb,num__fao_cereals_index_yoy,0.062968455,-0.058866773
model5_xgb,num__inflation_cpi_yoy,0.062651195,-0.02743093
model5_xgb,num__unemployment_rate_z,0.0617335,0.012569689
model5_xgb,num__fx_vol_30d,0.060032345,-0.0057818065
model5_xgb,num__political_stability_est,0.052512255,-0.026130117
model5_xgb,num__gold_pct_30d_x_gold_prod,0.047955077,0.0061445953
model5_xgb,num__unemployment_rate,0.047009394,-0.0023375505
model5_xgb,num__gdelt_strike_region_14d,0.044875175,0.034212567
model5_xgb,num__gdelt_protest_region_14d,0.037992917,0.009632109
model5_xgb,num__energy_cpi_inflation_z,0.03733495,-0.027454931
model5_xgb,num__fx_pct_30d_lag60d,0.034693033,-0.0015065965
model5_xgb,num__yield_us10y,0.031870514,0.025457632
model5_xgb,num__copper_pct_30d_x_copper_prod,0.030115444,-0.0052682436
model5_xgb,num__gdp_per_capita_growth,0.02802369,-0.025427148
model5_xgb,num__fao_food_yoy_x_youth_unemp,0.027831841,-0.016804146
model5_xgb,num__fao_food_index_yoy,0.026386503,-0.016234264
model5_xgb,num__gold_vol_30d,0.025491774,0.01993341
model5_xgb,num__fao_cereals_index_yoy_lag1m,0.024921244,0.024338795
model5_xgb,num__dxy_level,0.023160528,-0.0020082337
model5_xgb,num__gta_90d_count,0.022516154,0.0015371474
model5_xgb,num__gdp_growth,0.021980204,-0.016602669
model5_xgb,num__energy_cpi_inflation,0.021473078,-0.016612235
model5_xgb,num__fao_cereals_yoy_x_instability,0.021038074,-0.00062753283
model5_xgb,num__unemployment_sa,0.02030233,-0.008749793
model5_xgb,fe__country_iso3_GBR,0.019506145,0.010054212
model5_xgb,num__copper_vol_30d,0.019066053,0.015199866
model5_xgb,num__oil_brent_pct_30d_x_net_importer,0.018380372,0.0026196467
model5_xgb,num__platinum_pct_30d,0.018233448,-0.00042928837
model5_xgb,num__fao_oils_index_yoy_lag6m,0.017709458,0.00878571
model5_xgb,fe__country_iso3_IND,0.016873023,0.004261759
model5_xgb,num__fx_vol_7d,0.016415995,-0.003544623
model5_xgb,num__dxy_pct_30d,0.016168533,-0.00013618532
model5_xgb,num__oil_brent_pct_30d_lag60d,0.015952693,0.0012044748
model5_xgb,fe__country_iso3_MAR,0.015759096,-0.0034894333
model5_xgb,fe__country_iso3_MOZ,0.014660765,-0.0053550513
model5_xgb,fe__country_iso3_POL,0.014112543,-0.0056877066
model5_xgb,num__gta_harmful_events_z,0.014013909,0.005570485
model5_xgb,num__natgas_pct_30d,0.013523105,-0.0027094563
