target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.8445,0.7997,0.1551,0.3386,0.3758582037270562
protest_7d,static,2,0.8593,0.8124,0.1398,0.397,0.3654204268729408
strike_7d,static,1,0.8698,0.7423,0.0996,0.4286,0.2248143477651674
strike_7d,static,2,0.8879,0.7745,0.0847,0.4941,0.2125769946998997
protest_7d,expanding,2020-01,0.8651,0.8607,0.1442,0.4137,
protest_7d,expanding,2020-02,0.8905,0.8966,0.1342,0.4607,
protest_7d,expanding,2020-03,0.8455,0.7406,0.2003,0.0017,
protest_7d,expanding,2020-04,0.8414,0.7277,0.1572,0.2742,
protest_7d,expanding,2020-05,0.8753,0.8488,0.1325,0.4411,
protest_7d,expanding,2020-06,0.8805,0.8813,0.1423,0.4292,
protest_7d,expanding,2020-07,0.8499,0.8406,0.1501,0.3773,
protest_7d,expanding,2020-08,0.8621,0.8491,0.1339,0.4177,
protest_7d,expanding,2020-09,0.9007,0.8827,0.107,0.5328,
protest_7d,expanding,2020-10,0.8764,0.8435,0.1295,0.4439,
protest_7d,expanding,2020-11,0.8755,0.8518,0.1274,0.4562,
protest_7d,expanding,2020-12,0.9056,0.8311,0.1232,0.4106,
protest_7d,expanding,2021-01,0.8316,0.7803,0.1443,0.3575,
protest_7d,expanding,2021-02,0.8249,0.8101,0.159,0.3412,
protest_7d,expanding,2021-03,0.8776,0.8702,0.1334,0.4504,
protest_7d,expanding,2021-04,0.9107,0.8802,0.1222,0.4888,
protest_7d,expanding,2021-05,0.8611,0.8173,0.1392,0.3964,
protest_7d,expanding,2021-06,0.8624,0.8495,0.1388,0.4187,
protest_7d,expanding,2021-07,0.867,0.8093,0.1422,0.3609,
protest_7d,expanding,2021-08,0.8692,0.8128,0.1357,0.4036,
protest_7d,expanding,2021-09,0.9037,0.8785,0.1155,0.5012,
protest_7d,expanding,2021-10,0.8577,0.8182,0.1393,0.3871,
protest_7d,expanding,2021-11,0.8993,0.8653,0.1219,0.48,
protest_7d,expanding,2021-12,0.8669,0.7875,0.1335,0.351,
strike_7d,expanding,2020-01,0.8628,0.7414,0.1156,0.3859,
strike_7d,expanding,2020-02,0.8519,0.7678,0.1355,0.2468,
strike_7d,expanding,2020-03,0.8677,0.7687,0.1145,0.3435,
strike_7d,expanding,2020-04,0.9052,0.8092,0.0788,0.5013,
strike_7d,expanding,2020-05,0.9304,0.8699,0.0791,0.5378,
strike_7d,expanding,2020-06,0.9229,0.8665,0.0897,0.5337,
strike_7d,expanding,2020-07,0.8836,0.8124,0.1388,0.2083,
strike_7d,expanding,2020-08,0.9331,0.8411,0.09,0.499,
strike_7d,expanding,2020-09,0.8892,0.7669,0.12,0.3188,
strike_7d,expanding,2020-10,0.9298,0.8126,0.0989,0.3382,
strike_7d,expanding,2020-11,0.9081,0.7952,0.085,0.4865,
strike_7d,expanding,2020-12,0.8599,0.7671,0.1108,0.3727,
strike_7d,expanding,2021-01,0.9504,0.8553,0.0718,0.5339,
strike_7d,expanding,2021-02,0.9173,0.85,0.0725,0.5492,
strike_7d,expanding,2021-03,0.867,0.7489,0.1101,0.3785,
strike_7d,expanding,2021-04,0.8764,0.7821,0.1124,0.3719,
strike_7d,expanding,2021-05,0.8882,0.8219,0.1012,0.4038,
strike_7d,expanding,2021-06,0.9128,0.812,0.1032,0.4047,
strike_7d,expanding,2021-07,0.9231,0.8436,0.0857,0.4326,
strike_7d,expanding,2021-08,0.9176,0.8159,0.095,0.4624,
strike_7d,expanding,2021-09,0.9191,0.8122,0.1039,0.4175,
strike_7d,expanding,2021-10,0.9155,0.8305,0.0936,0.463,
strike_7d,expanding,2021-11,0.8984,0.8281,0.0983,0.4029,
strike_7d,expanding,2021-12,0.9014,0.7937,0.1093,0.2131,
