target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.8338,0.7985,0.2108,0.1014,0.3758582037270562
protest_7d,static,2,0.8664,0.8259,0.1365,0.4115,0.3654204268729408
strike_7d,static,1,0.8669,0.7623,0.1659,0.0479,0.2248143477651674
strike_7d,static,2,0.9083,0.8186,0.0963,0.4246,0.2125769946998997
protest_7d,expanding,2020-01,0.8626,0.8611,0.1452,0.4096,
protest_7d,expanding,2020-02,0.8549,0.8723,0.1489,0.4016,
protest_7d,expanding,2020-03,0.7979,0.7238,0.2786,-0.3884,
protest_7d,expanding,2020-04,0.8589,0.8016,0.1407,0.3503,
protest_7d,expanding,2020-05,0.8748,0.8599,0.1372,0.4213,
protest_7d,expanding,2020-06,0.8716,0.8801,0.145,0.4185,
protest_7d,expanding,2020-07,0.8485,0.8374,0.1462,0.3936,
protest_7d,expanding,2020-08,0.8671,0.857,0.1437,0.375,
protest_7d,expanding,2020-09,0.9027,0.8843,0.1064,0.5357,
protest_7d,expanding,2020-10,0.8816,0.8445,0.1306,0.4392,
protest_7d,expanding,2020-11,0.8675,0.8435,0.1328,0.4329,
protest_7d,expanding,2020-12,0.9036,0.8272,0.1388,0.3364,
protest_7d,expanding,2021-01,0.8538,0.8019,0.1383,0.3842,
protest_7d,expanding,2021-02,0.8222,0.8185,0.1559,0.3537,
protest_7d,expanding,2021-03,0.8852,0.8732,0.1315,0.458,
protest_7d,expanding,2021-04,0.9128,0.8825,0.1201,0.4977,
protest_7d,expanding,2021-05,0.8859,0.8449,0.1288,0.4416,
protest_7d,expanding,2021-06,0.8675,0.8555,0.1349,0.435,
protest_7d,expanding,2021-07,0.876,0.8266,0.141,0.3663,
protest_7d,expanding,2021-08,0.8702,0.8148,0.137,0.3976,
protest_7d,expanding,2021-09,0.9092,0.8836,0.1145,0.5056,
protest_7d,expanding,2021-10,0.8566,0.8173,0.148,0.3486,
protest_7d,expanding,2021-11,0.9051,0.8755,0.1191,0.4918,
protest_7d,expanding,2021-12,0.8754,0.7898,0.1457,0.2918,
strike_7d,expanding,2020-01,0.8367,0.7312,0.1421,0.2452,
strike_7d,expanding,2020-02,0.8632,0.7611,0.1369,0.2388,
strike_7d,expanding,2020-03,0.8831,0.7749,0.1103,0.3675,
strike_7d,expanding,2020-04,0.8957,0.8087,0.2793,-0.7683,
strike_7d,expanding,2020-05,0.9294,0.8612,0.1443,0.1569,
strike_7d,expanding,2020-06,0.9003,0.8312,0.1313,0.3173,
strike_7d,expanding,2020-07,0.908,0.8319,0.1192,0.3199,
strike_7d,expanding,2020-08,0.9308,0.8508,0.1038,0.4224,
strike_7d,expanding,2020-09,0.9062,0.8017,0.1039,0.4099,
strike_7d,expanding,2020-10,0.9172,0.8008,0.1025,0.3137,
strike_7d,expanding,2020-11,0.9078,0.8278,0.0942,0.4312,
strike_7d,expanding,2020-12,0.8706,0.7757,0.1324,0.2504,
strike_7d,expanding,2021-01,0.9379,0.8362,0.0868,0.4364,
strike_7d,expanding,2021-02,0.9214,0.8592,0.0821,0.4894,
strike_7d,expanding,2021-03,0.9047,0.8069,0.102,0.424,
strike_7d,expanding,2021-04,0.8792,0.7838,0.1054,0.4106,
strike_7d,expanding,2021-05,0.8904,0.8198,0.1003,0.4094,
strike_7d,expanding,2021-06,0.8944,0.8123,0.0974,0.4378,
strike_7d,expanding,2021-07,0.9283,0.8382,0.0849,0.4374,
strike_7d,expanding,2021-08,0.9354,0.8252,0.0907,0.4862,
strike_7d,expanding,2021-09,0.9355,0.8428,0.0907,0.4917,
strike_7d,expanding,2021-10,0.9263,0.8439,0.0958,0.4508,
strike_7d,expanding,2021-11,0.8835,0.8208,0.103,0.3739,
strike_7d,expanding,2021-12,0.9055,0.7938,0.1199,0.1366,
