iso3,date,event_binary,n_events,n_articles,max_confidence,has_movement,disruption_types,gdelt_n_raw,coverage_flag
AFG,2020-05-03,0,0,0,0.0,0,,1,low
AFG,2020-05-09,1,2,5,0.873,1,protests,3,medium
AFG,2020-05-10,0,0,0,0.0,0,,2,low
AFG,2020-05-11,1,1,2,0.699,0,protests,1,low
AFG,2020-05-12,0,0,0,0.0,0,,1,low
AFG,2020-05-20,1,2,2,0.95,0,protests,1,low
AFG,2020-06-03,0,0,0,0.0,0,,1,low
AFG,2020-06-18,1,2,2,0.964,0,protests,1,low
AFG,2020-06-23,1,2,2,0.663,0,protests,1,low
AFG,2020-06-27,0,0,0,0.0,0,,1,low
AFG,2020-07-07,0,0,0,0.0,0,,1,low
AFG,2020-07-12,1,2,2,0.813,0,protests,1,low
AFG,2020-07-18,0,0,0,0.0,0,,1,low
AFG,2020-07-28,0,0,0,0.0,0,,3,medium
AFG,2020-08-01,0,0,0,0.0,0,,1,low
AFG,2020-08-03,0,0,0,0.0,0,,1,low
AFG,2020-08-06,0,0,0,0.0,0,,1,low
AFG,2020-08-22,0,0,0,0.0,0,,1,low
AFG,2020-08-26,0,0,0,0.0,0,,18,high
AFG,2020-08-27,0,0,0,0.0,0,,15,high
AFG,2020-08-28,0,0,0,0.0,0,,4,medium
AFG,2020-08-29,0,0,0,0.0,0,,5,medium
AFG,2020-08-30,0,0,0,0.0,0,,5,medium
AFG,2020-09-01,0,0,0,0.0,0,,2,low
AFG,2020-09-03,0,0,0,0.0,0,,1,low
AFG,2020-09-10,0,0,0,0.0,0,,1,low
AFG,2020-09-23,0,0,0,0.0,0,,2,low
AFG,2020-09-24,0,0,0,0.0,0,,1,low
AFG,2020-09-25,0,0,0,0.0,0,,1,low
AFG,2020-09-26,0,0,0,0.0,0,,1,low
AFG,2020-10-28,1,2,2,0.906,0,protests,1,low
AFG,2020-11-12,0,0,0,0.0,0,,1,low
AFG,2020-11-16,1,1,1,0.874,0,protests,1,low
AFG,2020-11-19,0,0,0,0.0,0,,1,low
ALB,2020-05-18,1,2,4,0.895,1,protests,1,low
ALB,2020-05-21,0,0,0,0.0,0,,1,low
ALB,2020-06-05,0,0,0,0.0,0,,1,low
ARE,2020-05-20,0,0,0,0.0,0,,1,low
ARE,2020-05-27,0,0,0,0.0,0,,1,low
ARE,2020-09-16,0,0,0,0.0,0,,1,low
ARG,2020-05-06,0,0,0,0.0,0,,1,low
ARG,2020-05-11,0,0,0,0.0,0,,1,low
ARG,2020-05-31,0,0,0,0.0,0,,1,low
ARG,2020-06-03,0,0,0,0.0,0,,1,low
ARG,2020-07-10,1,2,4,0.954,1,protests,2,low
ARG,2020-08-02,0,0,0,0.0,0,,1,low
ARG,2020-08-04,1,2,2,0.621,1,protests,1,low
ARG,2020-08-28,0,0,0,0.0,0,,1,low
ARG,2020-09-20,1,2,2,0.739,1,protests,1,low
ARG,2020-09-28,1,2,2,0.879,0,labour_strike,1,low
ARG,2020-10-13,0,0,0,0.0,0,,3,medium
