model_name,feature,mean_abs_shap
model5_xgb,num__gdelt_strike_28d_lag,0.50958085
model5_xgb,num__government_effectiveness_est,0.19829237
model5_xgb,num__fao_cereals_index_yoy_lag1m,0.1323046
model5_xgb,num__voice_accountability_est,0.11344744
model5_xgb,num__gini_coef,0.08355714
model5_xgb,num__inflation_cpi_yoy,0.08328574
model5_xgb,num__gdelt_protest_7d_lag,0.08209126
model5_xgb,num__unemployment_youth,0.07890334
model5_xgb,num__energy_cpi_inflation,0.076196976
model5_xgb,num__political_stability_est,0.06959714
model5_xgb,num__gdp_growth,0.06886067
model5_xgb,num__gdelt_strike_7d_lag,0.056075007
model5_xgb,num__dxy_level,0.04782364
model5_xgb,num__fao_cereals_index_yoy_lag3m,0.042320788
model5_xgb,num__gta_90d_count,0.040455233
model5_xgb,num__fao_cereals_index_yoy,0.039915178
model5_xgb,num__fao_cereals_yoy_x_instability,0.037767183
model5_xgb,num__fao_food_yoy_x_youth_unemp,0.033560377
model5_xgb,num__fao_cereals_index_yoy_lag6m,0.032869056
model5_xgb,num__month_cos,0.029808337
model5_xgb,num__unemployment_rate_z,0.029147752
model5_xgb,num__fx_vol_30d,0.027539268
model5_xgb,fe__country_iso3_KOR,0.025355292
model5_xgb,num__food_cpi_inflation_z,0.022324214
model5_xgb,fe__country_iso3_LAO,0.020344272
model5_xgb,fe__country_iso3_MOZ,0.019819958
model5_xgb,num__food_cpi_inflation,0.019192558
model5_xgb,num__gta_90d_count_z,0.018009383
model5_xgb,fe__country_iso3_ZAF,0.017482093
model5_xgb,fe__country_iso3_PHL,0.016868742
model5_xgb,fe__country_iso3_POL,0.016111057
model5_xgb,num__energy_cpi_inflation_z,0.014861195
model5_xgb,num__fx_pct_90d,0.014768224
model5_xgb,fe__country_iso3_IRL,0.014332126
model5_xgb,num__fx_pct_30d,0.01395993
model5_xgb,fe__country_iso3_AUS,0.013291175
model5_xgb,num__fx_pct_30d_lag30d,0.012950769
model5_xgb,num__copper_vol_30d,0.012025527
model5_xgb,num__fx_vol_30d_z,0.01041117
model5_xgb,fe__country_iso3_CAN,0.008983175
model5_xgb,fe__country_iso3_NAM,0.008474815
model5_xgb,num__copper_pct_90d,0.007838973
model5_xgb,num__copper_pct_30d,0.007533946
model5_xgb,num__gta_30d_count_z,0.0073377388
model5_xgb,num__gta_30d_count,0.007208884
model5_xgb,fe__country_iso3_BOL,0.0066072075
model5_xgb,fe__country_iso3_CHL,0.0061477646
model5_xgb,num__gdelt_strike_region_14d,0.006097718
model5_xgb,num__gta_liberalising_events_z,0.0057317237
model5_xgb,fe__country_iso3_GBR,0.005723698
model5_xgb,num__gta_harmful_events_z,0.0056384476
model5_xgb,fe__country_iso3_ZWE,0.005610046
model5_xgb,num__oil_brent_pct_30d_lag30d,0.005592861
model5_xgb,fe__country_iso3_MAR,0.00547591
model5_xgb,num__gdelt_protest_region_14d,0.005319931
model5_xgb,fe__country_iso3_JPN,0.0052091107
model5_xgb,num__inflation_cpi_yoy_z,0.0050877924
model5_xgb,fe__country_iso3_IND,0.0049769124
model5_xgb,num__dxy_vol_30d,0.004908471
model5_xgb,fe__country_iso3_SWE,0.004689782
model5_xgb,num__month_sin,0.004649806
model5_xgb,num__oil_brent_pct_30d_x_inflation,0.004567627
model5_xgb,num__dxy_pct_30d,0.004345514
model5_xgb,fe__country_iso3_DEU,0.004034675
model5_xgb,num__gold_vol_30d,0.0038467755
model5_xgb,fe__country_iso3_USA,0.0037563287
model5_xgb,num__oil_brent_pct_30d_lag60d,0.0036030577
model5_xgb,num__copper_pct_30d_x_copper_prod,0.0033549934
model5_xgb,fe__country_iso3_CHN,0.003305123
model5_xgb,num__gold_pct_30d_x_gold_prod,0.0032016814
