roc_auc,pr_auc,brier,brier_skill_score,fold_id,event_type,horizon,model_name,n_train,n_test,pos_rate,roc_auc_raw,pr_auc_raw,brier_raw,brier_val_isotonic,brier_val_sigmoid,cal_method
0.8605949160157441,0.8484367873836456,0.15695277778714967,0.3446903303640062,1,strike,30,model0_persistence,42705,14274,0.3975760123301107,,,,,,
0.8562429090976156,0.8436206793553026,0.15803993874983596,0.3401512129215277,1,strike,30,model1_markets,42705,14274,0.3975760123301107,,,,,,
0.8333716911043338,0.8338615197322911,0.16873869861519677,0.2954817212965223,1,strike,30,model2_full,42705,14274,0.3975760123301107,,,,,,
0.8368379480658801,0.8364611650723317,0.163040788969606,0.31927164932526686,1,strike,30,model3_structural,42705,14274,0.3975760123301107,,,,,,
0.8401464979279938,0.8389219476278642,0.17349013619021897,0.27564350606081356,1,strike,30,model4_fao,42705,14274,0.3975760123301107,,,,,,
0.8435811970759841,0.8413401209648228,0.1695700234617853,0.2920107715098488,1,strike,30,model_lr_nolag,42705,14274,0.3975760123301107,,,,,,
0.7719056154977554,0.7441888880751186,0.1744038441903022,0.2718285899050109,1,strike,30,model5_xgb,28470,14274,0.3975760123301107,0.7805999980532518,0.7769712180575449,0.1973714057055432,0.16519653920693458,0.1756523601905572,isotonic
0.814204202619606,0.7829291329502203,0.1649410140163706,0.31133782448198777,1,strike,30,model6_xgb_nolag,28470,14274,0.3975760123301107,0.8162744669111714,0.801270828138999,0.16694749525121003,0.1514278555617297,0.16141785675372197,isotonic
0.7894143412844337,0.7502359949028772,0.1680854443184945,0.2982091904333909,1,strike,30,model7_xgb_nobaseline,28470,14274,0.3975760123301107,0.7825541029512192,0.7655065847933622,0.21644153030610647,0.1657094718426509,0.17465850870376093,isotonic
0.8085289601854124,0.7478098108261053,0.17232099823446634,0.28052489407028325,1,strike,30,model5_income_group,42705,14274,0.3975760123301107,,,,,,
0.7787486712162514,0.7415144118362599,0.18979813634138257,0.2075542989620034,1,strike,30,model6_income_group_nolag,42705,14274,0.3975760123301107,,,,,,
0.8858124491375463,0.8645923647510461,0.13569231483606803,0.4320497599601487,2,strike,30,model0_persistence,56979,13065,0.3947187141216992,,,,,,
0.8809273731487832,0.8599928428458243,0.12987279250486478,0.4564078019680342,2,strike,30,model1_markets,56979,13065,0.3947187141216992,,,,,,
0.8769491531907216,0.860491957990411,0.12966679286308364,0.4572700287355491,2,strike,30,model2_full,56979,13065,0.3947187141216992,,,,,,
0.8833523909681132,0.863734432582619,0.12923833021613226,0.4590633908981604,2,strike,30,model3_structural,56979,13065,0.3947187141216992,,,,,,
0.8613286604365955,0.8445932299306101,0.15053558671197453,0.36992214547378244,2,strike,30,model4_fao,56979,13065,0.3947187141216992,,,,,,
0.8617208475321539,0.8445493548279468,0.14657800014548958,0.38648691734851326,2,strike,30,model_lr_nolag,56979,13065,0.3947187141216992,,,,,,
0.8541329810956698,0.8269704780472789,0.14066955111686028,0.4112171686389222,2,strike,30,model5_xgb,42705,13065,0.3947187141216992,0.855825192153041,0.8400021921462792,0.14334746051561092,0.14036084850291372,0.14501482396211235,isotonic
0.8489682075887444,0.8117115688950367,0.14332185715971035,0.40011574513151327,2,strike,30,model6_xgb_nolag,42705,13065,0.3947187141216992,0.8518798914882011,0.8340290808125486,0.15029991647507782,0.1441058143935947,0.14995889165349235,isotonic
0.8493525112185518,0.8255245089257188,0.14073875016532028,0.410927530893182,2,strike,30,model7_xgb_nobaseline,42705,13065,0.3947187141216992,0.8524831911759325,0.843944129971288,0.14363603320238894,0.14154012580816247,0.14902867340371673,isotonic
0.849664159454828,0.8223117970138016,0.1398648327931952,0.4145853768211041,2,strike,30,model5_income_group,56979,13065,0.3947187141216992,,,,,,
0.8348121513558726,0.7986792308139197,0.15291905398554248,0.3599459665591147,2,strike,30,model6_income_group_nolag,56979,13065,0.3947187141216992,,,,,,
