feature,importance
num__gdelt_strike_7d_lag,0.14856297
num__gdelt_strike_28d_lag,0.14177586
fe__country_iso3_ZAF,0.06354428
num__gini_coef,0.053910956
fe__country_iso3_ZWE,0.051495858
num__voice_accountability_est,0.04456727
fe__country_iso3_PHL,0.041969486
num__unemployment_rate,0.040478453
num__political_stability_est,0.038908105
num__gdelt_protest_7d_lag,0.038687672
num__unemployment_youth,0.038535308
fe__country_iso3_MAR,0.03740284
fe__country_iso3_CHN,0.03702774
fe__country_iso3_MOZ,0.035727154
fe__country_iso3_IND,0.035297267
