id,indicator,indicator.label,freq,freq.label,rep_var,rep_var.label,classification,data.start,data.end,last.update,n.records,n.ref_area,with.region,collection,collection.label,subject,subject.label,database,database.label
EIP_NEET_SEX_MTS_NB_A,EIP_NEET_SEX_MTS_NB,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",A,Annual,EIP_NEET_NB,"Youth not in employment, education or training (previous ILO definition)","SEX,MTS",1970,2025,25/02/2026 07:04:40,39914,169,,YI,Annual indicators,LUU,Other measures of labour underutilization,GEND,Gender Equality and Non-Discrimination Indicators (GEND)
EIP_NEET_SEX_DSB_NB_A,EIP_NEET_SEX_DSB_NB,"Youth not in employment, education or training (NEET) by sex and disability status (thousands)",A,Annual,EIP_NEET_NB,"Youth not in employment, education or training (previous ILO definition)","SEX,DSB",1996,2025,14/02/2026 08:07:20,8719,123,,YI,Annual indicators,LUU,Other measures of labour underutilization,DLMI,Disability Labour Market Indicators (DLMI)
EIP_NEET_SEX_CBR_NB_A,EIP_NEET_SEX_CBR_NB,"Youth not in employment, education or training (NEET) by sex and place of birth (thousands)",A,Annual,EIP_NEET_NB,"Youth not in employment, education or training (previous ILO definition)","SEX,CBR",1987,2025,23/02/2026 07:02:03,12630,131,,ILMS,International labour migration statistics (ILMS),MST,International migrant stock,ILMS,International Labour Migration Statistics (ILMS)
EIP_NEET_SEX_CCT_NB_A,EIP_NEET_SEX_CCT_NB,"Youth not in employment, education or training (NEET) by sex and citizenship (thousands)",A,Annual,EIP_NEET_NB,"Youth not in employment, education or training (previous ILO definition)","SEX,CCT",1991,2025,23/02/2026 07:02:03,10968,118,,ILMS,International labour migration statistics (ILMS),MST,International migrant stock,ILMS,International Labour Migration Statistics (ILMS)
EIP_NEET_SEX_RT_A,EIP_NEET_SEX_RT,"Share of youth not in employment, education or training (NEET) by sex (%)",A,Annual,EIP_NEET_RT,"Share of youth not in employment, education or training (previous ILO definition)",SEX,1970,2025,25/02/2026 07:04:40,7486,189,,YI,Annual indicators,LUU,Other measures of labour underutilization,LFS,Labour Force Statistics (LFS)
EIP_NEET_SEX_RT_Q,EIP_NEET_SEX_RT,"Share of youth not in employment, education or training (NEET) by sex (%)",Q,Quarterly,EIP_NEET_RT,"Share of youth not in employment, education or training (previous ILO definition)",SEX,1976,2025,24/02/2026 07:03:29,18774,102,,STI,Short-term labour force indicators (STLFS),LUU,Other measures of labour underutilization,LFS,Labour Force Statistics (LFS)
EIP_NEET_SEX_AGE_RT_A,EIP_NEET_SEX_AGE_RT,"Share of youth not in employment, education or training (NEET) by sex and age (%)",A,Annual,EIP_NEET_RT,"Share of youth not in employment, education or training (previous ILO definition)","SEX,AGE",1970,2025,25/02/2026 07:04:40,21018,173,,YI,Annual indicators,LUU,Other measures of labour underutilization,LFS,Labour Force Statistics (LFS)
EIP_NEET_SEX_GEO_RT_A,EIP_NEET_SEX_GEO_RT,"Share of youth not in employment, education or training (NEET) by sex and rural / urban areas (%)",A,Annual,EIP_NEET_RT,"Share of youth not in employment, education or training (previous ILO definition)","SEX,GEO",1970,2025,16/02/2026 19:32:32,15933,142,,YI,Annual indicators,LUU,Other measures of labour underutilization,RURBAN,Rural and Urban Labour Markets (RURBAN)
EIP_NEET_SEX_EDU_RT_A,EIP_NEET_SEX_EDU_RT,"Share of youth not in employment, education or training (NEET) by sex and education (%)",A,Annual,EIP_NEET_RT,"Share of youth not in employment, education or training (previous ILO definition)","SEX,EDU",1970,2025,25/02/2026 07:04:40,34248,175,,YI,Annual indicators,LUU,Other measures of labour underutilization,EMI,Education and Mismatch Indicators (EMI)
EIP_NEET_SEX_MTS_RT_A,EIP_NEET_SEX_MTS_RT,"Share of youth not in employment, education or training (NEET) by sex and marital status (%)",A,Annual,EIP_NEET_RT,"Share of youth not in employment, education or training (previous ILO definition)","SEX,MTS",1970,2025,25/02/2026 07:04:40,38721,170,,YI,Annual indicators,LUU,Other measures of labour underutilization,GEND,Gender Equality and Non-Discrimination Indicators (GEND)
EIP_NEET_SEX_DSB_RT_A,EIP_NEET_SEX_DSB_RT,"Share of youth not in employment, education or training (NEET) by sex and disability status (%)",A,Annual,EIP_NEET_RT,"Share of youth not in employment, education or training (previous ILO definition)","SEX,DSB",1996,2025,14/02/2026 08:07:20,8672,123,,YI,Annual indicators,LUU,Other measures of labour underutilization,DLMI,Disability Labour Market Indicators (DLMI)
EIP_NEET_SEX_CBR_RT_A,EIP_NEET_SEX_CBR_RT,"Share of youth not in employment, education or training (NEET) by sex and place of birth (%)",A,Annual,EIP_NEET_RT,"Share of youth not in employment, education or training (previous ILO definition)","SEX,CBR",1987,2025,23/02/2026 07:02:03,12422,131,,ILMS,International labour migration statistics (ILMS),MST,International migrant stock,ILMS,International Labour Migration Statistics (ILMS)
EIP_NEET_SEX_CCT_RT_A,EIP_NEET_SEX_CCT_RT,"Share of youth not in employment, education or training (NEET) by sex and citizenship (%)",A,Annual,EIP_NEET_RT,"Share of youth not in employment, education or training (previous ILO definition)","SEX,CCT",1991,2025,23/02/2026 07:02:03,10804,119,,ILMS,International labour migration statistics (ILMS),MST,International migrant stock,ILMS,International Labour Migration Statistics (ILMS)
EAP_3WAP_SEX_AGE_EDU_RT_A,EAP_3WAP_SEX_AGE_EDU_RT,"Youth labour force participation rate by sex, age and education (%)",A,Annual,EAP_3WAP_RT,Youth labour force participation rate (previous ILO definition),"SEX,AGE,EDU",1970,2025,25/02/2026 07:06:06,141688,177,,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS),EAP,Labour force,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS)
EAP_3WAP_SEX_AGE_GEO_RT_A,EAP_3WAP_SEX_AGE_GEO_RT,"Youth labour force participation rate by sex, age and rural / urban areas (%)",A,Annual,EAP_3WAP_RT,Youth labour force participation rate (previous ILO definition),"SEX,AGE,GEO",1970,2025,16/02/2026 19:44:09,69022,147,,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS),EAP,Labour force,YOUTHSTATS,Youth Labour Market Indicators (YouthSTATS)
