feature,importance
num__country_strike_baseline,0.15727462
num__country_protest_baseline,0.1137702
num__gdelt_strike_28d_lag,0.09138916
fe__country_iso3_IND,0.042464208
num__gdelt_protest_28d_lag,0.03630834
num__gdelt_strike_7d_lag,0.028887466
fe__country_iso3_JPN,0.02560043
fe__country_iso3_PHL,0.024568602
num__unemployment_total,0.019518817
fe__country_iso3_ZAF,0.018163463
fe__country_iso3_KEN,0.017651578
num__unemployment_rate,0.016862713
num__gini_coef,0.016773647
fe__country_iso3_POL,0.015338942
fe__country_iso3_DEU,0.015127053
