roc_auc,pr_auc,brier,fold_id,event_type,horizon,model_name,n_train,n_test,pos_rate
0.8605949160157441,0.8484367873836456,0.15695277778714967,1,strike,30,model0_persistence,42705,14274,0.3975760123301107
0.8543501370152148,0.841594721022763,0.16199477490135405,1,strike,30,model1_markets,42705,14274,0.3975760123301107
0.8318806049059081,0.8316759960906062,0.16894573928372017,1,strike,30,model2_full,42705,14274,0.3975760123301107
0.8522547186871949,0.8393418945876705,0.1643935475655362,1,strike,30,model3_structural,42705,14274,0.3975760123301107
0.8218207731356939,0.81169844227037,0.17399393744600528,1,strike,30,model4_fao,42705,14274,0.3975760123301107
0.8564444385245084,0.8461671536178617,0.15285968730982466,1,strike,30,model5_xgb,42705,14274,0.3975760123301107
0.8507560914008544,0.843258681271318,0.1610546911264026,1,strike,30,model6_xgb_nolag,42705,14274,0.3975760123301107
0.8262817262328935,0.7929584122034847,0.23520094257129764,1,strike,30,model7_xgb_nobaseline,42705,14274,0.3975760123301107
0.8623371327369793,0.8314257737014032,0.15524280340332253,1,strike,30,model5_income_group,42705,14274,0.3975760123301107
0.844833693908676,0.7585846373320629,0.1978995119116593,1,strike,30,model6_income_group_nolag,42705,14274,0.3975760123301107
0.8858124491375463,0.8645923647510461,0.13569231483606803,2,strike,30,model0_persistence,56979,13065,0.3947187141216992
0.882552617658826,0.8626617489894124,0.12935171835710013,2,strike,30,model1_markets,56979,13065,0.3947187141216992
0.8793718170047264,0.8656234789395665,0.13080942192942493,2,strike,30,model2_full,56979,13065,0.3947187141216992
0.8836860221812036,0.8653602919351635,0.1282674394423633,2,strike,30,model3_structural,56979,13065,0.3947187141216992
0.787397371498037,0.7596273468696106,0.3250847245297954,2,strike,30,model4_fao,56979,13065,0.3947187141216992
0.8896654286560327,0.8671999963650796,0.13440878156877512,2,strike,30,model5_xgb,56979,13065,0.3947187141216992
0.8791632423245449,0.8608211382558899,0.13485357167101397,2,strike,30,model6_xgb_nolag,56979,13065,0.3947187141216992
0.8523640686981144,0.8381531393283104,0.1737538982442544,2,strike,30,model7_xgb_nobaseline,56979,13065,0.3947187141216992
0.7898322589751112,0.7586166541092955,0.20562318149978698,2,strike,30,model5_income_group,56979,13065,0.3947187141216992
0.8268874782511977,0.8065398872017266,0.16341619594466794,2,strike,30,model6_income_group_nolag,56979,13065,0.3947187141216992
