roc_auc,pr_auc,brier,country_iso3,n_obs,pos_rate
0.6416700083542188,0.07867949311937468,0.09809413290935684,HUN,7010,0.05135520684736091
0.5710205074374664,0.23210189583028065,0.1970875697943461,BRA,7010,0.19828815977175462
0.5704304496817959,0.272737719334775,0.19077458621818544,IDN,7010,0.2253922967189729
0.5645105083088955,0.5638588025623168,0.3291415629571748,ZWE,7010,0.4864479315263909
0.5617143566815698,0.05191304902779418,0.08433508283302946,POL,7010,0.042796005706134094
0.5502695141377938,0.13536913141829784,0.19957878359399786,NLD,7010,0.11554921540656206
0.5428101678344468,0.5229082263950989,0.26946393938398344,MYS,7010,0.48502139800285304
0.5405843867916325,0.39986091207530333,0.26994429815476184,CHN,7010,0.37375178316690444
0.5291436532815843,0.0937263903154113,0.11468691786707332,MAR,7010,0.0898716119828816
0.508218069007264,0.5912417040543615,0.29629833682098644,FRA,7010,0.5891583452211127
0.5031495737006066,0.46059765934273594,0.2724559705563332,CHL,7010,0.4579172610556348
0.49825142922666144,0.46639862913029306,0.27810475887130903,KEN,7010,0.4607703281027104
0.49208165375582746,0.15116499675906495,0.16436363154621228,VNM,7010,0.1340941512125535
0.4920172331787528,0.39347199627203777,0.268324712072653,MEX,7010,0.3980028530670471
0.4907308054538838,0.25707757205353793,0.22746115215425894,ARG,7010,0.2553495007132668
0.48282068326484573,0.27064466171026835,0.23846160665457605,THA,7010,0.2810271041369472
0.4810383211678832,0.9752764365875116,0.052145782293557305,AUS,7010,0.9771754636233951
0.48070980224672566,0.21334665939042446,0.27037115446111626,PRT,7010,0.19543509272467904
0.4772743328100471,0.6340553557841563,0.26637890201229575,PHL,7010,0.6291012838801712
0.4628595944522472,0.35232451692364825,0.26029859598455773,TUR,7010,0.3651925820256776
0.4615482815057283,0.13138516661039135,0.14121064893879456,BOL,7010,0.12838801711840228
0.4601926788685524,0.12739106582463397,0.19049801829810972,NOR,7010,0.14265335235378032
0.45941664274093214,0.31324179276840824,0.2555449158803586,ITA,7010,0.3067047075606277
0.4560651790480169,0.2042775720596986,0.23333752313487413,GRC,7010,0.2268188302425107
0.4525776546549167,0.8838136276580741,0.12183244943801219,IRL,7010,0.8958630527817404
0.44459010541962485,0.6862847335066984,0.2647020895661724,DEU,7010,0.7047075606276747
0.4291074795725959,0.247582443165136,0.2881480731582264,ESP,7010,0.26390870185449355
0.41957479508196727,0.07402835032534649,0.1602572493068514,PER,7010,0.08701854493580599
0.40193857029072083,0.8547850715349766,0.14321986740444717,KOR,7010,0.884450784593438
