target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.8,0.7313,0.2333,0.0055,0.3758582037270562
protest_7d,static,2,0.8487,0.8075,0.1753,0.2442,0.3654204268729408
strike_7d,static,1,0.858,0.7463,0.1697,0.0264,0.2248143477651674
strike_7d,static,2,0.8897,0.7935,0.0863,0.4842,0.2125769946998997
protest_7d,expanding,2020-01,0.817,0.7069,0.1771,0.2801,
protest_7d,expanding,2020-02,0.8365,0.8616,0.157,0.3689,
protest_7d,expanding,2020-03,0.7676,0.6897,0.3441,-0.7146,
protest_7d,expanding,2020-04,0.8616,0.8072,0.1402,0.3528,
protest_7d,expanding,2020-05,0.8886,0.8594,0.1294,0.454,
protest_7d,expanding,2020-06,0.8814,0.8888,0.1365,0.4524,
protest_7d,expanding,2020-07,0.8638,0.8457,0.1432,0.4059,
protest_7d,expanding,2020-08,0.8512,0.8258,0.1493,0.3505,
protest_7d,expanding,2020-09,0.8899,0.8624,0.1175,0.4871,
protest_7d,expanding,2020-10,0.868,0.8073,0.1396,0.4004,
protest_7d,expanding,2020-11,0.8507,0.8118,0.1432,0.3886,
protest_7d,expanding,2020-12,0.8941,0.8107,0.1385,0.3375,
protest_7d,expanding,2021-01,0.8514,0.7973,0.1471,0.3454,
protest_7d,expanding,2021-02,0.8146,0.8008,0.1696,0.2971,
protest_7d,expanding,2021-03,0.8821,0.8616,0.1411,0.4185,
protest_7d,expanding,2021-04,0.9152,0.8863,0.1193,0.5013,
protest_7d,expanding,2021-05,0.887,0.8501,0.1273,0.4478,
protest_7d,expanding,2021-06,0.8579,0.8538,0.1384,0.4202,
protest_7d,expanding,2021-07,0.8738,0.8287,0.1359,0.3894,
protest_7d,expanding,2021-08,0.8702,0.8134,0.1399,0.3851,
protest_7d,expanding,2021-09,0.899,0.8629,0.1202,0.4807,
protest_7d,expanding,2021-10,0.8497,0.8,0.1525,0.3287,
protest_7d,expanding,2021-11,0.9046,0.8724,0.1209,0.4843,
protest_7d,expanding,2021-12,0.8735,0.7791,0.1469,0.2858,
strike_7d,expanding,2020-01,0.8439,0.6518,0.1398,0.2573,
strike_7d,expanding,2020-02,0.8345,0.7813,0.1322,0.2652,
strike_7d,expanding,2020-03,0.8665,0.701,0.1417,0.1873,
strike_7d,expanding,2020-04,0.9014,0.8206,0.294,-0.8617,
strike_7d,expanding,2020-05,0.9416,0.8824,0.0674,0.606,
strike_7d,expanding,2020-06,0.8702,0.8219,0.098,0.4906,
strike_7d,expanding,2020-07,0.9089,0.8354,0.1155,0.3413,
strike_7d,expanding,2020-08,0.9195,0.8394,0.0941,0.4764,
strike_7d,expanding,2020-09,0.9057,0.8092,0.1031,0.4147,
strike_7d,expanding,2020-10,0.914,0.8132,0.1289,0.1369,
strike_7d,expanding,2020-11,0.8996,0.7882,0.0828,0.5,
strike_7d,expanding,2020-12,0.8679,0.7795,0.1138,0.3558,
strike_7d,expanding,2021-01,0.9288,0.8279,0.0725,0.5291,
strike_7d,expanding,2021-02,0.9264,0.8626,0.0701,0.5645,
strike_7d,expanding,2021-03,0.8928,0.7997,0.097,0.4521,
strike_7d,expanding,2021-04,0.8655,0.7715,0.1019,0.4302,
strike_7d,expanding,2021-05,0.891,0.821,0.0979,0.4231,
strike_7d,expanding,2021-06,0.8959,0.8073,0.0974,0.4379,
strike_7d,expanding,2021-07,0.9179,0.8273,0.0939,0.3779,
strike_7d,expanding,2021-08,0.9268,0.8035,0.1037,0.4128,
strike_7d,expanding,2021-09,0.9327,0.8406,0.0862,0.5171,
strike_7d,expanding,2021-10,0.9262,0.8414,0.0936,0.463,
strike_7d,expanding,2021-11,0.8986,0.8349,0.146,0.1129,
strike_7d,expanding,2021-12,0.8907,0.7843,0.1581,-0.138,
