roc_auc,pr_auc,brier,fold_id,horizon,model_name,n_train,n_test,pos_rate,target,model_label
0.9664936304933162,0.992830290280276,0.0598462690498338,1,7,model0_persistence,42705,14274,0.8304609780019616,Any protest (next N days),Persistence
0.9647971637010626,0.9927149019544728,0.0631682670699027,1,7,model1_markets,42705,14274,0.8304609780019616,Any protest (next N days),+ Markets
0.9073791913180612,0.9816429546839436,0.1110562744650231,1,7,model2_full,42705,14274,0.8304609780019616,Any protest (next N days),Full LR
0.9116260229486298,0.9822836116428006,0.1081622507903762,1,7,model4_fao,42705,14274,0.8304609780019616,Any protest (next N days),+ FAO
0.968300549244458,0.9932189061422092,0.053791519370957,1,7,model5_xgboost_tuned,42705,14274,0.8304609780019616,Any protest (next N days),XGBoost (global)
0.67959444940997,0.9244784945386582,0.339770505844099,1,7,model6_xgb_nolag,42705,14274,0.8304609780019616,Any protest (next N days),XGBoost no lags (global)
0.9247440624010864,0.9791659823532116,0.1618628396724013,1,7,model5_income_group,42705,14274,0.8304609780019616,Any protest (next N days),XGBoost (income group)
0.6777725759829998,0.9241425957799804,0.3452989999899752,1,7,model6_income_group_nolag,42705,14274,0.8304609780019616,Any protest (next N days),XGBoost no lags (income group)
0.9708925856715126,0.9963040275342864,0.053641767359961,2,7,model0_persistence,56979,14235,0.8916051984545135,Any protest (next N days),Persistence
0.9685382109540172,0.9960486852962424,0.0544281354222498,2,7,model1_markets,56979,14235,0.8916051984545135,Any protest (next N days),+ Markets
0.9324699000539016,0.9917719705821708,0.0779797959331993,2,7,model2_full,56979,14235,0.8916051984545135,Any protest (next N days),Full LR
0.927128942987239,0.991040195487987,0.0793031911543307,2,7,model4_fao,56979,14235,0.8916051984545135,Any protest (next N days),+ FAO
0.96895467856115,0.9961950115467492,0.0460595672996614,2,7,model5_xgboost_tuned,56979,14235,0.8916051984545135,Any protest (next N days),XGBoost (global)
0.7605871417107117,0.9625860436637058,0.1839610672864172,2,7,model6_xgb_nolag,56979,14235,0.8916051984545135,Any protest (next N days),XGBoost no lags (global)
0.9665485262377655,0.9952024928108696,0.047838807602275,2,7,model5_income_group,56979,14235,0.8916051984545135,Any protest (next N days),XGBoost (income group)
0.8784823248410569,0.980332890544233,0.1256919419724126,2,7,model6_income_group_nolag,56979,14235,0.8916051984545135,Any protest (next N days),XGBoost no lags (income group)
0.9655976382705016,0.9965178639722708,0.0555756723244031,3,7,model0_persistence,71214,14235,0.9114155251141552,Any protest (next N days),Persistence
0.9639759602166574,0.9964032964587316,0.0548312679597121,3,7,model1_markets,71214,14235,0.9114155251141552,Any protest (next N days),+ Markets
0.9581851741059132,0.9957862180038496,0.0455201616219447,3,7,model2_full,71214,14235,0.9114155251141552,Any protest (next N days),Full LR
0.9455065807818896,0.9945536674456084,0.0511973918572408,3,7,model4_fao,71214,14235,0.9114155251141552,Any protest (next N days),+ FAO
0.9699826970478505,0.996977092664787,0.0385959511344809,3,7,model5_xgboost_tuned,71214,14235,0.9114155251141552,Any protest (next N days),XGBoost (global)
0.9050241335473974,0.9864365007660936,0.2178166865939177,3,7,model6_xgb_nolag,71214,14235,0.9114155251141552,Any protest (next N days),XGBoost no lags (global)
0.9426269729723584,0.992564684187738,0.0990794155935464,3,7,model5_income_group,71214,14235,0.9114155251141552,Any protest (next N days),XGBoost (income group)
0.8258873936490073,0.9768478368409176,0.1663889773144974,3,7,model6_income_group_nolag,71214,14235,0.9114155251141552,Any protest (next N days),XGBoost no lags (income group)
0.9710003359656726,0.9971002573731104,0.0560543148165362,4,7,model0_persistence,85449,14235,0.91092377941693,Any protest (next N days),Persistence
0.969208356860256,0.9969463030366872,0.0549183850048345,4,7,model1_markets,85449,14235,0.91092377941693,Any protest (next N days),+ Markets
0.9566673312186066,0.9957234347702744,0.0465934537983307,4,7,model2_full,85449,14235,0.91092377941693,Any protest (next N days),Full LR
0.9274676629999132,0.9928053560553276,0.0623552567314779,4,7,model4_fao,85449,14235,0.91092377941693,Any protest (next N days),+ FAO
0.9781902689647268,0.9977608167376808,0.0444456766705911,4,7,model5_xgboost_tuned,85449,14235,0.91092377941693,Any protest (next N days),XGBoost (global)
0.9707501254701634,0.9970127105438154,0.0413806844508184,4,7,model6_xgb_nolag,85449,14235,0.91092377941693,Any protest (next N days),XGBoost no lags (global)
0.9745981913807412,0.9972841193034588,0.0918715068275292,4,7,model5_income_group,85449,14235,0.91092377941693,Any protest (next N days),XGBoost (income group)
