feature,mean_importance,target,horizon
gdp_growth,0.013202528215,Any protest (next N days),30
gdp_growth_z,0.0130417633365625,Any protest (next N days),30
labour_conflict_index_z,0.012320463569,Any protest (next N days),30
fx_vol_30d,0.011450507355,Any protest (next N days),30
government_effectiveness_est_z,0.011310357530352188,Any protest (next N days),30
inflation_cpi_yoy,0.01119402451425,Any protest (next N days),30
month_cos,0.0102051764136125,Any protest (next N days),30
unemployment_total_z,0.0097539200275,Any protest (next N days),30
energy_cpi_inflation,0.009657311742749999,Any protest (next N days),30
economic_stress_index,0.009478477955,Any protest (next N days),30
protest_mobilisation_index,0.00932887577275,Any protest (next N days),30
unemployment_sa,0.009265171469249999,Any protest (next N days),30
gdp_per_capita_growth,0.009089035542824999,Any protest (next N days),30
protest_mobilisation_index_z,0.0088982048535,Any protest (next N days),30
political_stability_est_z,0.0087579704134375,Any protest (next N days),30
unemployment_youth_z,0.00858447003515625,Any protest (next N days),30
gta_harmful_events_z,0.008535246641499999,Any protest (next N days),30
unemployment_sa_z,0.00844454036825,Any protest (next N days),30
gta_90d_count,0.00783477961525,Any protest (next N days),30
fao_food_yoy_x_youth_unemp,0.007371468815625,Any protest (next N days),30
fao_cereals_index_yoy,0.007086644185250001,Any protest (next N days),30
fao_food_index_yoy_lag1m,0.007065106275000001,Any protest (next N days),30
fao_cereals_index_yoy_lag1m,0.00686328031075,Any protest (next N days),30
food_cpi_inflation,0.006705990145,Any protest (next N days),30
inflation_cpi_yoy_z,0.006665983990625,Any protest (next N days),30
voice_accountability_est_z,0.0060095328125,Any protest (next N days),30
energy_cpi_inflation_z,0.00592879348825,Any protest (next N days),30
fao_food_index_yoy_above90,0.005918129928,Any protest (next N days),30
fao_cereals_index_yoy_lag3m,0.0053752213175,Any protest (next N days),30
yield_us10y,0.0051445256503,Any protest (next N days),30
month_sin,0.0050629798486,Any protest (next N days),30
gta_90d_count_z,0.004463186968,Any protest (next N days),30
food_cpi_inflation_z,0.00442513314425,Any protest (next N days),30
economic_stress_index_z,0.0043740877565,Any protest (next N days),30
fx_vol_30d_z,0.004039827336,Any protest (next N days),30
gta_liberalising_events_z,0.00396778073125,Any protest (next N days),30
gdp_per_capita_growth_z,0.00393540152165625,Any protest (next N days),30
fx_vol_7d,0.0036182357625000002,Any protest (next N days),30
earnings_monthly,0.0035881927147368422,Any protest (next N days),30
rule_of_law_est_z,0.003573281415625,Any protest (next N days),30
violence_7d_lag,0.0035458376275000003,Any protest (next N days),30
gta_30d_count,0.003029771715875,Any protest (next N days),30
labour_conflict_index,0.002936675132,Any protest (next N days),30
unemployment_rate_z,0.002450221089,Any protest (next N days),30
riot_7d_lag,0.00243802662,Any protest (next N days),30
gta_30d_count_z,0.00243094909675,Any protest (next N days),30
fx_pct_30d_z,0.0022064766270000003,Any protest (next N days),30
fx_pct_7d,0.002003225071675,Any protest (next N days),30
oil_brent_pct_30d_z,0.00196090615425,Any protest (next N days),30
fx_pct_30d_x_instability,0.00180298233325,Any protest (next N days),30
fx_pct_30d,0.00175504859075,Any protest (next N days),30
fx_pct_90d,0.00168287477925,Any protest (next N days),30
oil_brent_pct_30d_x_inflation,0.0015900720104999998,Any protest (next N days),30
oil_brent_pct_14d,0.001503778117,Any protest (next N days),30
oil_brent_pct_30d,0.0012115556284999999,Any protest (next N days),30
earnings_monthly_z,0.0008853077363888888,Any protest (next N days),30
gta_liberalising_events,0.00031492312775,Any protest (next N days),30
gta_harmful_events,0.00010756990025000001,Any protest (next N days),30
fao_cereals_index_yoy_above90,3.478761125e-05,Any protest (next N days),30
protest_fat_7d_lag,0.0,Any protest (next N days),30
protest_fat_28d_lag,0.0,Any protest (next N days),30
acled_7d_lag,0.17259211345,Elevated spike,7
acled_28d_lag,0.15217895265,Elevated spike,7
voice_accountability_est,0.049288833225,Elevated spike,7
political_stability_est,0.037456957745000005,Elevated spike,7
fao_cereals_index_yoy_lag6m,0.032401813767499996,Elevated spike,7
riot_28d_lag,0.02954963879,Elevated spike,7
government_effectiveness_est,0.022322274725,Elevated spike,7
labour_conflict_index_z,0.021996401792500002,Elevated spike,7
unemployment_total,0.0190456787275,Elevated spike,7
rule_of_law_est,0.01892140887,Elevated spike,7
month_cos,0.0186441201325,Elevated spike,7
unemployment_rate,0.017423410395,Elevated spike,7
gdp_growth,0.0170804011475,Elevated spike,7
fao_food_index_yoy_lag3m,0.0166164331425,Elevated spike,7
fao_food_index_yoy,0.0163505098375,Elevated spike,7
unemployment_youth,0.0160258171,Elevated spike,7
fao_cereals_index_yoy_lag1m,0.015991202625,Elevated spike,7
fao_cereals_index_yoy_lag3m,0.0156479079425,Elevated spike,7
fao_oils_index_yoy,0.014771942187500001,Elevated spike,7
fao_food_index_yoy_lag1m,0.014138149345,Elevated spike,7
gta_harmful_events_z,0.01411100870525,Elevated spike,7
month_sin,0.0140609461775,Elevated spike,7
fao_food_yoy_x_youth_unemp,0.0140175115125,Elevated spike,7
unemployment_total_z,0.0139432965,Elevated spike,7
gta_liberalising_events_z,0.0138761370075,Elevated spike,7
unemployment_sa,0.0133906400175,Elevated spike,7
protest_mobilisation_index_z,0.012091813197499999,Elevated spike,7
gta_90d_count,0.0120613663575,Elevated spike,7
gdp_per_capita_growth,0.012045049105,Elevated spike,7
fao_cereals_yoy_x_instability,0.011962972697500001,Elevated spike,7
yield_us10y,0.0119584461125,Elevated spike,7
food_cpi_inflation,0.0119375454425,Elevated spike,7
energy_cpi_inflation_z,0.0118591960975,Elevated spike,7
economic_stress_index,0.011758556372500001,Elevated spike,7
violence_28d_lag,0.011528761525,Elevated spike,7
government_effectiveness_est_z,0.01150648699375,Elevated spike,7
protest_mobilisation_index,0.011301137192500001,Elevated spike,7
unemployment_sa_z,0.0111798562875,Elevated spike,7
unemployment_rate_z,0.011179854305,Elevated spike,7
food_cpi_inflation_z,0.0108382759575,Elevated spike,7
energy_cpi_inflation,0.0107035602425,Elevated spike,7
unemployment_youth_z,0.010674865906249999,Elevated spike,7
gdp_growth_z,0.01063355843125,Elevated spike,7
fx_vol_30d,0.010509564606000001,Elevated spike,7
economic_stress_index_z,0.010081434255,Elevated spike,7
political_stability_est_z,0.010063630434375,Elevated spike,7
gta_90d_count_z,0.009969050427499999,Elevated spike,7
fao_cereals_index_yoy,0.0098913456325,Elevated spike,7
inflation_cpi_yoy,0.00985987897575,Elevated spike,7
oil_brent_pct_30d_x_inflation,0.009703069125,Elevated spike,7
oil_brent_pct_30d,0.00857176037075,Elevated spike,7
gta_30d_count,0.007997403596499999,Elevated spike,7
voice_accountability_est_z,0.0077123953,Elevated spike,7
fx_pct_90d,0.0075605698394749996,Elevated spike,7
oil_brent_pct_30d_z,0.007486408205,Elevated spike,7
rule_of_law_est_z,0.006818694503125,Elevated spike,7
