country,roc_auc,pos_rate,n
VNM,0.4315,0.1056,1827
LAO,0.5256,0.0192,1827
MOZ,0.546,0.4882,1827
GRC,0.5525,0.9797,1827
POL,0.5605,0.9989,1827
MYS,0.5882,0.7345,1827
ZWE,0.6011,0.486,1827
CHN,0.6073,0.9989,1827
NAM,0.6194,0.7176,1827
HUN,0.6577,0.8604,1827
PHL,0.7125,0.9387,1827
THA,0.7239,0.9721,1827
NOR,0.7589,0.9387,1827
IRL,0.7722,0.942,1827
NLD,0.7926,0.9989,1827
ZAF,0.8013,0.9945,1827
KEN,0.835,0.9765,1827
PRT,0.8813,0.9677,1827
CAN,0.9994,0.8035,1827
AUS,0.9997,0.8013,1827
