country,roc_auc,pos_rate,n,target
THA,0.3426,0.9721,1827,Any protest (next N days)
KEN,0.3578,0.9765,1827,Any protest (next N days)
NAM,0.3971,0.7176,1827,Any protest (next N days)
GRC,0.4375,0.9797,1827,Any protest (next N days)
ZAF,0.448,0.9945,1827,Any protest (next N days)
PHL,0.4752,0.9387,1827,Any protest (next N days)
MYS,0.5381,0.7345,1827,Any protest (next N days)
VNM,0.5431,0.1056,1827,Any protest (next N days)
NOR,0.5732,0.9387,1827,Any protest (next N days)
HUN,0.5733,0.8604,1827,Any protest (next N days)
ZWE,0.5822,0.486,1827,Any protest (next N days)
MOZ,0.6376,0.4882,1827,Any protest (next N days)
LAO,0.6387,0.0192,1827,Any protest (next N days)
IRL,0.6641,0.942,1827,Any protest (next N days)
PRT,0.765,0.9677,1827,Any protest (next N days)
POL,0.8121,0.9989,1827,Any protest (next N days)
NLD,0.8162,0.9989,1827,Any protest (next N days)
CHN,0.9775,0.9989,1827,Any protest (next N days)
CAN,0.9991,0.8035,1827,Any protest (next N days)
AUS,0.9999,0.8013,1827,Any protest (next N days)
VNM,0.2678,0.0071,1827,Elevated spike
SWE,0.4408,0.1483,1827,Elevated spike
CHN,0.4414,0.1215,1827,Elevated spike
HUN,0.4416,0.2326,1827,Elevated spike
USA,0.4484,0.127,1827,Elevated spike
ITA,0.4504,0.1965,1827,Elevated spike
NOR,0.4524,0.2425,1827,Elevated spike
MAR,0.4646,0.1834,1827,Elevated spike
IRL,0.4716,0.2293,1827,Elevated spike
ESP,0.4739,0.2211,1827,Elevated spike
PRT,0.4764,0.2162,1827,Elevated spike
NAM,0.4773,0.1762,1827,Elevated spike
THA,0.4856,0.1861,1827,Elevated spike
ZWE,0.4877,0.0837,1827,Elevated spike
BOL,0.4883,0.1877,1827,Elevated spike
ZAF,0.4883,0.168,1827,Elevated spike
NLD,0.4892,0.1921,1827,Elevated spike
JPN,0.502,0.145,1827,Elevated spike
BRA,0.5042,0.1576,1827,Elevated spike
FRA,0.5151,0.2381,1827,Elevated spike
KEN,0.5198,0.2343,1827,Elevated spike
CHL,0.5225,0.1905,1827,Elevated spike
PHL,0.5246,0.2162,1827,Elevated spike
DEU,0.5283,0.1927,1827,Elevated spike
GBR,0.5315,0.2014,1827,Elevated spike
ARG,0.5349,0.1626,1827,Elevated spike
MEX,0.5365,0.0876,1827,Elevated spike
POL,0.5538,0.2184,1827,Elevated spike
MYS,0.5589,0.1949,1827,Elevated spike
KOR,0.5699,0.058,1827,Elevated spike
PER,0.5901,0.1872,1827,Elevated spike
IND,0.6054,0.1067,1827,Elevated spike
IDN,0.6088,0.1297,1827,Elevated spike
TUR,0.6155,0.1182,1827,Elevated spike
GRC,0.6207,0.2228,1827,Elevated spike
CAN,0.6422,0.1658,1827,Elevated spike
AUS,0.6424,0.1544,1827,Elevated spike
MOZ,0.6762,0.1045,1827,Elevated spike
