url_normalized,title,meta_description,http_status,fetch_error
http://www.deccanchronicle.com/nation/current-affairs/110218/jayalalithaa-portrait-to-be-unveiled-in-tamil-nadu-assembly-tomorrow.html,Jayalalithaa portrait to be unveiled in Tamil Nadu Assembly tomorrow | Jayalalithaa portrait to be unveiled in Tamil Nadu Assembly tomorrow,"The CM said Jayalalithaa had made significant contributions for TN, its growth on all fronts and for Tamil language and culture.",200,
http://www.wbrz.com/news/firefighter-accused-of-setting-fires-burglarizing-firestations,"Firefighter accused of setting fires, burglarizing firestations","PHOENIX, AZ - Phoenix police have identified a 36-year-old city firefighter who is accused of entering fire stations and stealing from fellow firefighters, sometimes after setting trash fires to keep crews away. Ryan Donahue remains jailed after being arrested Friday on suspicion of theft, arson, burglary and criminal damage. Online court records don't indicate whether Donahue has an attorney who could comment on the allegations. Police say surveillance and tips led to the arrest of Donahue, an",200,
https://www.fairobserver.com/region/north_america/the-case-for-us-intervention-in-the-middle-east-01724/,The Case for US Intervention in the Middle East - Fair Observer,Washington’s decision to enter war in Iraq for the third time in a quarter century is consistent with long-held US policy.,200,
http://thenationonlineng.net/time-unveil-madumere/,Time to unveil Madumere - The Nation Newspaper,The Nation Newspaper Time to unveil Madumere,200,
http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=41&TM=67523.02,,,404,bad_status_or_empty:404
http://www.nwherald.com/2018/02/10/breaking-national-weather-service-issues-winter-weather-advisory-for-mchenry-county/acrrvuz/,,,404,bad_status_or_empty:404
http://us.blastingnews.com/news/2018/02/navy-seal-who-killed-bin-laden-rips-bullsht-trump-for-wanting-military-parade-002351275.html,Navy SEAL who killed bin Laden rips 'bullsh*t' Trump for wanting military parade,The United States Navy SEAL who reportedly killed Osama bin Laden is opening up about Donald Trump's plans to hold military parade.,200,
http://fijisun.com.fj/2018/02/11/police-probe-accident-involving-a-govt-vehicle/,,,404,bad_status_or_empty:404
http://punchng.com/nigerian-youths-are-not-prepared-to-lead-idris-aregbe/,Nigerian youths are not prepared to lead — Idris Aregbe - Punch Newspapers,"Founder of My Heritage My Pride, an indigenous cultural beauty pageant, and convener of Our Lagos, Your Lagos, Idris Aregbe, speaks with KEMI LANRE-AREMU",200,
https://www.stuff.co.nz/environment/101338794/dolphins-join-crowd-of-swimmers-at-island-bay,Stuff,,200,
http://dailykashmirimages.com/Details/two-army-officers-2-militants-killed-nine-injured-operation-on/161189,,,200,
http://northcountrynow.com/featured_events/ncpr-encourages-first-time-contributors-chance-win-echo-plus-during-special-drive,"NCPR encourages first-time contributors, chance to win Echo Plus during special drive Feb. 12-16 - North Country Now",,200,
http://saharareporters.com/2018/02/10/nigeria-feds-charges-senator-melaye-false-information-over-claim-there-was-attempt-his,Nigeria Feds Charges Senator Melaye For False Information Over Claim There Was An Attempt On His Life | Sahara Reporters,"The federal government has filed a two-count charge against Senator Dino Melaye for allegedly giving false information to the police in relation to claim in April 17 of an attempt on his life. The charge marked: CR/106/18 was filed on January 31 this year before the High Court of the Federal Capital Territory in Maitama by the office of the Attorney General of the Federation (AGF). Melaye is, in the charge, accused of falsely incriminating the Chief of Staff to Governor Yahaya Bello of Kogi State, Edward Onoja David, in his assassination attempt claim.",200,
http://globalnation.inquirer.net/164052/hk-based-filipino-group-host-confab-ofws,,,403,bad_status_or_empty:403
http://m.philstar.com/782974/show/454904d88b8f310a30032425bc53d074?t=k6k3pon5d9uug532sru7d572k3,,,404,bad_status_or_empty:404
http://www.fijitimes.com/story.aspx?id=434190,,,404,bad_status_or_empty:404
http://www.fijitimes.com/story.aspx?id=434187,,,404,bad_status_or_empty:404
https://trionjournal.com/pulling-back-the-curtain-on-shares-of-multi-units-luxembourg-lcan-l/543260/,TrionJournal.com - For Sale,Saw.com has successfully helped thousands of buyers acquire the perfect domain name. Interested in TrionJournal.com? Letâs get started.,200,
http://english.wafa.ps/page.aspx?id=G0T45ga96436372725aG0T45g,UN agency raises concern about excessive use of force by Israeli soldiers against Palestinians,,200,
http://m.philstar.com/opinion/show/6189027a0220fc69cd4c8517bfd3d667?t=k6k3pon5d9uug532sru7d572k3,,,404,bad_status_or_empty:404
http://www.independent.co.uk/news/world/middle-east/isis-foreign-women-islamic-state-detained-human-rights-watch-a8204686.html,Hundreds of foreign women who joined Isis captured by Kurdish forces in Syria | The Independent | The Independent,Approximately 800 women from multiple western countries detained,200,
http://www.newstalk1030.com/news/second-wh-official-resigns-over-domestic-abuse-allegations-2/,,,404,bad_status_or_empty:404
http://www.newstalk1030.com/news/donald-trump-believes-the-men-always-unless-theyre-democrats/,,,404,bad_status_or_empty:404
http://www.lasvegasnvblog.com/2018/02/karlie-kloss-beau-joshua-kushner-get-caught-within-the-rain-in-new-york-city/,Las Vegas NV Blog,,200,
http://m.philstar.com/opinion/show/28287a58e2a6fd51101ffeefb942911c?t=k6k3pon5d9uug532sru7d572k3,,,404,bad_status_or_empty:404
http://www.daytondailynews.com/news/national/sinkhole-opens-texas-reveal-170-foot-long-cave/rQ3LfMfE97EyDPuBMCyHHK/,GDPR Support,,200,
http://forum.pafoa.org/external.php?s=44ed104095f21e4dbfd8820e37d5aa39&type=RSS2&forumids=122,Pennsylvania Firearm Owners Association Discussion Forum - Training Courses,,200,
http://m.philstar.com/nation/show/ec92f4148b14ada7e140ef449246c36f?t=k6k3pon5d9uug532sru7d572k3,,,404,bad_status_or_empty:404
http://www.saratogian.com/government-and-politics/20180210/trump-accuses-democrats-of-playing-politics-with-memo,Trump accuses Democrats of playing politics with memo – Saratogian,"WASHINGTON >> President Donald Trump on Saturday accused the Democrats of playing politics with classified information, asserting that their memo countering GOP allegations about the conduct of the FBI’s Russia probe was a trap meant to “blame the White House for lack of transparency.” Citing national security concerns, the White House notified the House Intelligence […]",200,
http://www.kenoradailyminerandnews.com/2018/02/10/family-of-richard-roach-seeks-closure-three-years-after-his-death,,,200,
http://nationalpost.com/opinion/barbara-kay-exploding-the-myth-of-cure-all-female-corporate-boards,Barbara Kay: Exploding the myth of cure-all female corporate boards | National Post,Female dominance on corporate boards is no guarantee that companies will perform better or more humanely,200,
https://txktoday.com/crime/man-shot-state-line-dies/,Man shot on State Line dies | Texarkana Today,"TEXARKANA, TEXAS – The Texarkana Texas Police Department is investigating the homicide of Carlos Clark, 25, of Texarkana, Texas, who was shot in the early morning hours February 10th at […]",200,
http://www.newstalk1030.com/news/trumps-block-of-a-memo-is-a-block-of-checks-and-balances/,,,404,bad_status_or_empty:404
https://www.mirror.co.uk/news/world-news/three-men-who-hunted-down-12005890,Three men who 'hunted down' seven-year-old girl for 'revenge killing' jailed for life - The Mirror,"Carlos Stokes, Jordon Clayton and Branden Brookings killed Kirsten Williams over a drugs dispute in Memphis, Tennessee, the same day as Stokes' sister was gunned down",200,
http://www.independent.co.uk/news/world/americas/man-sets-fire-to-himself-chicago-train-red-line-argyle-station-arrest-a8204586.html,Flames engulf Chicago train carriage as man tries to set himself on fire | The Independent | The Independent,'A man told us to run because the guy was throwing gas everywhere and had a lighter',200,
http://niagarafallsreporter.com/n-t-council-shades-solar-panel-resolution-water-treatment-upgrades-tap-nt-lockport/,"N.T. Council Shades Solar Panel Resolution, Water Treatment Upgrades on Tap for NT/Lockport - The Niagara Reporter","A position in North Tonawanda city government vacant since Election Day, and one of two full-time positions in the mayor’s office, that of Assistant to the Mayor, has been filled by David Divirgilio, who will earn $45,000. Mr. Divirgilio had previously worked for the city briefly in 2017 as a newly trained police officer. During Tuesday’s meeting, new council member Austin Tylec scored his first successful board action, raising concerns about a resolution and getting the council to support his tabling of it. The resolution dealt with accepting the city assessor’s recommendation that solar panels should not be an item",200,
http://ticklethewire.com/2018/02/10/trumps-bold-memo-snub-risks-high-stakes-standoff-dems-feds/print/,,,404,bad_status_or_empty:404
https://www.geekwire.com/2018/whose-city-city-pittsburgh-citizens-worry-consequences-amazon-hq2/,,,403,bad_status_or_empty:403
http://www.1290wlby.com/news/ohio-police-officers-were-killed-while-protecting-others-chief-says/,,,404,bad_status_or_empty:404
http://www.doorcountydailynews.com/2018/02/10/skatepark-committee-completes-final-payment-to-city/,,,404,bad_status_or_empty:404
https://www.zimeye.net/makarau-gone-chigumba-bares-all/,,,403,bad_status_or_empty:403
https://www.yahoo.com/news/trump-blocks-release-democratic-memo-russia-probe-054619789.html,Your privacy choices,,200,
http://smokeroom.com/2018/02/10/red-dela-cruz-octagon-girl-outfit/,,,403,bad_status_or_empty:403
https://www.courierpostonline.com/story/news/nation/2018/02/10/police-two-officers-have-been-fatally-shot-home-columbus-suburb-westerville-suspect-custody-associat/326444002/,"2 Westerville, Ohio, officers killed responding to hung-up 911","Holding back tears, Westerville Police Chief Joe Morbitzer described the fallen officers as \",200,
http://www.businessinsider.com/r-brazils-supreme-court-asks-police-head-to-clarify-comments-on-temer-2018-2,,,404,bad_status_or_empty:404
http://www.newsplex.com/content/news/LL-Bean-limits-returns-policy-473676003.html,,,404,bad_status_or_empty:404
http://fox40.com/2018/02/10/faa-investigating-2-malfunctions-on-spirit-airlines-aircraft/,,,403,bad_status_or_empty:403
http://www.armidaleexpress.com.au/story/5220732/aussies-reach-t20-final-after-smashing-england/,"Aussies reach T20 final after smashing England | The Armidale Express | Armidale, NSW","Australian paceman Kane Richardson doesn't expect to see ""super competitive"" stand-in Twenty20 skipper David Warner take a break...",200,
http://www.thenews-messenger.com/story/news/nation/2018/02/10/police-two-officers-have-been-fatally-shot-home-columbus-suburb-westerville-suspect-custody-associat/326444002/,"2 Westerville, Ohio, officers killed responding to hung-up 911","Holding back tears, Westerville Police Chief Joe Morbitzer described the fallen officers as \",200,
http://www.armidaleexpress.com.au/story/5220788/why-cant-we-fix-this-and-close-the-gap/,"Why can't we fix this and Close the Gap? | The Armidale Express | Armidale, NSW",The lack of progress towards improving the lives of indigenous Australians despite 10 years of the Closing the...,200,
http://wam.ae/en/details/1395302666347,ÙÙØ§ÙØ© Ø£ÙØ¨Ø§Ø¡ Ø§ÙØ¥ÙØ§Ø±Ø§Øª,,200,
http://wam.ae/en/details/1395302666269,ÙÙØ§ÙØ© Ø£ÙØ¨Ø§Ø¡ Ø§ÙØ¥ÙØ§Ø±Ø§Øª,,200,
https://www.dispatchtribunal.com/2018/02/10/centerpoint-energy-cnp-upgraded-by-zacks-investment-research-to-buy.html,,,526,bad_status_or_empty:526
http://wam.ae/en/details/1395302666311,ÙÙØ§ÙØ© Ø£ÙØ¨Ø§Ø¡ Ø§ÙØ¥ÙØ§Ø±Ø§Øª,,200,
https://infotel.ca/newsitem/ca-airplane-double-malfunction/cp1645225608,FAA investigating 2 malfunctions on Spirit Airlines aircraft | iNFOnews | Thompson-Okanagan's News Source,"OAKLAND, Calif. - Federal aviation authorities are investigating two mechanical malfunctions on a Spirit Airlines aircraft that they describe as separate and unrelated incidents.",200,
http://dailycaller.com/2018/02/10/oxycontin-maker-cuts-half-of-sales-staff-stops-promoting-painkillers-to-doctors/,,,403,bad_status_or_empty:403
http://www.daytondailynews.com/business/public-sounds-off-good-sam-closing-forum/atuvL7X8bOWa9OHgcRCLkN/,GDPR Support,,200,
https://theubj.com/news/view/kyiv-painter-breaks-the-ice,,,404,bad_status_or_empty:404
http://forum.pafoa.org/external.php?s=44ed104095f21e4dbfd8820e37d5aa39&type=RSS2&forumids=11,Pennsylvania Firearm Owners Association Discussion Forum - National,,200,
https://infotel.ca/newsitem/us-people-mcgowan-former-manager/cp385957962,Rose McGowan wishes 'solace' for family of late manager | iNFOnews | Thompson-Okanagan's News Source,"NEW YORK - Rose McGowan has broken a days-long silence to express sympathy over the suicide of her former manager, whose family has criticized the actress and activist.",200,
https://themalaysianreserve.com/2018/02/09/china-wealth-fund-said-join-fray-rm7-9b-rio-portfolio/,,,403,bad_status_or_empty:403
https://www.nottinghampost.com/news/local-news/shocking-picture-shows-two-car-1197568,Shocking picture shows two-car crash near Hucknall - Nottinghamshire Live,A picture shows the extent of damage caused,200,
http://m.philstar.com/nation/show/59adaba5a0ee1de81aa0d78365877372?t=k6k3pon5d9uug532sru7d572k3,,,404,bad_status_or_empty:404
http://mix96buffalo.com/stranger-things-3-episode-order-eight/,'Stranger Things' Season 3 Confirms Reduced Episode Order,"As much as we pulled for Eleven, 'Stranger Things' has nonetheless confirmed a smaller episode count for Season 3's April production start.",200,
https://www.thestar.com.my/news/nation/2018/02/11/uighurs-will-be-sent-back-zahid-malaysia-will-return-them-to-china-after-police-investigation/,‘Uighurs will be sent back’   | The Star,BATU PAHAT: Kuala Lumpur will honour its agreement with Beijing to extradite 11 Uighur Muslims wanted by China.,200,
https://www.missioncityrecord.com/news/justice-for-colten-rally-draws-dozens-in-vancouver-after-not-guilty-verdict/,News | Mission City Record,,200,
http://forum.pafoa.org/external.php?s=44ed104095f21e4dbfd8820e37d5aa39&type=RSS2&forumids=10,Pennsylvania Firearm Owners Association Discussion Forum - Pennsylvania,,200,
http://thechronicleherald.ca/canada/1544509-doug-ford-christine-elliott-make-leadership-pitches-at-conservative-conference,"Chronicle Herald | News, Headlines and Stories | PNI Atlantic News",Read the latest news and headlines out of Nova Scotia. Keep up with the stories and local news that matter to you.,200,
https://www.vicnews.com/news/justice-for-colten-rally-draws-dozens-in-vancouver-after-not-guilty-verdict/,News | Victoria News,,200,
http://www.mix100fm.com/news/two-police-officers-shot-and-killed-in-ohio/,,,0,exception:ConnectionError
https://edge.ca/news/4018349/sheriff-oddie-shoupe-sued-telling-deputies-shoot-suspect-rather-than-wreck-cars/,,,404,bad_status_or_empty:404
http://www.elpasoproud.com/news/police-2-officers-killed-responding-to-911-suspect-held/965127160,,,0,exception:ConnectionError
https://www.thestar.com/news/immigration/2018/02/10/families-feel-blindsided-by-uncertainty-around-foreign-caregiver-program.html,Families feel ‘blindsided’ by uncertainty around foreign caregiver program,Foreign caregivers are godsends to parents with odd work hours and no family support. But it’s no longer a cheaper option for Canadian families.,200,
https://infotel.ca/newsitem/vancouver-park-board-lacked-authority-to-ban-whales-dolphins-at-aquarium-court/it50153,"Vancouver park board lacked authority to ban whales, dolphins at aquarium: court | iNFOnews | Thompson-Okanagan's News Source","""It is clear that whale and dolphin captivity is an archaic, dying practice that will soon be outlawed.""",200,
http://www.pulse.ng/news/local/president-buhari-rejoices-with-china-on-lunar-new-year-id7964830.html,President Buhari rejoices with China on Lunar New Year | Pulse Nigeria,"The President’s Special Adviser on Media and Publicity, Mr Femi Adesina, confirmed this information in a statement issued in Abuja on Saturday. Read more.",200,
https://weekherald.com/2018/02/10/somewhat-favorable-press-coverage-somewhat-unlikely-to-impact-procter-gamble-pg-stock-price.html,,,0,exception:SSLError
https://www.theaustralian.com.au/news/latest-news/cape-towns-water-crisis-spreads/news-story/b5c331cc68df67779cca93543cc17ede?nk=6c02f6012b2f674762190dbde4891120-1518306474,,,404,bad_status_or_empty:404
http://www.fijitimes.com/story.aspx?id=434154,,,404,bad_status_or_empty:404
http://thestreetjournal.org/2018/02/4-policemen-missing-after-ambushed-by-suspected-herdsmen-in-benue/,,,403,bad_status_or_empty:403
http://www.carrollcountytimes.com/news/state/bs-md-ci-man-shot-northwest-saturday-20180210-story.html,,,403,bad_status_or_empty:403
http://www.deccanchronicle.com/nation/crime/110218/three-suspected-naxalites-nabbed-by-tiruvallur-police.html,Three suspected naxalites nabbed by Tiruvallur police | Three suspected naxalites nabbed by Tiruvallur police,The district police and Q branch police had received a tip-off on naxalites movements in Tiruvallur district.,200,
http://www.deccanchronicle.com/nation/crime/110218/hyderabad-spurious-pesticide-unit-raided-2-held.html,"Hyderabad: Spurious pesticide unit raided, 2 held | Hyderabad: Spurious pesticide unit raided, 2 held",Farmers who had a tough time after buying spurious seeds were now at the receiving end of cheating by spurious pesticide manufacturers.,200,
https://www.gattonstar.com.au/news/man-charged-following-alleged-assault/3332316/,Police arrest man who allegedly forced way into home | The Courier Mail,A MAN has been charged following an alleged assault at a home in Eimeo overnight.,200,
http://www.worldbulletin.net/middle-east/198659/egypt-set-to-launch-comprehensive-army-op-in-sinai,,,404,bad_status_or_empty:404
https://www.gattonstar.com.au/news/two-boys-charged-after-service-staion-robbed-knife/3332330/,Two boys charged after service station robbed at knife point | The Courier Mail,POLICE have charged two teenage boys after they allegedly robbed in Ipswich service station of cigarettes and cash.,200,
https://www.pressherald.com/2018/02/10/las-vegas-gunman-was-sober-autopsy-determines/,"Las Vegas gunman was sober, autopsy determines","What investigators still can't answer is why Stephen Paddock, a man with no criminal history, carried out the worst mass shooting in modern U.S. history.",200,
http://www.thebreakingtimes.com/why-fulanis-worship-their-cows-garius-gololo/,,,404,bad_status_or_empty:404
http://www.daytondailynews.com/news/tech-science/here-how-track-the-tesla-roadster-space/d9ZP1r4wlaEx1OvMPZVLHM/,GDPR Support,,200,
https://www.insauga.com/freezing-rain-expected-to-hit-mississauga,,,403,bad_status_or_empty:403
http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=269&TM=67523.02,,,404,bad_status_or_empty:404
http://www.deccanchronicle.com/nation/current-affairs/110218/protests-rock-mandya-village-after-infant-dies.html,Protests rock Mandya village after infant dies | Protests rock Mandya village after infant dies,"The protest was led by the parents of the two victims. Villagers even exhumed the body of one child, who died on Thursday night",200,
https://infotel.ca/newsitem/que-courthouse-protest/cp1899653969,Protest held in support of 18-year-old shot in the head at Quebec courthouse | iNFOnews | Thompson-Okanagan's News Source,"MANIWAKI, Que. - Friends and loved ones of an 18-year-old who was seriously injured in an altercation with a special contable held a protest on Saturday in front of the Quebec courthouse where the young man was shot.",200,
http://www.deccanchronicle.com/nation/current-affairs/110218/on-the-contrary-justice-for-all.html,On the contrary: Justice for all | On the contrary: Justice for all,What truly shocked him subsequently was the total lack of empathy he faced when he recounted his experience at social gatherings.,200,
http://dailycaller.com/2018/02/10/ccw-weekend-second-amendment-rights-are-for-everyone/,,,403,bad_status_or_empty:403
http://www.wboc.com/story/37473812/the-white-houses-promised-spanish-website-nada-de-nada,,,200,
http://www.sundaymail.co.zw/high-court-to-rule-on-o-level-rewrite/,,,403,bad_status_or_empty:403
http://usa.greekreporter.com/2018/02/10/the-poor-greek-boy-who-became-the-first-youngest-harvard-professor/,,,403,bad_status_or_empty:403
https://qz.com/1203637/facebook-likes-are-a-powerful-tool-for-authoritarian-rulers-lawsuit-says/amp/,,,403,bad_status_or_empty:403
https://www.gattonstar.com.au/news/misunderstanding-credit-cards-places-families-in-t/3332293/,Credit card debt: Families struggle says Maria Loyez | The Courier Mail,"AUSTRALIAN families are facing another year from a debt treadmill, thanks to credit card complacency, research has revealed.",200,
http://gwdtoday.com/main.asp?SectionID=64&SubSectionID=240&TM=67523.02,,,404,bad_status_or_empty:404
http://www.deccanchronicle.com/nation/current-affairs/110218/by-invitation-back-off-bullies-we-will-not-suffer-in-silence.html,"By Invitation: Back off, bullies! We will not suffer in silence | By Invitation: Back off, bullies! We will not suffer in silence","The victims of bullying and ragging should never, ever, keep the pain to themselves.",200,
http://fox40.com/2018/02/10/professor-replaced-after-insisting-australia-isnt-a-country/,,,403,bad_status_or_empty:403
http://toofab.com/2018/02/10/bill-maher-real-housewives-donald-trump-reading-skills-james-franco/,Bill Maher Uses 'Real Housewives' Analogy to Bash Trump's Reading Skills,"Bill Maher managed to bash ""The Real Housewives"" and James Franco while criticizing President Trump's literacy.",200,
http://www.lasvegasnvblog.com/2018/02/idris-elba-is-engaged-to-sabrina-dhowre/,Las Vegas NV Blog,,200,
http://www.nigerianeye.com/search?updated-max=2018-02-10T15%3A49%3A00+01%3A00&max-results=10,"Latest News In Nigeria, Nigeria News Today, Your Online Nigerian Newspaper",Responsive Blogger Template,200,
http://www.thisdaylive.com/index.php/2018/02/08/is-the-citizens-mandate-still-effective/,Is the Citizenâ€™s Mandate Still Effective? – THISDAYLIVE,,200,
https://www.msn.com/en-us/news/world/as-britain-stumbles-over-brexit-support-grows-for-2nd-vote/ar-BBIXMZV,MSN,,200,
http://www.ipswichstar.co.uk:80/news/say-no-to-the-four-village-bypass-group-opposes-a12-s-suffolk-diversion-1-5390482,,,404,bad_status_or_empty:404
http://www.newstalk1030.com/news/trump-tweets-argument-that-hes-been-victimized-by-obama-administration/,,,404,bad_status_or_empty:404
http://fijisun.com.fj/2018/02/11/suva-gathering-honours-those-lost-at-sea-in-kiribati-tragedy/,,,404,bad_status_or_empty:404
http://english.wafa.ps/page.aspx?id=G0T45ga96430662207aG0T45g,Newspapers Review: Dozens of injuries in Friday of rage highlight of dailies,,200,
https://www.newspapers.com/clip/17333568/pittsburgh_postgazette/,Article clipped from Pittsburgh Post-Gazette - Newspapers.com™,"Clipping found in Pittsburgh Post-Gazette published in Pittsburgh, Pennsylvania on 10/19/1939.",200,
https://www.zimeye.net/am-not-in-politics-for-the-money-says-chamisa/,,,403,bad_status_or_empty:403
https://www.zimeye.net/breaking-chamisa-gets-bulawayo-endorsement-entire-province-backs-pastor/,,,403,bad_status_or_empty:403
http://fijisun.com.fj/2018/02/11/grow-with-leadership-qualities-gavidi/,,,404,bad_status_or_empty:404
http://abc11.com/news/2-officers-shot-dead-after-responding-to-911-hang-up-call-were-best-we-have-chief/3063355/,,,404,bad_status_or_empty:404
http://fox40.com/2018/02/10/trump-tweets-on-lives-being-shattered-by-a-mere-allegation/,,,403,bad_status_or_empty:403
http://dailycaller.com/2018/02/10/msnbc-white-evangelicals-support-molesters/,,,403,bad_status_or_empty:403
http://english.wafa.ps/page.aspx?id=G0T45ga96435420972aG0T45g,President Abbas receives India’s Premier Modi before starting official talks,,200,
