globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl
1149157909,20240101,20240101000000,020,020,02,1,5,1,5,4.63157894736843,"Wisconsin, United States",US,USWI,,44.2563,-89.6385,WI,20240101000000,https://www.1039wvbo.com/news/map-where-marijuana-will-and-wont-be-legal-in-2024/
1149157913,20240101,20240101000000,060,060,06,2,12,3,12,1.0533488177816,Australia,AS,AS,,-25,135,AS,20240101000000,https://www.nvi.com.au/story/8473406/2024-kia-seltos-gt-line-16t-awd-review/?cs=34616
1149157921,20240101,20240101000000,012,012,01,1,5,1,5,-7.53676470588236,Greenland,GL,GL,,72,-40,GL,20240101000000,https://cosmosmagazine.com/earth/climate/2023-was-a-year-of-tipping-points-these-are-the-ones-we-must-avoid/
1149157922,20240101,20240101000000,014,014,01,1,7,1,7,1.94300518134715,"Iowa, United States",US,USIA,,42.0046,-93.214,IA,20240101000000,https://news.yahoo.com/questions-iowa-republican-caucus-answered-224643157.html
1149157924,20240101,20240101000000,040,040,04,1,20,2,20,-5.02679187224786,,,,,,,,20240101000000,https://news.yahoo.com/community-shocked-deadly-shooting-killed-223022244.html
1149157926,20240101,20240101000000,051,051,05,1,10,1,10,3.16205533596838,,,,,,,,20240101000000,https://www.vernonmorningstar.com/news/heres-what-is-happening-on-new-years-eve-in-the-south-okanagan-7291395
1149157927,20240101,20240101000000,051,051,05,1,10,1,10,4.85338725985845,"Cowlitz County, Washington, United States",US,USWA,,46.1998,-122.685,1529156,20240101000000,https://tdn.com/lifestyles/nancy-baldwin-thanks-village-supporting-kelso-schools-resource-center/article_3814556c-992c-11ee-ab9c-975d03644748.html
1149157929,20240101,20240101000000,190,190,19,4,5,1,5,-8.7378640776699,,,,,,,,20240101000000,https://www.wvtm13.com/article/winston-county-man-charged-with-capital-murder-in-death-of-his-2-month-old-daughter/46258670
1149157930,20240101,20240101000000,014,014,01,1,12,1,6,-3.95480225988701,"Colorado, United States",US,USCO,,39.0646,-105.327,CO,20240101000000,https://hotair.com/headlines/2023/12/31/ballot-banishing-and-our-new-left-wing-confederates-n601925
1149157936,20240101,20240101000000,120,120,12,3,10,1,10,-7.67634854771784,,,,,,,,20240101000000,https://screenrant.com/rebel-moon-10-things-expect-extended-version-directors-cut/
1149157943,20240101,20240101000000,016,016,01,1,1,1,1,-1.87793427230047,Germany,GM,GM,,51.5,10.5,GM,20240101000000,https://kenyan-post.com/2020/12/was-cotu-boss-francis-atwoli-flown-to-germany-after-covid-19-complications-here-is-the-truth-from-the-horses-mouth/
1149157946,20240101,20240101000000,051,051,05,1,4,2,4,-6.32911392405063,"Praia Da Luz, Faro, Portugal",PO,PO09,24764,37.0833,-8.73333,-2168298,20240101000000,https://www.aol.co.uk/search-madeleine-mccann-eventually-yield-210449313.html
1149157947,20240101,20240101000000,070,070,07,2,1,1,1,-8.6065573770492,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,20240101000000,https://www.meadvilletribune.com/russia-launches-fresh-drone-strikes-in-ukraine-after-promising-retaliation-for-belgorod-attack/article_bbadef64-b3d7-5dcf-acc5-271a7f715464.html
1149157978,20240101,20240101000000,190,190,19,4,30,5,30,-5.16796799691536,"Red Sea, Djibouti (general), Djibouti",DJ,DJ00,25312,19,39.5,-2037160,20240101000000,https://www.meadvilletribune.com/cnhi_network/us-navy-helicopters-fire-at-yemens-houthi-rebels-and-kill-several-in-latest-red-sea/article_b5a69d69-83bc-5990-8bfa-3a62113db18d.html
1149157981,20240101,20240101000000,010,010,01,1,12,2,12,1.71394799054373,Denmark,DA,DA,,56,10,DA,20240101000000,https://news.yahoo.com/queen-denmark-europe-longest-reining-224158342.html
1149157984,20240101,20240101000000,051,051,05,1,8,2,8,2.05862292056392,"Copenhagen, Køavn*, Denmark",DA,DA05,15213,55.6667,12.5833,-2745636,20240101000000,https://accesswdun.com/article/2023/12/1220914
1149157986,20240101,20240101000000,0831,083,08,2,24,3,24,1.1571098633051,Denmark,DA,DA,,56,10,DA,20240101000000,https://www.originalfm.com/news/headlines/denmarks-queen-margrethe-ii-unexpectedly-announces-abdication-in-new-years-eve-speech/
