country_iso3,date,cpi_yoy,cpi_mom,unemployment_rate,unemployment_sa,earnings_monthly
ABW,2017-01-01,0.15999999999999998,-0.28076923076923077,,,
ABW,2017-02-01,0.5284615384615385,0.1125,,,
ABW,2017-03-01,0.3684615384615386,-0.17461538461538462,,,
ABW,2017-04-01,0.6330769230769231,0.21615384615384617,,,
ABW,2017-05-01,0.46076923076923093,0.18909090909090906,,,
ABW,2017-06-01,0.20307692307692304,0.05538461538461538,,,
ABW,2017-07-01,-0.18769230769230766,-0.17153846153846153,,,
ABW,2017-08-01,0.3376923076923076,0.155,,,
ABW,2017-09-01,-0.07923076923076923,-0.37250000000000005,,,
ABW,2017-10-01,0.1992307692307692,0.5390909090909091,,,
ABW,2017-11-01,0.03846153846153847,-0.020999999999999987,,,
ABW,2017-12-01,0.7107692307692308,0.6918181818181819,,,
ABW,2018-01-01,1.13,0.17545454545454547,,,
ABW,2018-02-01,1.8215384615384618,0.9281818181818182,,,
ABW,2018-03-01,3.117692307692308,1.3209090909090908,,,
ABW,2018-04-01,2.6423076923076922,-0.2772727272727273,,,
ABW,2018-05-01,2.7600000000000002,0.2816666666666667,,,
ABW,2018-06-01,3.0807692307692305,0.49300000000000005,,,
ABW,2018-07-01,5.160769230769231,1.8292307692307692,,,
ABW,2018-08-01,4.67,-0.3516666666666666,,,
ABW,2018-09-01,5.006153846153846,-0.018333333333333326,,,
ABW,2018-10-01,4.4715384615384615,-0.05727272727272725,,,
ABW,2018-11-01,4.815384615384615,0.36727272727272725,,,
ABW,2018-12-01,4.950000000000001,0.8472727272727273,,,
ABW,2019-01-01,4.396923076923077,-0.4563636363636364,,,
ABW,2019-02-01,4.273076923076923,0.7408333333333333,,,
ABW,2019-03-01,4.153846153846154,1.0258333333333332,,,
ABW,2019-04-01,5.2361538461538455,0.9108333333333333,,,
ABW,2019-05-01,5.166153846153846,0.1975,,,
ABW,2019-06-01,5.686153846153847,0.9116666666666667,,,
ABW,2019-07-01,4.28,0.20000000000000004,,,
ABW,2019-08-01,4.38,-0.324,,,
ABW,2019-09-01,5.1025,0.7600000000000001,,,
ABW,2019-10-01,5.654166666666666,0.46166666666666667,,,
ABW,2019-11-01,5.7558333333333325,0.43,,,
ABW,2019-12-01,5.976666666666667,0.9733333333333333,,,
ABW,2020-01-01,6.000769230769231,0.015384615384615405,,,
ABW,2020-02-01,5.045384615384616,-0.26833333333333326,,,
ABW,2020-03-01,5.045384615384616,-0.26833333333333326,,,
ABW,2020-04-01,5.045384615384616,-0.26833333333333326,,,
ABW,2020-05-01,5.045384615384616,-0.26833333333333326,,,
ABW,2020-06-01,5.045384615384616,-0.26833333333333326,,,
ABW,2020-07-01,5.045384615384616,-0.26833333333333326,,,
ABW,2020-08-01,5.045384615384616,-0.26833333333333326,,,
ABW,2020-09-01,5.045384615384616,-0.26833333333333326,,,
ABW,2020-10-01,5.045384615384616,-0.26833333333333326,,,
ABW,2020-11-01,5.045384615384616,-0.26833333333333326,,,
ABW,2020-12-01,5.045384615384616,-0.26833333333333326,,,
ABW,2021-01-01,5.045384615384616,-0.26833333333333326,,,
ABW,2021-02-01,5.045384615384616,-0.26833333333333326,,,
ABW,2021-03-01,5.045384615384616,-0.26833333333333326,,,
ABW,2021-04-01,,,,,
ABW,2021-05-01,,,,,
ABW,2021-06-01,,,,,
ABW,2021-07-01,,,,,
ABW,2021-08-01,,,,,
ABW,2021-09-01,,,,,
ABW,2021-10-01,,,,,
ABW,2021-11-01,,,,,
ABW,2021-12-01,,,,,
ABW,2022-01-01,,,,,
ABW,2022-02-01,,,,,
ABW,2022-03-01,,,,,
ABW,2022-04-01,,,,,
ABW,2022-05-01,,,,,
ABW,2022-06-01,,,,,
ABW,2022-07-01,,,,,
ABW,2022-08-01,,,,,
ABW,2022-09-01,,,,,
ABW,2022-10-01,,,,,
ABW,2022-11-01,,,,,
ABW,2022-12-01,,,,,
ABW,2023-01-01,,,,,
ABW,2023-02-01,,,,,
ABW,2023-03-01,,,,,
ABW,2023-04-01,,,,,
ABW,2023-05-01,,,,,
ABW,2023-06-01,,,,,
ABW,2023-07-01,,,,,
ABW,2023-08-01,,,,,
ABW,2023-09-01,,,,,
ABW,2023-10-01,,,,,
ABW,2023-11-01,,,,,
ABW,2023-12-01,,,,,
ABW,2024-01-01,,,,,
ABW,2024-02-01,,,,,
ABW,2024-03-01,,,,,
ABW,2024-04-01,,,,,
ABW,2024-05-01,,,,,
ABW,2024-06-01,,,,,
ABW,2024-07-01,,,,,
ABW,2024-08-01,,,,,
ABW,2024-09-01,,,,,
ABW,2024-10-01,,,,,
ABW,2024-11-01,,,,,
ABW,2024-12-01,,,,,
ABW,2025-01-01,,,,,
ABW,2025-02-01,,,,,
ABW,2025-03-01,,,,,
ABW,2025-04-01,,,,,
ABW,2025-05-01,,,,,
ABW,2025-06-01,,,,,
ABW,2025-07-01,,,,,
ABW,2025-08-01,,,,,
ABW,2025-09-01,,,,,
ABW,2025-10-01,,,,,
ABW,2025-11-01,,,,,
ABW,2025-12-01,,,,,
AFG,2017-01-01,4.2907692307692304,-0.4438461538461539,,,
AFG,2017-02-01,5.032307692307692,0.1346153846153846,,,
AFG,2017-03-01,5.808461538461539,0.7446153846153846,,,
AFG,2017-04-01,4.168461538461538,-0.44923076923076927,,,
AFG,2017-05-01,4.337692307692308,0.19230769230769232,,,
AFG,2017-06-01,4.49,0.4230769230769231,,,
AFG,2017-07-01,2.977692307692308,-0.4392307692307692,,,
AFG,2017-08-01,2.8146153846153847,0.13153846153846152,,,
AFG,2017-09-01,1.8476923076923077,0.2623076923076923,,,
AFG,2017-10-01,1.6553846153846155,0.17384615384615387,,,
AFG,2017-11-01,1.4123076923076923,0.5123076923076924,,,
AFG,2017-12-01,1.523846153846154,0.28846153846153844,,,
AFG,2018-01-01,2.2984615384615386,0.30846153846153845,,,
AFG,2018-02-01,2.0492307692307694,-0.10833333333333332,,,
AFG,2018-03-01,1.3030769230769228,0.00538461538461539,,,
AFG,2018-04-01,1.7338461538461538,-0.04692307692307694,,,
AFG,2018-05-01,1.7084615384615385,0.1623076923076923,,,
AFG,2018-06-01,1.7815384615384615,0.4853846153846154,,,
AFG,2018-07-01,2.553076923076923,0.31769230769230766,,,
AFG,2018-08-01,2.3407692307692307,-0.05846153846153846,,,
AFG,2018-09-01,2.4484615384615385,0.3676923076923077,,,
AFG,2018-10-01,2.8015384615384615,0.5169230769230769,,,
AFG,2018-11-01,2.7584615384615385,0.46153846153846156,,,
AFG,2018-12-01,2.413846153846154,-0.04076923076923075,,,
AFG,2019-01-01,2.406153846153846,0.2969230769230769,,,
AFG,2019-02-01,1.8438461538461537,-0.6246153846153847,,,
AFG,2019-03-01,2.1184615384615384,0.3281818181818182,,,
AFG,2019-04-01,2.356923076923077,0.1792307692307692,,,
AFG,2019-05-01,3.6916666666666664,1.2084615384615385,,,
AFG,2019-06-01,2.633846153846154,-0.2941666666666667,,,
AFG,2019-07-01,1.9453846153846153,-0.36230769230769233,,,
AFG,2019-08-01,1.9230769230769231,-0.09153846153846154,,,
AFG,2019-09-01,1.2999999999999998,-0.25846153846153846,,,
AFG,2019-10-01,0.8053846153846153,0.016923076923076937,,,
