model_name,feature,mean_abs_shap
model5_xgb,num__oil_brent_pct_30d_z,0.0
model5_xgb,num__platinum_pct_30d,0.0
model5_xgb,num__platinum_pct_30d_x_plat_prod,0.0
model5_xgb,num__silver_pct_30d,0.0
model5_xgb,num__vix_7d_ma,0.0
model5_xgb,num__vix_pct_30d,0.0
model5_xgb,num__vix_pct_30d_lag30d,0.0
model5_xgb,num__vix_pct_30d_lag60d,0.0
model6_xgb_nolag,num__country_strike_baseline,0.83547467
model6_xgb_nolag,num__country_protest_baseline,0.35008
model6_xgb_nolag,num__fao_food_yoy_x_youth_unemp,0.062257748
model6_xgb_nolag,num__rule_of_law_est,0.04246887
model6_xgb_nolag,num__fao_cereals_yoy_x_instability,0.03395851
model6_xgb_nolag,num__unemployment_sa,0.020684749
model6_xgb_nolag,num__energy_cpi_inflation,0.01915874
model6_xgb_nolag,num__unemployment_rate,0.018904857
model6_xgb_nolag,num__gdp_per_capita_growth,0.01629654
model6_xgb_nolag,num__unemployment_total,0.01619808
model6_xgb_nolag,num__government_effectiveness_est,0.0148193855
model6_xgb_nolag,num__gta_90d_count,0.013308361
model6_xgb_nolag,num__fx_pct_30d_x_instability,0.012316028
model6_xgb_nolag,num__food_cpi_inflation,0.010178753
model6_xgb_nolag,num__gini_coef,0.010158319
model6_xgb_nolag,num__yield_us10y,0.009536691
model6_xgb_nolag,num__gdp_growth,0.009469182
model6_xgb_nolag,fe__country_iso3_MYS,0.0073710517
model6_xgb_nolag,num__energy_cpi_inflation_z,0.007044745
model6_xgb_nolag,num__inflation_cpi_yoy,0.006681104
model6_xgb_nolag,fe__country_iso3_KOR,0.0066244346
model6_xgb_nolag,num__fx_vol_30d,0.005902538
model6_xgb_nolag,num__dxy_vol_30d,0.005871242
model6_xgb_nolag,num__food_cpi_inflation_z,0.0052293222
model6_xgb_nolag,num__month_cos,0.0050154193
model6_xgb_nolag,num__gold_pct_30d_x_gold_prod,0.004619866
model6_xgb_nolag,num__dxy_level,0.0037240025
model6_xgb_nolag,num__gta_liberalising_events_z,0.0031714577
model6_xgb_nolag,num__fao_cereals_index_yoy_lag1m,0.0030973642
model6_xgb_nolag,fe__country_iso3_PHL,0.0029861522
model6_xgb_nolag,num__fao_oils_index_yoy_lag6m,0.0025305422
model6_xgb_nolag,fe__country_iso3_PRT,0.0025099264
model6_xgb_nolag,num__gta_30d_count,0.0023469282
model6_xgb_nolag,num__month_sin,0.0019456738
model6_xgb_nolag,fe__country_iso3_POL,0.0019143526
model6_xgb_nolag,num__unemployment_rate_z,0.001794235
model6_xgb_nolag,num__fao_food_index_yoy_lag6m,0.0014632186
model6_xgb_nolag,num__gta_90d_count_z,0.0014192341
model6_xgb_nolag,num__fao_food_index_yoy,0.0013798556
model6_xgb_nolag,num__copper_pct_30d_x_copper_prod,0.0013349688
model6_xgb_nolag,fe__country_iso3_FRA,0.0010691304
model6_xgb_nolag,num__fx_pct_30d_lag60d,0.001065887
model6_xgb_nolag,num__fx_pct_30d_lag30d,0.00076408277
model6_xgb_nolag,num__fx_pct_90d,0.0006710266
model6_xgb_nolag,num__vix_7d_ma,0.0002359752
model6_xgb_nolag,fe__country_iso3_AUS,0.0
model6_xgb_nolag,fe__country_iso3_BOL,0.0
model6_xgb_nolag,fe__country_iso3_BRA,0.0
model6_xgb_nolag,fe__country_iso3_CAN,0.0
model6_xgb_nolag,fe__country_iso3_CHL,0.0
model6_xgb_nolag,fe__country_iso3_CHN,0.0
model6_xgb_nolag,fe__country_iso3_DEU,0.0
model6_xgb_nolag,fe__country_iso3_ESP,0.0
model6_xgb_nolag,fe__country_iso3_GBR,0.0
model6_xgb_nolag,fe__country_iso3_GRC,0.0
model6_xgb_nolag,fe__country_iso3_HUN,0.0
model6_xgb_nolag,fe__country_iso3_IDN,0.0
model6_xgb_nolag,fe__country_iso3_IND,0.0
model6_xgb_nolag,fe__country_iso3_IRL,0.0
model6_xgb_nolag,fe__country_iso3_ITA,0.0
model6_xgb_nolag,fe__country_iso3_JPN,0.0
model6_xgb_nolag,fe__country_iso3_KEN,0.0
model6_xgb_nolag,fe__country_iso3_LAO,0.0
model6_xgb_nolag,fe__country_iso3_MAR,0.0
model6_xgb_nolag,fe__country_iso3_MEX,0.0
model6_xgb_nolag,fe__country_iso3_MOZ,0.0
model6_xgb_nolag,fe__country_iso3_NAM,0.0
model6_xgb_nolag,fe__country_iso3_NLD,0.0
model6_xgb_nolag,fe__country_iso3_NOR,0.0
model6_xgb_nolag,fe__country_iso3_PER,0.0
model6_xgb_nolag,fe__country_iso3_SWE,0.0
model6_xgb_nolag,fe__country_iso3_THA,0.0
model6_xgb_nolag,fe__country_iso3_TUR,0.0
model6_xgb_nolag,fe__country_iso3_USA,0.0
model6_xgb_nolag,fe__country_iso3_VNM,0.0
model6_xgb_nolag,fe__country_iso3_ZAF,0.0
model6_xgb_nolag,fe__country_iso3_ZWE,0.0
model6_xgb_nolag,num__copper_pct_30d,0.0
model6_xgb_nolag,num__copper_pct_90d,0.0
model6_xgb_nolag,num__copper_vol_30d,0.0
model6_xgb_nolag,num__covid_period,0.0
model6_xgb_nolag,num__dxy_pct_30d,0.0
model6_xgb_nolag,num__fao_cereals_index_yoy,0.0
model6_xgb_nolag,num__fao_cereals_index_yoy_above90,0.0
model6_xgb_nolag,num__fao_cereals_index_yoy_lag3m,0.0
model6_xgb_nolag,num__fao_cereals_index_yoy_lag6m,0.0
model6_xgb_nolag,num__fao_food_index_yoy_above90,0.0
model6_xgb_nolag,num__fao_food_index_yoy_lag1m,0.0
model6_xgb_nolag,num__fao_food_index_yoy_lag3m,0.0
model6_xgb_nolag,num__fao_oils_index_yoy,0.0
model6_xgb_nolag,num__fao_oils_index_yoy_lag1m,0.0
model6_xgb_nolag,num__fao_oils_index_yoy_lag3m,0.0
model6_xgb_nolag,num__fx_pct_30d,0.0
model6_xgb_nolag,num__fx_pct_30d_z,0.0
model6_xgb_nolag,num__fx_pct_7d,0.0
model6_xgb_nolag,num__fx_trend_consistent,0.0
model6_xgb_nolag,num__fx_vol_30d_z,0.0
model6_xgb_nolag,num__fx_vol_7d,0.0
model6_xgb_nolag,num__gold_pct_30d,0.0
model6_xgb_nolag,num__gold_vol_30d,0.0
model6_xgb_nolag,num__gta_30d_count_z,0.0
model6_xgb_nolag,num__gta_harmful_events,0.0
model6_xgb_nolag,num__gta_harmful_events_z,0.0
model6_xgb_nolag,num__gta_liberalising_events,0.0
model6_xgb_nolag,num__inflation_accel,0.0
model6_xgb_nolag,num__inflation_cpi_yoy_z,0.0
model6_xgb_nolag,num__natgas_pct_30d,0.0
model6_xgb_nolag,num__oil_brent_pct_14d,0.0
model6_xgb_nolag,num__oil_brent_pct_30d,0.0
model6_xgb_nolag,num__oil_brent_pct_30d_lag30d,0.0
model6_xgb_nolag,num__oil_brent_pct_30d_lag60d,0.0
model6_xgb_nolag,num__oil_brent_pct_30d_lag90d,0.0
model6_xgb_nolag,num__oil_brent_pct_30d_x_inflation,0.0
model6_xgb_nolag,num__oil_brent_pct_30d_x_net_importer,0.0
model6_xgb_nolag,num__oil_brent_pct_30d_z,0.0
model6_xgb_nolag,num__platinum_pct_30d,0.0
model6_xgb_nolag,num__platinum_pct_30d_x_plat_prod,0.0
model6_xgb_nolag,num__political_stability_est,0.0
model6_xgb_nolag,num__silver_pct_30d,0.0
model6_xgb_nolag,num__unemployment_youth,0.0
model6_xgb_nolag,num__vix_level,0.0
model6_xgb_nolag,num__vix_pct_30d,0.0
model6_xgb_nolag,num__vix_pct_30d_lag30d,0.0
model6_xgb_nolag,num__vix_pct_30d_lag60d,0.0
model6_xgb_nolag,num__voice_accountability_est,0.0
model7_xgb_nobaseline,num__gdelt_strike_28d_lag,0.35725936
model7_xgb_nobaseline,num__gdelt_protest_28d_lag,0.2261205
model7_xgb_nobaseline,num__rule_of_law_est,0.09742318
model7_xgb_nobaseline,num__government_effectiveness_est,0.0750664
model7_xgb_nobaseline,num__gdelt_strike_7d_lag,0.066178784
model7_xgb_nobaseline,num__gdp_per_capita_growth,0.06500705
model7_xgb_nobaseline,num__inflation_cpi_yoy,0.06017209
model7_xgb_nobaseline,num__unemployment_youth,0.05711694
model7_xgb_nobaseline,num__political_stability_est,0.05445811
model7_xgb_nobaseline,num__voice_accountability_est,0.047800533
model7_xgb_nobaseline,num__fao_cereals_index_yoy_lag1m,0.039403595
model7_xgb_nobaseline,num__gini_coef,0.039093696
model7_xgb_nobaseline,num__dxy_level,0.037706953
model7_xgb_nobaseline,num__gdp_growth,0.034495704
model7_xgb_nobaseline,num__fao_cereals_yoy_x_instability,0.03388929
model7_xgb_nobaseline,num__unemployment_rate,0.02937825
model7_xgb_nobaseline,num__fx_vol_30d,0.029356671
model7_xgb_nobaseline,num__energy_cpi_inflation,0.027441917
model7_xgb_nobaseline,fe__country_iso3_PHL,0.020861212
model7_xgb_nobaseline,num__fao_cereals_index_yoy,0.020436117
model7_xgb_nobaseline,num__gdelt_protest_7d_lag,0.01977367
model7_xgb_nobaseline,num__month_cos,0.019772815
model7_xgb_nobaseline,num__unemployment_rate_z,0.018745791
model7_xgb_nobaseline,fe__country_iso3_KOR,0.018421646
model7_xgb_nobaseline,num__unemployment_total,0.017914955
model7_xgb_nobaseline,num__food_cpi_inflation,0.016175048
model7_xgb_nobaseline,num__unemployment_sa,0.016004283
model7_xgb_nobaseline,num__gta_90d_count_z,0.015976671
model7_xgb_nobaseline,num__fx_pct_30d_x_instability,0.015185259
model7_xgb_nobaseline,fe__country_iso3_POL,0.014960651
model7_xgb_nobaseline,num__fao_food_index_yoy_lag3m,0.014640363
model7_xgb_nobaseline,num__gta_90d_count,0.013560916
model7_xgb_nobaseline,fe__country_iso3_DEU,0.012738376
model7_xgb_nobaseline,num__fao_cereals_index_yoy_lag3m,0.012225513
model7_xgb_nobaseline,fe__country_iso3_MAR,0.011523245
model7_xgb_nobaseline,num__yield_us10y,0.009516116
model7_xgb_nobaseline,num__dxy_vol_30d,0.007955551
model7_xgb_nobaseline,num__fao_food_index_yoy_lag1m,0.0076908018
model7_xgb_nobaseline,fe__country_iso3_JPN,0.0076617794
model7_xgb_nobaseline,num__gta_30d_count,0.006659292
model7_xgb_nobaseline,num__fx_pct_90d,0.006477231
model7_xgb_nobaseline,num__energy_cpi_inflation_z,0.0059868656
model7_xgb_nobaseline,num__fx_pct_30d,0.005612555
model7_xgb_nobaseline,num__gta_30d_count_z,0.0055484152
model7_xgb_nobaseline,num__fx_vol_30d_z,0.0054676677
model7_xgb_nobaseline,num__gdelt_protest_region_14d,0.0050215297
model7_xgb_nobaseline,num__fao_food_yoy_x_youth_unemp,0.004890675
model7_xgb_nobaseline,num__fx_pct_30d_lag30d,0.0043323855
model7_xgb_nobaseline,fe__country_iso3_IRL,0.0041788463
model7_xgb_nobaseline,num__month_sin,0.0041438355
model7_xgb_nobaseline,fe__country_iso3_CHL,0.0040488024
model7_xgb_nobaseline,num__inflation_cpi_yoy_z,0.0038898566
model7_xgb_nobaseline,num__food_cpi_inflation_z,0.0038068292
model7_xgb_nobaseline,num__copper_pct_90d,0.0037340138
model7_xgb_nobaseline,fe__country_iso3_LAO,0.0032365564
model7_xgb_nobaseline,fe__country_iso3_MOZ,0.003193596
model7_xgb_nobaseline,fe__country_iso3_CHN,0.0031731878
model7_xgb_nobaseline,num__gdelt_strike_region_14d,0.0031353713
model7_xgb_nobaseline,num__fao_oils_index_yoy_lag3m,0.0024790212
model7_xgb_nobaseline,num__gold_pct_30d_x_gold_prod,0.0023184004
model7_xgb_nobaseline,num__gta_harmful_events_z,0.0021654349
model7_xgb_nobaseline,num__vix_7d_ma,0.0020875288
model7_xgb_nobaseline,num__platinum_pct_30d_x_plat_prod,0.0020824343
model7_xgb_nobaseline,fe__country_iso3_ZAF,0.0019412171
model7_xgb_nobaseline,fe__country_iso3_BRA,0.0019350519
model7_xgb_nobaseline,fe__country_iso3_ZWE,0.0019049476
model7_xgb_nobaseline,num__gta_liberalising_events_z,0.001832143
model7_xgb_nobaseline,num__fao_oils_index_yoy_lag6m,0.00176726
model7_xgb_nobaseline,num__copper_vol_30d,0.0011681713
model7_xgb_nobaseline,num__fx_vol_7d,0.0011515724
model7_xgb_nobaseline,num__fao_oils_index_yoy,0.0011403058
model7_xgb_nobaseline,num__oil_brent_pct_30d_x_net_importer,0.0009307616
model7_xgb_nobaseline,num__oil_brent_pct_30d_z,0.00088329864
model7_xgb_nobaseline,num__oil_brent_pct_30d_x_inflation,0.0008747226
model7_xgb_nobaseline,fe__country_iso3_NAM,0.0008417895
model7_xgb_nobaseline,fe__country_iso3_ESP,0.0007198009
model7_xgb_nobaseline,num__oil_brent_pct_30d_lag90d,0.0006910073
model7_xgb_nobaseline,num__silver_pct_30d,0.0006734575
model7_xgb_nobaseline,fe__country_iso3_GRC,0.00064656907
model7_xgb_nobaseline,num__fx_pct_30d_z,0.0006315784
model7_xgb_nobaseline,num__oil_brent_pct_30d_lag30d,0.00057877536
model7_xgb_nobaseline,num__fx_pct_7d,0.00055675744
model7_xgb_nobaseline,num__fx_pct_30d_lag60d,0.0005551888
model7_xgb_nobaseline,fe__country_iso3_IDN,0.00038522843
model7_xgb_nobaseline,num__vix_level,0.0003638595
model7_xgb_nobaseline,num__oil_brent_pct_30d_lag60d,0.00034350125
model7_xgb_nobaseline,num__natgas_pct_30d,0.0002983968
model7_xgb_nobaseline,num__dxy_pct_30d,0.00026520985
model7_xgb_nobaseline,num__oil_brent_pct_14d,0.00022006079
model7_xgb_nobaseline,num__fao_food_index_yoy,0.00020849584
model7_xgb_nobaseline,fe__country_iso3_MYS,0.00018967976
model7_xgb_nobaseline,num__vix_pct_30d_lag60d,0.00017158296
model7_xgb_nobaseline,num__platinum_pct_30d,0.00014361083
model7_xgb_nobaseline,num__gold_vol_30d,0.00014262421
model7_xgb_nobaseline,fe__country_iso3_PER,0.00012522083
model7_xgb_nobaseline,num__copper_pct_30d_x_copper_prod,8.766531e-05
model7_xgb_nobaseline,num__vix_pct_30d_lag30d,3.1765187e-05
model7_xgb_nobaseline,num__copper_pct_30d,1.0165675e-05
model7_xgb_nobaseline,num__gold_pct_30d,1.6676529e-06
model7_xgb_nobaseline,fe__country_iso3_AUS,0.0
model7_xgb_nobaseline,fe__country_iso3_BOL,0.0
model7_xgb_nobaseline,fe__country_iso3_CAN,0.0
model7_xgb_nobaseline,fe__country_iso3_FRA,0.0
model7_xgb_nobaseline,fe__country_iso3_GBR,0.0
model7_xgb_nobaseline,fe__country_iso3_HUN,0.0
model7_xgb_nobaseline,fe__country_iso3_IND,0.0
model7_xgb_nobaseline,fe__country_iso3_ITA,0.0
model7_xgb_nobaseline,fe__country_iso3_KEN,0.0
model7_xgb_nobaseline,fe__country_iso3_MEX,0.0
model7_xgb_nobaseline,fe__country_iso3_NLD,0.0
model7_xgb_nobaseline,fe__country_iso3_NOR,0.0
model7_xgb_nobaseline,fe__country_iso3_PRT,0.0
model7_xgb_nobaseline,fe__country_iso3_SWE,0.0
model7_xgb_nobaseline,fe__country_iso3_THA,0.0
