feature,importance
num__country_strike_baseline,0.13738424
num__gdelt_strike_28d_lag,0.10961626
num__country_protest_baseline,0.10012692
fe__country_iso3_CHN,0.039841287
num__gdelt_protest_28d_lag,0.035204582
num__unemployment_total,0.027640196
num__gdelt_strike_7d_lag,0.026050812
num__rule_of_law_est,0.024574198
num__gini_coef,0.024177697
fe__country_iso3_ZAF,0.021242311
num__unemployment_sa,0.019773481
num__unemployment_rate,0.017734587
fe__country_iso3_KOR,0.01773365
num__gdp_per_capita_growth,0.015724542
num__unemployment_youth,0.015604532
