target,model_label,model_name,eval_type,period,roc_auc,pr_auc,brier,brier_skill_score
protest_7d,M6 XGBoost Full,model5_xgb,static,2020,0.8465,0.8048,0.1538,0.3442
protest_7d,M6 XGBoost Full,model5_xgb,static,2021,0.8548,0.8049,0.1406,0.3937
protest_7d,M6 XGBoost Full,model5_xgb,expanding_monthly_avg,2020,0.8724,0.8379,0.1401,0.3883
protest_7d,M6 XGBoost Full,model5_xgb,expanding_monthly_avg,2021,0.8693,0.8316,0.1354,0.4114
protest_7d,M7 XGBoost No Lags,model6_xgb_nolag,static,2020,0.8159,0.7593,0.1656,0.2939
protest_7d,M7 XGBoost No Lags,model6_xgb_nolag,static,2021,0.8356,0.7718,0.1505,0.3511
protest_7d,M7 XGBoost No Lags,model6_xgb_nolag,expanding_monthly_avg,2020,0.8705,0.8316,0.1418,0.3815
protest_7d,M7 XGBoost No Lags,model6_xgb_nolag,expanding_monthly_avg,2021,0.8694,0.8333,0.1362,0.4081
strike_7d,M6 XGBoost Full,model5_xgb,static,2020,0.8733,0.7387,0.1004,0.4239
strike_7d,M6 XGBoost Full,model5_xgb,static,2021,0.8852,0.7798,0.0855,0.489
strike_7d,M6 XGBoost Full,model5_xgb,expanding_monthly_avg,2020,0.8954,0.8016,0.1047,0.3977
strike_7d,M6 XGBoost Full,model5_xgb,expanding_monthly_avg,2021,0.9073,0.8162,0.0964,0.4194
strike_7d,M7 XGBoost No Lags,model6_xgb_nolag,static,2020,0.8623,0.7449,0.1071,0.3855
strike_7d,M7 XGBoost No Lags,model6_xgb_nolag,static,2021,0.8699,0.7211,0.0976,0.4171
strike_7d,M7 XGBoost No Lags,model6_xgb_nolag,expanding_monthly_avg,2020,0.895,0.8051,0.1051,0.3944
strike_7d,M7 XGBoost No Lags,model6_xgb_nolag,expanding_monthly_avg,2021,0.9056,0.8123,0.0959,0.4217
