event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
SAU83010,2025-02-15,2,Strategic developments,Arrests,Military Forces of Saudi Arabia (2015-) Border Guard,,Civilians (International),Civilians (Ethiopia); Civilians (Yemen); Migrants (Ethiopia); Migrants (International); Migrants (Yemen),Saudi Arabia,Najran,Najran,Najran,17.4933,44.1277,3,Regional,0,SAU
SAU83011,2025-03-01,2,Strategic developments,Arrests,Military Forces of Saudi Arabia (2015-) Border Guard,,Civilians (International),Civilians (Ethiopia); Civilians (Yemen); Migrants (Ethiopia); Migrants (International); Migrants (Yemen),Saudi Arabia,Najran,Najran,Najran,17.4933,44.1277,3,Regional,0,SAU
SAU83012,2025-03-08,2,Strategic developments,Arrests,Military Forces of Saudi Arabia (2015-) Border Guard,,Civilians (International),Civilians (Ethiopia); Civilians (Yemen); Migrants (Ethiopia); Migrants (International); Migrants (Yemen),Saudi Arabia,Najran,Najran,Najran,17.4933,44.1277,3,Regional,0,SAU
