model_name,fold_id,brier_raw,brier_calibrated,cal_method,brier_val_isotonic,brier_val_sigmoid
model5_xgb,1,0.2501080547271293,0.15611459044773662,isotonic,0.1041631710435618,0.11300814714751176
model6_xgb_nolag,1,0.23236799592350135,0.37259277276299413,isotonic,0.10159402223779435,0.11336460947897674
model5_xgb,2,0.24270574931403616,0.1557501025055232,isotonic,0.10649599331565125,0.12109252882247233
model6_xgb_nolag,2,0.222705261996256,0.18415030480572825,isotonic,0.11498006016448639,0.12328556538569906
