roc_auc,pr_auc,brier,brier_skill_score,country_iso3,model_name,fold_id,n,pos_rate
0.662547471215866,0.23174334740754327,0.17168757076996805,-0.3863753228079958,CHL,model0_persistence,1,366,0.1448087431693989
0.7603711003220689,0.5834690678804841,0.19443586667472243,-0.23837785852684812,CHL,model0_persistence,2,364,0.19505494505494506
0.6211344867080595,0.34739621744688465,0.29884662302254034,-1.413183328326446,CHL,model1_markets,1,366,0.1448087431693989
0.6314473873960488,0.2734087021907732,0.20637312276969969,-0.31440721407941763,CHL,model1_markets,2,364,0.19505494505494506
0.6466333112303333,0.36043655410333253,0.4696087918678306,-2.792086040354881,CHL,model2_full,1,366,0.1448087431693989
0.5251165697255203,0.18534070110812073,0.19504187901610073,-0.24223760044788145,CHL,model2_full,2,364,0.19505494505494506
0.6471155585026223,0.3648779474060716,0.4677444056263594,-2.777031141122708,CHL,model3_structural,1,366,0.1448087431693989
0.5412200163437966,0.1904702447776167,0.19505494458194753,-0.24232081610006806,CHL,model3_structural,2,364,0.19505494505494506
0.5988305503646996,0.3847901302804664,0.6140666008164909,-3.9585813237069063,CHL,model4_fao,1,366,0.1448087431693989
0.5330961880498005,0.18768781588213956,0.19509259711497537,-0.2425606281471795,CHL,model4_fao,2,364,0.19505494505494506
0.5192296099825185,0.15977775541249387,0.15611459044773662,-0.2606236709878238,CHL,model5_xgb,1,366,0.1448087431693989
0.6283228380522041,0.28011902200512123,0.1557501025055232,0.008014921810709952,CHL,model5_xgb,2,364,0.19505494505494506
0.32985713424558444,0.1279113835173884,0.37259277276299413,-2.0086827095207456,CHL,model6_xgb_nolag,1,366,0.1448087431693989
0.4786328894870932,0.19324994871696136,0.18415030480572825,-0.1728682779185582,CHL,model6_xgb_nolag,2,364,0.19505494505494506
0.5758032431129062,0.3127875682157262,0.6038889403924069,-3.8763968231481867,CHL,model_lr_nolag,1,366,0.1448087431693989
0.5030043743690814,0.17842830523581998,0.19505510441432672,-0.24232183408549868,CHL,model_lr_nolag,2,364,0.19505494505494506
