model_name,feature,mean_abs_shap,mean_shap
model5_xgb,num__fao_food_yoy_x_youth_unemp,0.0,0.0
model5_xgb,num__fao_oils_index_yoy,0.0,0.0
model5_xgb,num__fao_oils_index_yoy_lag1m,0.0,0.0
model5_xgb,num__fao_oils_index_yoy_lag3m,0.0,0.0
model5_xgb,num__food_cpi_inflation,0.0,0.0
model5_xgb,num__fx_pct_30d,0.0,0.0
model5_xgb,num__fx_pct_30d_x_instability,0.0,0.0
model5_xgb,num__fx_pct_30d_z,0.0,0.0
model5_xgb,num__fx_pct_7d,0.0,0.0
model5_xgb,num__gdelt_protest_28d_lag,0.0,0.0
model5_xgb,num__gdelt_protest_7d_lag,0.0,0.0
model5_xgb,num__gdelt_strike_region_14d,0.0,0.0
model5_xgb,num__gdp_growth,0.0,0.0
model5_xgb,num__gdp_per_capita_growth,0.0,0.0
model5_xgb,num__gini_coef,0.0,0.0
model5_xgb,num__gold_pct_30d_x_gold_prod,0.0,0.0
model5_xgb,num__gold_vol_30d,0.0,0.0
model5_xgb,num__government_effectiveness_est,0.0,0.0
model5_xgb,num__gta_30d_count,0.0,0.0
model5_xgb,num__gta_30d_count_z,0.0,0.0
model5_xgb,num__gta_90d_count,0.0,0.0
model5_xgb,num__gta_harmful_events,0.0,0.0
model5_xgb,num__gta_liberalising_events,0.0,0.0
model5_xgb,num__inflation_accel,0.0,0.0
model5_xgb,num__inflation_cpi_yoy,0.0,0.0
model5_xgb,num__inflation_cpi_yoy_z,0.0,0.0
model5_xgb,num__month_cos,0.0,0.0
model5_xgb,num__oil_brent_pct_30d,0.0,0.0
model5_xgb,num__oil_brent_pct_30d_x_inflation,0.0,0.0
model5_xgb,num__oil_brent_pct_30d_x_net_importer,0.0,0.0
model5_xgb,num__oil_brent_pct_30d_z,0.0,0.0
model5_xgb,num__platinum_pct_30d,0.0,0.0
model5_xgb,num__platinum_pct_30d_x_plat_prod,0.0,0.0
model5_xgb,num__political_stability_est,0.0,0.0
model5_xgb,num__rule_of_law_est,0.0,0.0
model5_xgb,num__silver_pct_30d,0.0,0.0
model5_xgb,num__unemployment_total,0.0,0.0
model5_xgb,num__unemployment_youth,0.0,0.0
model5_xgb,num__vix_level,0.0,0.0
model5_xgb,num__vix_pct_30d_lag30d,0.0,0.0
model5_xgb,num__voice_accountability_est,0.0,0.0
model6_xgb_nolag,num__fx_vol_30d_z,0.059231028,-0.059231028
model6_xgb_nolag,num__gta_liberalising_events_z,0.0370958,-0.028186735
model6_xgb_nolag,num__fao_cereals_index_yoy_lag1m,0.03053777,0.012598843
model6_xgb_nolag,num__unemployment_rate,0.027165836,0.027165836
model6_xgb_nolag,num__unemployment_rate_z,0.01953009,-0.018937789
model6_xgb_nolag,num__copper_pct_30d,0.0168687,0.00083703734
model6_xgb_nolag,num__dxy_level,0.016095417,-0.015228166
model6_xgb_nolag,num__gold_pct_30d,0.0151211005,-0.0055086305
model6_xgb_nolag,num__month_cos,0.014695518,0.0018802519
model6_xgb_nolag,num__gta_30d_count_z,0.0127444975,0.00024660164
model6_xgb_nolag,num__energy_cpi_inflation_z,0.012668593,-0.0028491549
model6_xgb_nolag,num__platinum_pct_30d,0.011502375,-0.0043303194
model6_xgb_nolag,num__fx_pct_30d_z,0.011143511,-0.011131884
model6_xgb_nolag,num__oil_brent_pct_30d_lag30d,0.010961264,-0.009052664
model6_xgb_nolag,num__vix_pct_30d_lag60d,0.009508029,-0.0017615187
model6_xgb_nolag,num__natgas_pct_30d,0.008767139,-0.0054598097
model6_xgb_nolag,num__fao_food_index_yoy,0.008569636,-0.008569636
model6_xgb_nolag,num__energy_cpi_inflation,0.008544987,0.0062343394
model6_xgb_nolag,num__food_cpi_inflation,0.008431915,-0.008394852
model6_xgb_nolag,num__fao_cereals_index_yoy_lag3m,0.008293512,-0.008293512
model6_xgb_nolag,num__oil_brent_pct_30d_z,0.0070215426,-0.0043313564
model6_xgb_nolag,num__yield_us10y,0.0064515984,-0.0064515984
model6_xgb_nolag,num__fx_trend_consistent,0.0064475858,8.670228e-05
model6_xgb_nolag,num__fx_pct_30d_x_instability,0.005999616,-0.004981243
model6_xgb_nolag,num__fx_pct_30d_lag30d,0.0057508233,0.0009929722
model6_xgb_nolag,num__fx_pct_30d_lag60d,0.0055749672,0.00057043537
model6_xgb_nolag,num__unemployment_sa,0.0049333335,0.0049333335
model6_xgb_nolag,num__oil_brent_pct_30d_lag60d,0.0048138928,-0.0024376214
model6_xgb_nolag,num__month_sin,0.004495097,0.0024003952
model6_xgb_nolag,num__fx_pct_90d,0.004233019,-0.0019194128
model6_xgb_nolag,num__gold_vol_30d,0.003869946,-0.0017950779
model6_xgb_nolag,num__vix_7d_ma,0.003639715,-0.0024258702
model6_xgb_nolag,num__oil_brent_pct_30d_lag90d,0.0032697516,0.0001735711
model6_xgb_nolag,num__vix_pct_30d,0.0031503753,-0.002429336
model6_xgb_nolag,num__vix_pct_30d_lag30d,0.0028741308,0.0012908888
model6_xgb_nolag,num__food_cpi_inflation_z,0.0028542653,-0.0020594036
model6_xgb_nolag,num__oil_brent_pct_30d_x_net_importer,0.0019003472,-0.0016610944
model6_xgb_nolag,num__oil_brent_pct_30d_x_inflation,0.0017237976,-0.0015991784
model6_xgb_nolag,num__fx_vol_30d,0.0015809919,-0.0014364327
model6_xgb_nolag,num__fx_vol_7d,0.0010714377,0.0006084832
model6_xgb_nolag,num__copper_vol_30d,0.0010595397,-0.00048070177
model6_xgb_nolag,num__dxy_vol_30d,0.0008941646,0.00017582547
model6_xgb_nolag,num__gta_90d_count,0.00059954403,-0.0001654909
model6_xgb_nolag,num__fx_pct_7d,0.00039205395,-7.300087e-05
model6_xgb_nolag,num__oil_brent_pct_30d,0.00022867182,-0.00017780815
model6_xgb_nolag,num__gta_harmful_events_z,0.00020505764,0.00012632704
model6_xgb_nolag,num__fx_pct_30d,0.00015856948,-5.8791687e-05
model6_xgb_nolag,num__copper_pct_30d_x_copper_prod,0.0,0.0
model6_xgb_nolag,num__copper_pct_90d,0.0,0.0
model6_xgb_nolag,num__covid_period,0.0,0.0
model6_xgb_nolag,num__dxy_pct_30d,0.0,0.0
model6_xgb_nolag,num__fao_cereals_index_yoy,0.0,0.0
model6_xgb_nolag,num__fao_cereals_index_yoy_above90,0.0,0.0
model6_xgb_nolag,num__fao_cereals_index_yoy_lag6m,0.0,0.0
model6_xgb_nolag,num__fao_cereals_yoy_x_instability,0.0,0.0
model6_xgb_nolag,num__fao_food_index_yoy_above90,0.0,0.0
model6_xgb_nolag,num__fao_food_index_yoy_lag1m,0.0,0.0
model6_xgb_nolag,num__fao_food_index_yoy_lag3m,0.0,0.0
model6_xgb_nolag,num__fao_food_index_yoy_lag6m,0.0,0.0
model6_xgb_nolag,num__fao_food_yoy_x_youth_unemp,0.0,0.0
model6_xgb_nolag,num__fao_oils_index_yoy,0.0,0.0
model6_xgb_nolag,num__fao_oils_index_yoy_lag1m,0.0,0.0
model6_xgb_nolag,num__fao_oils_index_yoy_lag3m,0.0,0.0
model6_xgb_nolag,num__fao_oils_index_yoy_lag6m,0.0,0.0
model6_xgb_nolag,num__gdp_growth,0.0,0.0
model6_xgb_nolag,num__gdp_per_capita_growth,0.0,0.0
model6_xgb_nolag,num__gini_coef,0.0,0.0
model6_xgb_nolag,num__gold_pct_30d_x_gold_prod,0.0,0.0
model6_xgb_nolag,num__government_effectiveness_est,0.0,0.0
model6_xgb_nolag,num__gta_30d_count,0.0,0.0
model6_xgb_nolag,num__gta_90d_count_z,0.0,0.0
