feature,coefficient,fold_id,event_type,horizon,model_name,target
num__gdelt_protest_7d_lag,0.2480302727581345,1,protest,7,model1_markets,protest_7d
num__gdelt_protest_28d_lag,0.5446762241738093,1,protest,7,model1_markets,protest_7d
num__gdelt_strike_7d_lag,-0.152029255356727,1,protest,7,model1_markets,protest_7d
num__gdelt_strike_28d_lag,0.3020774429197917,1,protest,7,model1_markets,protest_7d
num__gdelt_protest_region_14d,0.1246554460512581,1,protest,7,model1_markets,protest_7d
num__gdelt_strike_region_14d,-0.1121983157904699,1,protest,7,model1_markets,protest_7d
num__fx_pct_7d,0.0261885707057645,1,protest,7,model1_markets,protest_7d
num__fx_pct_30d,-0.8511135521873556,1,protest,7,model1_markets,protest_7d
num__fx_pct_90d,-0.1344524455616755,1,protest,7,model1_markets,protest_7d
num__fx_vol_7d,-0.0230953593305247,1,protest,7,model1_markets,protest_7d
num__fx_vol_30d,-0.2060290238449832,1,protest,7,model1_markets,protest_7d
num__oil_brent_pct_14d,0.0276656799433781,1,protest,7,model1_markets,protest_7d
num__oil_brent_pct_30d,0.0937849952472684,1,protest,7,model1_markets,protest_7d
num__yield_us10y,-0.0894100789697859,1,protest,7,model1_markets,protest_7d
num__fx_pct_30d_z,0.090743147986076,1,protest,7,model1_markets,protest_7d
num__fx_vol_30d_z,0.0350230572518488,1,protest,7,model1_markets,protest_7d
num__copper_pct_30d,0.006388984878497,1,protest,7,model1_markets,protest_7d
num__copper_pct_90d,0.0615998946351945,1,protest,7,model1_markets,protest_7d
num__copper_vol_30d,0.0321652534433898,1,protest,7,model1_markets,protest_7d
num__gold_pct_30d,-0.08519812620364,1,protest,7,model1_markets,protest_7d
num__gold_vol_30d,0.0420864069295334,1,protest,7,model1_markets,protest_7d
num__platinum_pct_30d,0.0053805756252462,1,protest,7,model1_markets,protest_7d
num__silver_pct_30d,-0.0077553041959851,1,protest,7,model1_markets,protest_7d
num__natgas_pct_30d,0.0633715359596579,1,protest,7,model1_markets,protest_7d
num__vix_pct_30d,-0.0181694979651732,1,protest,7,model1_markets,protest_7d
num__vix_7d_ma,0.0880275858635246,1,protest,7,model1_markets,protest_7d
num__dxy_level,0.1710117263061771,1,protest,7,model1_markets,protest_7d
num__dxy_pct_30d,-0.1267437502956411,1,protest,7,model1_markets,protest_7d
num__dxy_vol_30d,0.1028139902318514,1,protest,7,model1_markets,protest_7d
num__oil_brent_pct_30d_lag30d,-0.019731393692383,1,protest,7,model1_markets,protest_7d
num__oil_brent_pct_30d_lag60d,0.0881776809994342,1,protest,7,model1_markets,protest_7d
num__oil_brent_pct_30d_lag90d,-0.0087755187949249,1,protest,7,model1_markets,protest_7d
