roc_auc,pr_auc,brier,country_iso3,n_obs,pos_rate
0.590035148473789,0.823630509161627,0.2185005982747807,THA,7240,0.7569060773480663
0.5821211195555664,0.6978452281203528,0.24840852236932762,DEU,7240,0.6256906077348067
0.5788849770977487,0.11207076082255188,0.10148450618657547,PRT,7240,0.0856353591160221
0.5696757589285715,0.3556872795970406,0.2542421033707392,IDN,7240,0.30939226519337015
0.5661332036596787,0.09870167209493684,0.10395876998117196,PER,7240,0.08701657458563536
0.5653685096153847,0.17651923580501483,0.13954960862115282,SWE,7240,0.13812154696132597
0.5635070015306991,0.26719995383053746,0.285160822861915,ZWE,7240,0.21408839779005526
0.5588442410714285,0.7395089617791936,0.23705258283538502,PHL,7240,0.6906077348066298
0.5567368634886241,0.24418668555349454,0.18285550434794348,CHL,7240,0.2154696132596685
0.5562996299871299,0.6678850072442952,0.2695637749268308,FRA,7240,0.6132596685082873
0.5466384351989333,0.288998421882945,0.20236562944329592,MEX,7240,0.2527624309392265
0.5333377146862951,0.8907572214681152,0.13882250021565928,ZAF,7240,0.8756906077348067
0.5288185470209574,0.20840520816543637,0.19439131235160725,KEN,7240,0.19613259668508287
0.5279210261569417,0.03874536061075007,0.05222202532495013,NOR,7240,0.019337016574585635
0.5259821428571428,0.3700935254530776,0.24563325592023036,POL,7240,0.34806629834254144
0.5202155047279363,0.7708167355127183,0.217352689238197,IRL,7240,0.7569060773480663
0.5150447686116699,0.024490904613085344,0.06226143434791922,BOL,7240,0.019337016574585635
0.5118161515740941,0.0917145624614166,0.1319995577118249,ARG,7240,0.08701657458563536
0.5040692825692826,0.18713709758691546,0.18371414399492791,BRA,7240,0.17955801104972377
0.5021946778711485,0.9859053138311192,0.033352874982576636,CAN,7240,0.9861878453038674
0.4979160694630314,0.4092565204461407,0.3061363633480339,KOR,7240,0.4046961325966851
0.4887523148148148,0.5427528109747448,0.28377676612221536,TUR,7240,0.5524861878453039
0.4867818647049416,0.23228922920344114,0.20971860422688213,NLD,7240,0.23342541436464087
0.4821685781230731,0.36072355698008185,0.2592087040918538,CHN,7240,0.3660220994475138
0.47465261590261587,0.03004862876914582,0.040891970507251456,NAM,7240,0.03038674033149171
0.47041635466466986,0.8881173121225976,0.13585043344970765,AUS,7240,0.888121546961326
0.45659437040419315,0.25057973514688325,0.24353280194468807,GRC,7240,0.2776243093922652
0.45458856345885634,0.00911406711338926,0.0414948556946514,LAO,7240,0.009668508287292817
0.45085420743639926,0.17645098948640214,0.18994861128317794,JPN,7240,0.19337016574585636
0.4421964360807401,0.28415051010222797,0.28588627994564025,ESP,7240,0.32044198895027626
0.43863689224851277,0.1916594750905688,0.22605307110125397,ITA,7240,0.21823204419889503
0.42617793290249867,0.2495022631649491,0.3660452032666931,MYS,7240,0.29972375690607733
0.42003827135406085,0.02783508421156576,0.07601493273675158,VNM,7240,0.029005524861878452
0.41022929216867465,0.0649744540550137,0.11174423412739784,HUN,7240,0.08287292817679558
0.35564495157819226,0.06755273288901172,0.175565286317776,MAR,7240,0.09392265193370165
