feature,importance,fold_id,event_type,horizon,model_name
fe__country_iso3_CAN,0.0,1,protest,7,model5_xgb
fe__country_iso3_CHL,0.006300692,1,protest,7,model5_xgb
fe__country_iso3_CHN,0.0,1,protest,7,model5_xgb
fe__country_iso3_DEU,0.0,1,protest,7,model5_xgb
fe__country_iso3_ESP,0.0,1,protest,7,model5_xgb
fe__country_iso3_FRA,0.0,1,protest,7,model5_xgb
fe__country_iso3_GBR,0.0,1,protest,7,model5_xgb
fe__country_iso3_GRC,0.010676633,1,protest,7,model5_xgb
fe__country_iso3_HUN,0.0,1,protest,7,model5_xgb
fe__country_iso3_IDN,0.0,1,protest,7,model5_xgb
fe__country_iso3_IND,0.0,1,protest,7,model5_xgb
fe__country_iso3_IRL,0.0,1,protest,7,model5_xgb
fe__country_iso3_ITA,0.0,1,protest,7,model5_xgb
fe__country_iso3_JPN,0.0,1,protest,7,model5_xgb
fe__country_iso3_KEN,0.0,1,protest,7,model5_xgb
fe__country_iso3_KOR,0.0,1,protest,7,model5_xgb
fe__country_iso3_LAO,0.0,1,protest,7,model5_xgb
fe__country_iso3_MAR,0.0,1,protest,7,model5_xgb
fe__country_iso3_MEX,0.0,1,protest,7,model5_xgb
fe__country_iso3_MOZ,0.014551185,1,protest,7,model5_xgb
fe__country_iso3_MYS,0.029693583,1,protest,7,model5_xgb
fe__country_iso3_NAM,0.0,1,protest,7,model5_xgb
fe__country_iso3_NLD,0.0,1,protest,7,model5_xgb
fe__country_iso3_NOR,0.0,1,protest,7,model5_xgb
fe__country_iso3_PER,0.0,1,protest,7,model5_xgb
fe__country_iso3_PHL,0.029484725,1,protest,7,model5_xgb
fe__country_iso3_POL,0.0,1,protest,7,model5_xgb
fe__country_iso3_PRT,0.0,1,protest,7,model5_xgb
fe__country_iso3_SWE,0.0,1,protest,7,model5_xgb
fe__country_iso3_THA,0.0,1,protest,7,model5_xgb
fe__country_iso3_TUR,0.0,1,protest,7,model5_xgb
fe__country_iso3_USA,0.0,1,protest,7,model5_xgb
fe__country_iso3_VNM,0.0,1,protest,7,model5_xgb
fe__country_iso3_ZAF,0.0,1,protest,7,model5_xgb
fe__country_iso3_ZWE,0.0,1,protest,7,model5_xgb
num__fx_pct_7d,0.0,1,protest,7,model6_xgb_nolag
num__fx_pct_30d,0.008893328,1,protest,7,model6_xgb_nolag
num__fx_pct_90d,0.0060570273,1,protest,7,model6_xgb_nolag
num__fx_vol_7d,0.0,1,protest,7,model6_xgb_nolag
num__fx_vol_30d,0.013629974,1,protest,7,model6_xgb_nolag
num__oil_brent_pct_14d,0.008726501,1,protest,7,model6_xgb_nolag
num__oil_brent_pct_30d,0.0,1,protest,7,model6_xgb_nolag
num__yield_us10y,0.0,1,protest,7,model6_xgb_nolag
num__fx_pct_30d_z,0.0,1,protest,7,model6_xgb_nolag
num__fx_vol_30d_z,0.006340875,1,protest,7,model6_xgb_nolag
num__oil_brent_pct_30d_z,0.00066495093,1,protest,7,model6_xgb_nolag
num__copper_pct_30d,0.0,1,protest,7,model6_xgb_nolag
num__copper_pct_90d,0.0035526254,1,protest,7,model6_xgb_nolag
num__copper_vol_30d,0.0,1,protest,7,model6_xgb_nolag
num__gold_pct_30d,0.0,1,protest,7,model6_xgb_nolag
num__gold_vol_30d,0.0,1,protest,7,model6_xgb_nolag
num__platinum_pct_30d,0.0,1,protest,7,model6_xgb_nolag
num__silver_pct_30d,0.0048821964,1,protest,7,model6_xgb_nolag
num__natgas_pct_30d,0.0077336207,1,protest,7,model6_xgb_nolag
num__vix_level,0.0,1,protest,7,model6_xgb_nolag
num__vix_pct_30d,0.0059551084,1,protest,7,model6_xgb_nolag
num__vix_7d_ma,0.007449425,1,protest,7,model6_xgb_nolag
num__dxy_level,0.0072572334,1,protest,7,model6_xgb_nolag
num__dxy_pct_30d,0.006392353,1,protest,7,model6_xgb_nolag
num__dxy_vol_30d,0.0,1,protest,7,model6_xgb_nolag
num__oil_brent_pct_30d_lag30d,0.0020712162,1,protest,7,model6_xgb_nolag
num__oil_brent_pct_30d_lag60d,0.010456476,1,protest,7,model6_xgb_nolag
num__oil_brent_pct_30d_lag90d,0.006872017,1,protest,7,model6_xgb_nolag
num__vix_pct_30d_lag30d,0.0019632424,1,protest,7,model6_xgb_nolag
num__vix_pct_30d_lag60d,0.0015607775,1,protest,7,model6_xgb_nolag
num__fx_pct_30d_lag30d,0.0,1,protest,7,model6_xgb_nolag
num__fx_pct_30d_lag60d,0.01565544,1,protest,7,model6_xgb_nolag
num__gdp_growth,0.0,1,protest,7,model6_xgb_nolag
num__gdp_per_capita_growth,0.016452665,1,protest,7,model6_xgb_nolag
num__inflation_cpi_yoy,0.005870917,1,protest,7,model6_xgb_nolag
num__inflation_cpi_yoy_z,0.0077772504,1,protest,7,model6_xgb_nolag
num__unemployment_total,0.0520142,1,protest,7,model6_xgb_nolag
num__unemployment_youth,0.012690295,1,protest,7,model6_xgb_nolag
num__unemployment_sa,0.010997345,1,protest,7,model6_xgb_nolag
num__unemployment_rate,0.008789406,1,protest,7,model6_xgb_nolag
num__unemployment_rate_z,0.009912569,1,protest,7,model6_xgb_nolag
num__political_stability_est,0.008224932,1,protest,7,model6_xgb_nolag
num__voice_accountability_est,0.008678088,1,protest,7,model6_xgb_nolag
num__government_effectiveness_est,0.06690595,1,protest,7,model6_xgb_nolag
num__rule_of_law_est,0.16383538,1,protest,7,model6_xgb_nolag
num__fx_pct_30d_x_instability,0.0,1,protest,7,model6_xgb_nolag
num__oil_brent_pct_30d_x_inflation,0.0,1,protest,7,model6_xgb_nolag
num__food_cpi_inflation,0.00829588,1,protest,7,model6_xgb_nolag
num__food_cpi_inflation_z,0.0024642916,1,protest,7,model6_xgb_nolag
num__energy_cpi_inflation,0.003649196,1,protest,7,model6_xgb_nolag
num__energy_cpi_inflation_z,0.0,1,protest,7,model6_xgb_nolag
num__gini_coef,0.010878157,1,protest,7,model6_xgb_nolag
num__covid_period,0.0,1,protest,7,model6_xgb_nolag
num__fx_trend_consistent,0.0,1,protest,7,model6_xgb_nolag
num__inflation_accel,0.0,1,protest,7,model6_xgb_nolag
num__country_protest_baseline,0.119559385,1,protest,7,model6_xgb_nolag
num__country_strike_baseline,0.11513705,1,protest,7,model6_xgb_nolag
num__copper_pct_30d_x_copper_prod,0.0,1,protest,7,model6_xgb_nolag
num__gold_pct_30d_x_gold_prod,0.008871996,1,protest,7,model6_xgb_nolag
num__platinum_pct_30d_x_plat_prod,0.0,1,protest,7,model6_xgb_nolag
num__oil_brent_pct_30d_x_net_importer,0.012542736,1,protest,7,model6_xgb_nolag
num__month_sin,0.0043730135,1,protest,7,model6_xgb_nolag
num__month_cos,0.007177293,1,protest,7,model6_xgb_nolag
num__fao_food_index_yoy,0.0061846166,1,protest,7,model6_xgb_nolag
num__fao_cereals_index_yoy,0.0037786963,1,protest,7,model6_xgb_nolag
num__fao_oils_index_yoy,0.017248558,1,protest,7,model6_xgb_nolag
num__fao_food_index_yoy_above90,0.0,1,protest,7,model6_xgb_nolag
num__fao_cereals_index_yoy_above90,0.0,1,protest,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag1m,0.006236793,1,protest,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag3m,0.013779756,1,protest,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag6m,0.0,1,protest,7,model6_xgb_nolag
num__fao_food_index_yoy_lag1m,0.0,1,protest,7,model6_xgb_nolag
num__fao_food_index_yoy_lag3m,0.003055817,1,protest,7,model6_xgb_nolag
num__fao_food_index_yoy_lag6m,0.0,1,protest,7,model6_xgb_nolag
num__fao_oils_index_yoy_lag1m,0.0,1,protest,7,model6_xgb_nolag
num__fao_oils_index_yoy_lag3m,0.0,1,protest,7,model6_xgb_nolag
num__fao_oils_index_yoy_lag6m,0.0,1,protest,7,model6_xgb_nolag
num__fao_cereals_yoy_x_instability,0.0,1,protest,7,model6_xgb_nolag
num__fao_food_yoy_x_youth_unemp,0.0048627513,1,protest,7,model6_xgb_nolag
num__gta_harmful_events,0.0,1,protest,7,model6_xgb_nolag
num__gta_harmful_events_z,0.06566408,1,protest,7,model6_xgb_nolag
num__gta_liberalising_events,0.0,1,protest,7,model6_xgb_nolag
num__gta_liberalising_events_z,0.007946621,1,protest,7,model6_xgb_nolag
num__gta_30d_count,0.004862077,1,protest,7,model6_xgb_nolag
num__gta_30d_count_z,0.0061266776,1,protest,7,model6_xgb_nolag
num__gta_90d_count,0.016683182,1,protest,7,model6_xgb_nolag
num__gta_90d_count_z,0.005301294,1,protest,7,model6_xgb_nolag
fe__country_iso3_AUS,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_BOL,0.009424328,1,protest,7,model6_xgb_nolag
fe__country_iso3_BRA,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_CAN,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_CHL,0.011810396,1,protest,7,model6_xgb_nolag
fe__country_iso3_CHN,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_DEU,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_ESP,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_FRA,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_GBR,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_GRC,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_HUN,0.0075487634,1,protest,7,model6_xgb_nolag
fe__country_iso3_IDN,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_IND,0.0,1,protest,7,model6_xgb_nolag
fe__country_iso3_IRL,0.0,1,protest,7,model6_xgb_nolag
