feature,importance
num__country_protest_baseline,0.15672703
num__country_strike_baseline,0.11495974
num__gdelt_protest_28d_lag,0.09138635
num__gdelt_protest_7d_lag,0.036227893
num__gdelt_strike_28d_lag,0.033108108
num__rule_of_law_est,0.028457042
num__gdelt_strike_7d_lag,0.027109776
num__unemployment_youth,0.024180617
fe__country_iso3_PHL,0.02032601
num__unemployment_sa,0.020092912
num__unemployment_total,0.020064626
num__unemployment_rate,0.019927012
num__gini_coef,0.018894417
num__inflation_cpi_yoy_z,0.017749486
fe__country_iso3_KEN,0.017660264
