roc_auc,pr_auc,brier,fold_id,event_type,horizon,model_name,n_train,n_test,pos_rate
0.8637341193555174,0.8328228415177148,0.15171915580768816,1,protest,7,model0_persistence,42705,14274,0.3758582037270562
0.8476249605491248,0.817737469016702,0.18200765060503454,1,protest,7,model1_markets,42705,14274,0.3758582037270562
0.8412907269809047,0.8131890728687462,0.18948913664786893,1,protest,7,model2_full,42705,14274,0.3758582037270562
0.8423110989578064,0.7956274288832632,0.18739763045473734,1,protest,7,model3_structural,42705,14274,0.3758582037270562
0.7631303130534826,0.664547174962781,0.3216546641834828,1,protest,7,model4_fao,42705,14274,0.3758582037270562
0.8650843984590177,0.8253343227797159,0.15054511487661415,1,protest,7,model5_xgb,42705,14274,0.3758582037270562
0.8519112530267464,0.8113720509431754,0.15775680242112575,1,protest,7,model6_xgb_nolag,42705,14274,0.3758582037270562
0.8540003056690947,0.8204212702438421,0.1452945738242961,1,protest,7,model7_xgb_nobaseline,42705,14274,0.3758582037270562
0.8456161120460299,0.8009401634921053,0.1594065719218526,1,protest,7,model5_income_group,42705,14274,0.3758582037270562
0.8192449450313446,0.7764034363627811,0.17349783086618997,1,protest,7,model6_income_group_nolag,42705,14274,0.3758582037270562
0.8754979457442883,0.8381269658494905,0.14051486827259121,2,protest,7,model0_persistence,56979,13962,0.36542042687294085
0.8727342130249456,0.835505624899257,0.1334924677351978,2,protest,7,model1_markets,56979,13962,0.36542042687294085
0.8711316015584557,0.8332015858818419,0.13417740876564346,2,protest,7,model2_full,56979,13962,0.36542042687294085
0.8744646679521065,0.8366687567680087,0.13256800597563875,2,protest,7,model3_structural,56979,13962,0.36542042687294085
0.7878611317829594,0.7272056256440379,0.2537182322078919,2,protest,7,model4_fao,56979,13962,0.36542042687294085
0.8757555572859933,0.8372353926150644,0.1340957278985712,2,protest,7,model5_xgb,56979,13962,0.36542042687294085
0.8710982746552718,0.8318399565529799,0.13596100544225112,2,protest,7,model6_xgb_nolag,56979,13962,0.36542042687294085
0.8575502414403062,0.8205686887809915,0.1411373932451435,2,protest,7,model7_xgb_nobaseline,56979,13962,0.36542042687294085
0.8170837267375339,0.7972536477068892,0.1623338212953339,2,protest,7,model5_income_group,56979,13962,0.36542042687294085
0.8095896532409279,0.783709228851569,0.1744988091543945,2,protest,7,model6_income_group_nolag,56979,13962,0.36542042687294085
